Posición,Atleta,Nacionalidad,Caballo,Premio (€),Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo
1,Tim Stockdale,GBR,Fleur de l’Aube,6000,0,75.53,4,75.45
1,Joe Whitaker,GBR,Lola V,6000,8,75.68,12,76.10
1,Samuel Hutton,GBR,Happydam,6000,0,74.96,8,75.09
1,Robert Bevis,GBR,Courtney Z,6000,4,77.65,0,77.69
2,Eduardo Álvarez Aznar,ESP,Fidux,4000,5,79.49,0,75.75
2,Armando Trapote,ESP,Macao,4000,4,75.27,12,78.00
2,Gerardo Menéndez,ESP,Cassino DC,4000,12,77.14,0,77.68
2,Sergio Álvarez Moya,ESP,Arrayan,4000,8,73.62,0,77.50
3,Doron Kuipers,NED,Zinius,3000,4,77.91,0,77.36
3,Roelof Bril,NED,Arlando,3000,4,78.39,4,76.01
3,Charlotte Verhagen,NED,Abache HL,3000,13,79.63,16,76.58
3,Sanne Thijssen,NED,Captain Cooper,3000,8,78.64,0,76.13
4,Nadja Peter-Steiner,SUI,Capuera II,2000,8,74.45,0,75.76
4,Claudia Gisler,SUI,Cordel,2000,4,78.41,4,76.20
4,Vladya Reverdin,SUI,Edison,2000,5,80.22,4,77.68
4,Christina Liebherr,SUI,L.B. Eagle Eye,2000,5,80.11,8,78.48
5,Elizabeth Gingras,CAN,Zilversprings,1250,0,75.68,0,75.35
5,Vanessa Mannix,CAN,Grand Cru vd Vijf Eiken,1250,4,79.00,8,78.20
5,Kara Chad,CAN,Gin Tonic vd Haagakkers,1250,16,78.25,8,78.61
5,Eric Lamaze,CAN,Check Picobello Z,1250,8,77.18,4,77.74
6,Luca Maria Moneta,ITA,Connery,1250,9,79.03,4,73.49
6,Paolo Paini,ITA,Ottava Meraviglia di Ca' San G,1250,4,77.17,4,77.54
6,Antonio Alfonso,ITA,Redskin de Riverland,1250,EL,,4,76.82
6,Juan Carlos García,ITA,Gitano v Berkenbroeck,1250,4,73.54,0,76.28
7,Bernard Briand Chevalier,FRA,Qadillac du Heup,750,12,75.30,4,76.60
7,Harold Boisset,FRA,Quolita Z,750,8,77.70,4,74.81
7,Frederic David,FRA,Equador van’t Roosakker,750,8,75.75,5,79.07
7,Julien Epaillard,FRA,Quatrin de la Roque LM,750,0,73.73,RET,
8,Cian O’Connor,IRL,Callisto,750,9,79.20,0,75.50
8,Anthony Condon,IRL,Aristio,750,4,75.53,16,78.82
8,Conor Swail,IRL,Hetman of Colors,750,4,74.80,12,75.45
8,Billy Twomey,IRL,Diaghilev,750,12,75.95,8,77.27
9,Sameh El Dahan,EGY,WKD Diva,,4,76.83,,
9,Mohamed Talaat,EGY,Connaught,,9,80.46,,
9,Abdel Said,EGY,California,,4,77.35,,
10,Nicolas Pizarro,MEX,Temascaltepec,,13,79.03,,
10,Alberto Michan,MEX,Gigolo van de Broekkant,,4,75.83,,
10,Antonio Chedraui,MEX,Ninloubet,,5,81.01,,
10,Federico Fernández,MEX,Guru,,12,75.73,,
11,Duarte Seabra,POR,Fernhill Curra Quinn,,4,76.96,,
11,João Chuva,POR,Antonio,,13,82.65,,
11,Antonio Matos Almeida,POR,Nikel de Presle,,EL,,,
11,Luis Sabino Gonçalves,POR,Filou Imperio Egipcio,,8,76.63,,
12,Victoria Gulliksen,NOR,Viego les Hauts,,17,97.13,,
12,Marie Longem Valdar,NOR,Algorhythem,,4,76.72,,
12,Benedikte Endresen,NOR,Comic,,13,79.14,,
12,Cecilie Hatteland,NOR,Alex,,RET,,,
