Posición,Jinete,País,Caballo,Premio (€),Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Dermott Lennon,IRL,Loughview Lou-Lou,50721,0,76.53 ,0,55.07 
2,Abdel Said,EGY,California,30740,0,78.58 ,0,55.94 
3,Bernard Briand Chevalier,FRA,Qadillac du Heup,23055,0,78.05 ,0,56.94 
4,Sanne Thijssen,NED,Con Quidam RB,15370,0,79.02 ,0,66.25 
5,Claudia Gisler,SUI,Cordel,9222,0,80.01 ,0,66.37 
6,Antonio Chedraui Eguia,MEX,Ninloubet,6917,0,79.57 ,0,66.76 
7,Cian O'Connor,IRL,Good Luck,4611,0,80.53 ,4,56.60 
8,Eric Lamaze,CAN,Check Picobello Z,3843,0,80.48 ,4,61.04 
9,Alberto Marquez Galobardes,ESP,Sothebys PC de Ganex,3074,1,86.54 ,6,73.59 
10,Gregory Wathelet,BEL,Coree,3074,4,73.78 ,8,55.47 
11,Julien Epaillard,FRA,Cristallo A LM,1537,4,72.50 ,12,60.16 
12,Nadja Peter-Steiner,SUI,Saura de Fondcombe,1537,0,77.73 ,RET,
13,Tim Stockdale,GBR,Fleur de l'Aube,,4,76.44 ,,
14,Lillie Keenan,USA,Super Sox,,4,78.39 ,,
15,Anthony Condon,IRL,Aristio,,4,78.55 ,,
16,Doron Kuipers,NED,Zinius,,4,80.17 ,,
17,Samuel Hutton,GBR,Happydam,,4,80.67 ,,
18,Duarte Seabra,POR,Fernhill Curra Quinn,,4,80.68 ,,
19,Paolo Paini,ITA,Ottava Meraviglia di Ca' San G,,4,81.79 ,,
20,Ivan Serrano Saez,ESP,Condor,,5,83.19 ,,
21,Elizabeth Gingras,CAN,Zilversprings,,8,73.58 ,,
22,Juan Carlos Garcia,ITA,Bonzai van de Warande,,8,75.84 ,,
23,Joe Whitaker,GBR,Lola V,,8,75.90 ,,
24,Luis Sabino Goncalves,POR,Filou Imperio Egipcio,,8,76.47 ,,
25,Gonzalo Anon Suarez,ESP,Qlamp d'Ivraie,,8,76.50 ,,
26,Gerardo Menendez,ESP,Cassino DC,,8,78.27 ,,
27,Katharina Offel,GER,Umeunig,,8,79.47 ,,
28,Vladya Reverdin,SUI,Edison,,8,81.85 ,,
29,Billy Twomey,IRL,Diaghilev,,12,72.68 ,,
30,Armando Trapote,ESP,Macao,,12,78.47 ,,
31,Federico Fernandez,MEX,Guru,,12,80.97 ,,
32,Sameh El Dahan,EGY,Suma's Zorro,,12,81.20 ,,
33,Marie Longem Valdar,NOR,Algorhythem,,12,81.95 ,,
34,Alberto Michan,MEX,Gamko S,,12,82.89 ,,
35,Robert Smith,GBR,Bavi,,13,83.80 ,,
36,Primitivo Zorrilla Nieves,ESP,Galiant VDS,,13,84.29 ,,
37,Jaclyn Duff,CAN,Eh All Or None,,14,88.00 ,,
38,Juan Pablo Gaspar Albanez,MEX,Puertas So What,,16,79.00 ,,
39,Conor Swail,IRL,Hetman of Colors,,23,91.56 ,,
40,Bryan Balsiger,SUI,Poppee de Damvil,,24,79.14 ,,
41,Luca Maria Moneta,ITA,Neptune Brecourt,,RET,,,
42,Simone Coata,ITA,Cannavaro,,RET,,,
43,Roelof Bril,NED,Arlando,,RET,,,
44,Abdullah Al Sharbatly,KSA,Talan,,RET,,,
45,Cassio Rivetti,UKR,Torgal de Virton,,RET,,,
