Posición,Jinete,Nacionalidad,Caballo,Premio (€),Puntos,Tiempo
1,Elizabeth Gingras,CAN,Coup de Chance,10890,0,59.50
2,Abdullah Al Sharbatly,KSA,Domingo,6600,0,61.25
3,Sameh El Dahan,EGY,WKD Diva,4125,0,62.81
4,Alberto Michan,MEX,Gigolo van de Broekkant,4125,0,62.81
5,Joe Whitaker,GBR,Lola V,1980,0,62.96
6,Tim Stockdale,GBR,Erasmus vd Heffinck,1485,0,63.97
7,Doron Kuipers,NED,Baileys,990,0,64.04
8,Robert Smith,GBR,Ilton,825,0,64.18
9,Luca Maria Moneta,ITA,Connery,660,0,64.71
10,Conor Swail,IRL,Cenzo,660,0,65.52
11,Bryan Balsiger,SUI,Poppee de Damvil,330,0,65.88
12,Luis Sabino Goncalves,POR,Teck de Riverland,330,0,68.87
13,Nicolas Pizzarro,MEX,Temascaltepec,90,0,70.97
14,Paolo Paini,ITA,Ten Ten,90,0,71.65
15,Johnny Pals,NED,Fernando,90,0,73.96
16,Gerardo Menendez,ESP,Costello DC,90,0,74.06
17,Nadja Peter-Steiner,SUI,Saura de Fondcombe,,0,75.43
18,Sergio Alvarez Moya,ESP,Iron Man,,0,75.87
19,Roelof Bril,NED,Dizzy Lizzy,,0,77.50
20,Alvaro Diaz Garcia,ESP,Visama Parsifal,,0,77.57
21,Ivan Serrano Saenz,ESP,Chaccman,,0,78.71
22,Harold Boisset,FRA,T'obetty du Domaine,,4,59.52
23,Demott Lennon,IRL,Loughview Lou-Lou,,4,61.73
24,Cian O'Connor,IRL,Callisto,,4,63.25
25,Gregory Wathelet,BEL,Eldorado van het Vijverhof,,4,63.39
26,Cecilie Hatteland,NOR,Alex,,4,64.77
27,Juan Carlos Garcia,ITA,Zilver,,4,65.84
28,Benedikte Endresen,NOR,Corlantos,,4,66.57
29,Michael Duffy,IRL,Belcanto Z,,4,68.34
30,Antonio Chedraui Eguia,MEX,La Bamba,,4,68.98
31,Frederic David,FRA,Baloussini,,4,70.53
32,Samuel Hutton,GBR,Iloica vd Bisschop,,4,71.55
33,Alberto Marquez Galobardes,ESP,Ineta del Maset,,4,73.82
34,Armando Trapote,ESP,Bacentus,,4,75.74
35,Samantha Mclntosh,NZL,Check In,,4,76.72
36,Jaclyn Duff,CAN,Eh All Or None,,4,76.92
37,Marie Longem Valdar,NOR,Benito,,4,78.01
38,Gonzalon Anon Suarez,ESP,AD Amigo B,,4,78.36
39,Katharina Offel,GER,Cassius,,6,89.77
40,Cassio Rivetti,UKR,Lagerfeld,,8,62.53
41,Billy Twomey,IRL,Thomas,,8,62.68
42,Robert Bevis,GBR,Pebbles IV,,8,64.56
43,Mohamed Talaat,EGY,Connaught,,8,66.09
44,Tim Wilks,GBR,Une de Printemps,,8,66.32
45,Vanesaa Mannix,CAN,Winslow High,,8,67.51
46,Victoria Gulliksen,NOR,Viego les Hauts,,8,71.23
47,Jose Bono Rodriguez,ESP,Sligo Hard Times,,8,72.57
48,Marc Dilasser,FRA,Cliffton,,8,74.79
49,Primitivo Zorrilla Nieves,ESP,Galiant VDS,,8,77.43
50,Antonio Alfonso,ESP,Redskin de Riverland,,8,81.90
51,Marta Ortega Perez,ESP,Verdi III,,9,85.33
52,Leticia Riva Gil,ESP,Roanne de Mars,,10,87.84
53,Christina Liebherr,SUI,L B Companiero,,11,92.93
54,Bernard Briand Chevalier,FRA,T'es OK Minotais,,12,67.63
55,Stein Endresen,NOR,Cintia,,EL,
56,Federico Fernandez,MEX,Bolt,,EL,
57,Julio Arias,ESP,Adele,,EL,
58,Sanne Thijssen,NED,Ulena,,EL,
59,Santiago Núñez Riva,ESP,Quarela de Toscane,,RET,
60,Eduardo Alvarez Aznar,ESP,Chatman ,,RET,
61,Charo Ortells Torregrosa,ESP,Rodin la Gaffeliere,,RET,
