Posición,Jinete,Nacionalidad,Caballo,Premio (€),Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II
1,Abdullah Al Sharbatly,KSA,Domingo,8118,,,0,34.88
2,Doron Kuipers,NED,Baileys,4920,,,0,35.78
3,Simone Coata,ITA,Cannavaro,3690,,,0,36.44
4,Benedikte Endresen,NOR,Corlantos,2460,,,0,37.44
5,Leticia Riva Gil,ESP,Roanne de Mars,1476,,,0,40.05
6,Sergio Alvarez Moya,ESP,Iron Man,1107,,,0,41.49
7,Gregory Wathelet,BEL,Coree,738,,,1,45.45
8,Julien Epaillard,FRA,Cristallo A LM,615,,,4,34.14
9,Cassio Rivetti,UKR,Lagerfeld,492,,,4,34.45
10,Juan Pablo Gaspar Albanez,MEX,Puertas So What,492,,,4,34.98
11,Conor Swail,IRL,Cenzo,246,,,4,37.67
12,Billy Twomey,IRL,Ardcolum Duke,246,,,4,37.85
13,Marc Dilasser,FRA,Air Corrado Vo,75,,,4,39.09
14,Bernard Briand Chevalier,FRA,T'es Ok Minotais,75,,,4,39.82
15,Elizabeth Gingras,CAN,Avalon,,,,4,40.69
16,Nadja Peter-Steiner,SUI,Saura de Fondcombe,,,,4,41.31
16,Cian O'Connor,IRL,Aramis,,,,4,41.31
18,Santiago Nunez Riva,ESP,Quarela de Toscane,,,,4,44.15
19,Mario Wilson Fernandes,POR,Stroudwood Eldarado,,,,4,44.48
20,Dermott Lennon,IRL,Fleur IV,,,,8,36.70
21,Harold Boisset,FRA,Quolita Z,,,,8,38.53
22,Michael Duffy,IRL,Belcanto Z,,,,14,50.22
23,Robert Bevis,GBR,Pebbles IV,,4,,,
23,Julio Arias,ESP,Adele,,4,,,
23,Samuel Hutton,GBR,Iloica vd Bisschop,,4,,,
23,Spencer Smith,USA,Rivale du Barquet,,4,,,
23,Luis Sabino Goncalves,POR,Teck de Riverland,,4,,,
23,Alberto Michan,MEX,Gamko S,,4,,,
23,Tim Stockdale,GBR,Tornado des Monts,,4,,,
23,Bryan Balsiger,SUI,Poppee de Damvil,,4,,,
23,Juan Carlos Garcia,ITA,Bonzai van de Warande,,4,,,
32,Gonzalo Anon Suarez,ESP,AD Amigo B,,5,,,
32,Marie Longem Valdar,NOR,Benito,,5,,,
32,Vanessa Mannix,CAN,Winslow High,,5,,,
32,Cecilie Hatteland,NOR,Top Hero,,5,,,
32,Sanne Thijssen,NED,Captain Cooper,,5,,,
32,Eduardo Alvarez Aznar,ESP,Chatman,,5,,,
38,Frederic David,FRA,Baloussini,,8,,,
38,Katharina Offel,GER,Cassius,,8,,,
38,Paolo Paini,ITA,Ottava Meraviglia di Ca' San G,,8,,,
38,Joao Chuva,POR,Antonio,,8,,,
38,Alberto Marquez Galobardes,ESP,Ineta del Maset,,8,,,
38,Robert Smith,GBR,Ilton,,8,,,
38,Victoria Gulliksen,NOR,Via vd Karmenhoek Z,,8,,,
38,Tim Wilks,GBR,Quelbora Merze,,8,,,
38,Jaime Silvela Castanon,ESP,Visama Corina,,8,,,
47,Marta Ortega Perez,ESP,Verdi III,,9,,,
48,Pablo Dominguez Pinon,ESP,Chacclight,,13,,,
49,Armando Trapote,ESP,Bacentus,,14,,,
49,Johnny Pals,NED,Wesselina,,14,,,
51,Samantha McIntosh,NZL,Estina,,16,,,
52,Roelof Bril,NED,Dizzy Lizzy,,17,,,
53,Luca Maria Moneta,ITA,Neptune Brecourt,,RET,,,
53,Eric Lamaze,CAN,Check Picobello Z,,RET,,,
53,Ivan Serrano Saenz,ESP,Chaccman,,RET,,,
53,Federico Fernandez,MEX,Bolt,,RET,,,
