Posición,Jinete,Nacionalidad,Caballo,Premio (€),Puntos,Tiempo
1,Julien Epaillard,FRA,Sheriff de la Nutria LM,8118,0,71.04
2,Abdullah Al Sharbatly,KSA,Red Star d'Argent,4920,0,72.59
3,Katharina Offel,GER,Sakann,3690,0,73.09
4,Mario Wilson Fernandes,POR,Zurito,2460,0,73.31
5,Michael Duffy,IRL,Crona CR,1476,0,74.75
6,Anthony Condon,IRL,Balzac,1107,0,75.70
7,Harold Boisset,FRA,T'obetty du Domaine,738,4,76.29
8,Juan Carlos Garcia,ITA,Zilver,615,0,76.53
9,Joe Whitaker,GBR,Lavarno,492,4,76.71
10,Tim Stockdale,GBR,Erasmus vd Heffinck,492,0,76.73
11,Billy Twomey,IRL,Thomas,246,4,77.56
12,Luis Sabino Goncalves,POR,Ugo Du Barquet,246,0,77.59
13,Robert Smith,GBR,Cimano E,,0,77.68
14,Sanne Thijssen,NED,Ulena,,4,79.83
15,Antonio Matos Almeida,POR,Epicor Da Gandarinha,,0,80.53
16,Gregory Wathelet,BEL,Eldorado van het Vijverhof,,12,81.77
17,Antonio Chedraui Eguia,MEX,Corcega la Silla,,0,81.81
18,Stein Endresen,NOR,Ce Matin,,4,82.29
19,Luca Maria Moneta,ITA,Herold N,,4,82.38
20,Claudia Gisler,SUI,Touchable,,0,82.70
21,Tim Wilks,GBR,Une de Printemps,,8,85.03
22,Nadja Peter-Steiner,SUI,Cayena,,8,85.18
23,Santiago Nunez Riva,ESP,Vidar,,4,85.25
24,Samantha McIntosh,NZL,Lady Gaga,,4,85.27
25,Dermott Lennon,IRL,Vampire,,8,85.45
26,Bernard Briand Chevalier,FRA,Chattano,,8,90.98
27,Alberto Marquez Galobardes,ESP,Croupier V,,0,92.38
28,Bryan Balsiger,SUI,Nohjy,,8,92.71
29,Frederic David,FRA,Equador van't Roosakker,,0,92.90
30,Victoria Gulliksen,NOR,Luron S Z,,8,93.73
31,Eduardo Alvarez Aznar,ESP,Bjorn H,,0,95.23
32,Paolo Paini,ITA,Ten Ten,,8,105.82
33,Julio Arias,ESP,Uppercut Libellule,,4,106.13
34,Charlotte Verhagen,NED,Abache HL,,0,110.32
35,Cassio Rivetti,UKR,Ulahop Boy,,4,110.73
36,Christina Liebherr,SUI,L B Companiero,,0,111.71
37,Simone Coata,ITA,Luce Luce,,24,118.56
38,Cecilie Hatteland,NOR,Gulio van de Koelaar,,EL,
38,Johnny Pals,NED,Fernando,,EL,
38,Benedikte Endresen,NOR,Comic,,EL,
38,Abdel Said,EGY,California,,EL,
