Posición,Atleta,Nacionalidad,Caballo,Premio (€),Puntos,Tiempo
1,Antonio Chedraui Eguia,MEX,Corcega la Silla,2475,0,63.74
2,Billy Twomey,IRL,Ardcolum Duke,1500,0,65.56
3,Dermott Lennon,IRL,Fleur IV,1125,0,66.61
4,João Chuva,POR,Virginia Dream,750,0,66.68
5,Eduardo Álvarez Aznar,ESP,Fidux,450,0,66.94
6,Alberto Michán,MEX,Gamko S,"337,5",0,69.02
7,Claudia Gisler,SUI,Touchable,225,0,69.70
8,Leticia Riva Gil,ESP,Roanne de Mars,"187,5",0,70.70
9,Harold Boisset,FRA,Quolita Z,150,0,70.95
10,Gonzalo Añón Suárez,ESP,AD Amigo B,150,0,71.37
11,Benedikte Endresen,NOR,Corlantos,75,0,71.76
12,Álvaro Díaz García,ESP,Visama Parsifal,75,0,73.89
13,Charo Ortells Torregrosa,ESP,Urpita One,30,0,74.83
14,Paola Amilibia Puig,ESP,Prunella d’Ariel,30,0,76.05
15,Luca Maria Moneta,ITA,Connery,30,1,77.59
16,Nadja Peter-Steiner,SUI,Capuera II,30,1,79.84
17,Nicolás Pizarro,MEX,Temascaltepec,30,1,79.96
18,Santiago Núñez Riva,ESP,Quarela de Toscane,30,1,80.27
19,Samantha McIntosh,NZL,Check In,30,1,80.52
20,Marc Dilasser,FRA,Cliffton,,2,82.63
21,Federico Fernández,MEX,Guru,,2,82.88
22,Gregory Wathelet,BEL,Citizenguard Taalex,,2,83.04
23,Frédéric David,FRA,Equador van’t Roosakker,,2,83.06
24,Tim Stockdale,GBR,Fleur de l’Aube,,2,83.28
25,Gerardo Menéndez,ESP,Cassino DC,,2,83.66
26,Robert Bevis,GBR,Courtney Z,,2,83.96
27,Samuel Hutton,GBR,Happydam,,2,83.97
28,Abdel Said,EGY,Itchy van het Lambroeck,,2,83.99
29,Julien Epaillard,FRA,Quatrin de la Roque LM,,2,84.25
30,Michael Duffy,IRL,Belcanto Z,,2,84.77
31,Paolo Paini,ITA,Ottava Meraviglia di Ca’ San G,,2,84.97
32,Cecilie Hatteland,NOR,Alex,,3,86.02
33,Julio Arias,ESP,Castor vh Molenhof Z,,3,86.69
34,Eric Lamaze,CAN,Chacco Kid,,3,87.31
35,Joe Whitaker,GBR,Lavarno,,4,65.27
36,Luis Sabino Gonçalves,POR,Ugo Du Barquet,,4,65.82
37,Alberto Márquez Galobardes,ESP,Ineta del Maset,,4,70.22
38,Primitivo Zorrilla Nieves,ESP,Hella van de Nachtegaele,,4,72.21
39,Katharina Offel,GER,Umeunig,,4,74.76
40,Iván Serrano Sáenz,ESP,Chaccman,,4,75.01
41,Jaime Silvela Castañón,ESP,Visama Corina,,4,75.41
42,António Matos Almeida,POR,Epicor Da Gandarinha,,4,75.51
43,Victoria Gulliksen,NOR,Viego les Hauts,,4,89.58
44,Anthony Condon,IRL,Aristio,,4,91.31
45,Johnny Pals,NED,Fernando,,4,91.82
46,Doron Kuipers,NED,Zinius,,4,92.09
47,Antonio Alfonso,ITA,Redskin de Riverland,,4,92.78
48,Bernard Briand Chevalier,FRA,T’es Ok Minotais,,5,77.11
49,Sergio Álvarez Moya,ESP,Arrayan,,5,93.09
50,Marie Longem Valdar,NOR,Algorhythem,,5,94.18
51,Juan Carlos García,ITA,Bonzai van de Warande,,5,96.53
52,Kara Chad,CAN,Tisele du Park,,6,81.68
53,Charlotte Verhagen,NED,Zimba HL,,6,81.71
54,Elizabeth Gingras,CAN,Avalon,,6,83.96
55,Cian O’Connor,IRL,Good Luck,,6,97.63
56,Robert Smith,GBR,Bavi,,6,98.35
57,Conor Swail,IRL,Cenzo,,6,99.86
58,Roelof Bril,NED,Arlando,,7,86.05
59,Armando Trapote,ESP,Bacentus,,7,86.41
60,Sanne Thijssen,NED,Con Quidam RB,,7,86.43
61,Spencer Smith,USA,Rivale du Barquet,,7,86.46
62,Marta Ortega Pérez,ESP,Verdi III,,7,87.12
63,Simone Coata,ITA,Cannavaro,,7,88.37
64,José Bono Rodríguez,ESP,Iroko vd Brouwershoeve,,8,63.09
65,Bryan Balsiger,SUI,Nohjy,,8,71.78
66,Guillermo González Alonso,ESP,Uelem Croze,,8,74.12
67,Lillie Keenan,USA,Super Sox,,8,89.41
68,Mario Wilson Fernandes,POR,Sahel Villa Rose,,8,91.15
69,Cassio Rivetti,UKR,Ulahop Boy,,9,78.35
70,Stein Endresen,NOR,Ce Matin,,9,79.68
71,Christina Liebherr,SUI,L.B. Staloubet Manciais,,14,82.70
72,Carolina Aresu García Obregón,ESP,Firma de Luz,,19,87.03
,Mari Dive,BEL,Chasse Spleen Z,,EL,
,Vladya Reverdin,SUI,Edison,,RET,
