Posición,Atleta,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Duarte Seabra,POR,AHG Whiterock Cruise Down,625,0,62.69
2,Luca Maria Moneta,ITA,Ambramarie del Beiro,500,0,64.42
3,Joe Whitaker,GBR,Diola,375,0,65.24
4,Juan Carlos García,ITA,Artiste du Guerpre,250,0,66.16
5,Harold Boisset,FRA,Kitty S,175,0,68.59
6,Cassio Rivetti,UKR,Dollar de Fremis,138,0,71.52
7,Gerardo Menéndez,ESP,Lordana DC,100,0,71.73
8,Iván Serrano Sáenz,ESP,Djingle de Cense d’Heure,75,0,75.93
9,Santiago Núñez Riva,ESP,Valentino de Hus Z,75,0,76.53
10,Kara Chad,CAN,Jana van de Elshoeve,63,0,77.14
11,Paola Amilibia Puig,ESP,Cansalla,63,0,77.93
12,Michael Duffy,IRL,Castleforbes Vladimir,63,0,78.28
13,Doron Kuipers,NED,Stakkato’s Star,,0,78.36
14,Guillermo González Alonso,ESP,Quasar de Olid,,0,78.59
15,Tim Wilks,GBR,Jezebel,,0,78.99
16,Armando Trapote,ESP,Tinkerbell,,0,79.15
17,Mario Wilson Fernandes,POR,Jasper van’t Gestelhof,,0,79.17
18,Carolina Aresu García Obregón,ESP,Colma vd Berghoeve Z,,0,80.55
19,Anthony Condon,IRL,Arla,,0,81.57
20,Álvaro Díaz García,ESP,Kastar Hof Ten Zoetendaele,,0,82.11
21,Sergio Álvarez Moya,ESP,G & C Wolf,,0,82.78
22,Cian O’Connor,IRL,Excellent B,,4,71.21
23,Julio Arias,ESP,Edinburgh,,4,73.49
24,Luis Sabino Gonçalves,POR,Twix V Overis Z,,4,80.22
25,Claudia Gisler,SUI,Fabio di Molga,,4,80.61
26,Luiz Felipe de Azevedo Filho,BRA,Apollon de Killem,,4,80.73
27,Bryan Balsiger,SUI,Egmond W,,5,85.71
28,Leticia Riva Gil,ESP,Picotajo,,8,81.91
29,Charo Ortells Torregrosa,ESP,Sissi Dior,,10,88.02
30,Christina Liebherr,SUI,Eszra M,,17,116.91
