Posición,Atleta,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Harold Boisset,FRA,Kitty S,625,0,70.52
2,Juan Carlos Garcia,ITA,Artiste du Guerpre,500,0,73.32
3,Luca Maria Moneta,ITA,Ambramarie del Beiro,375,0,75.73
4,Cian O'Connor,IRL,Excellent B,250,0,76.40
5,Ivan Serrano Saenz,ESP,Djingle de Cense d'Heure,175,0,77.32
6,Tim Wilks,GBR,Jezebel,138,0,77.46
7,Anthony Condon,IRL,Arla,100,0,77.87
8,Armando Trapote,ESP,Tinkerbell,75,0,78.97
9,Gerardo Menendez,ESP,Lordana DC,75,0,79.36
10,Bryan Balsiger,SUI,Egmond W,63,0,79.64
11,Luis Sabino Goncalves,POR,Twix V Overis Z,63,0,80.52
12,Luiz Felipe De Azevedo Filho,BRA,Apollon de Killem,63,0,84.15
13,Sergio Alvarez Moya,ESP,G & C Wolf,,0,85.42
14,Mario Wilson Fernandes,POR,Jasper van't Gestelhof,,0,86.51
15,Guillermo Gonzalez Alonso,ESP,Quasar de Olid,,1,91.23
16,Duarte Seabra,POR,AHG Whiterock Cruise Down,,4,71.60
17,Joe Whitaker,GBR,Diola,,4,75.58
18,Doron Kuipers,NED,Stakkato's Star,,4,75.73
19,Santiago Nunez Riva,ESP,Valentino de Hus Z,,4,79.96
20,Cassio Rivetti,UKR,Dollar de Fremis,,4,81.57
21,Julio Arias,ESP,Edinburgh,,4,82.06
22,Christina Liebherr,SUI,Eszra M,,4,83.79
23,Sanne Thijssen,NED,Illinois Z,,4,85.33
24,Alvaro Diaz Garcia,ESP,Kastar Hof Ten Zoetendaele,,5,104.11
25,Leticia Riva Gil,ESP,Picotajo,,6,93.98
26,Kara Chad,CAN,Jana van de Elshoeve,,8,77.45
27,Michael Duffy,IRL,Castleforbes Vladimir,,8,84.21
28,Claudia Gisler,SUI,Fabio di Molga,,9,88.94
29,Charo Ortells Torregrosa,ESP,Sissi Dior,,9,89.85
30,Carolina Aresu Garcia Obregon,ESP,Colma vd Berghoeve Z,,10,95.70
