Posición,Jinete,País,Caballo,Premio (€),Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Cassio Rivetti,UKR,Dollar de Fremis,1250,0,82.72,0,37.35
2,Joe Whitaker,GBR,Diola,1000,0,86.43,0,37.75
3,Cian O'Connor,IRL,Excellent B,750,0,82.07,0,38.32
4,Luis Sabino Goncalves,POR,Twix V Overis Z,500,0,90.07,0,39.38
5,Armando Trapote,ESP,Tinkerbell,350,0,86.61,0,39.74
6,Ivan Serrano Saez,ESP,Djingle de Cense d'Heure,275,0,83.79,0,40.06
7,Tim Wilks,GBR,Jezebel,200,0,89.37,0,40.18
8,Mario Wilson Fernandez,POR,Jasper van't Gestelhof,150,0,87.30,0,40.27
9,Luiz Felipe De Azevedo Filho,BRA,Apollon de Killem,150,0,85.29,0,42.95
10,Sanne Thijssen,NED,Illinois Z,125,0,82.86,0,43.30
11,Gerardo Menendez,ESP,Lordana DC,125,0,84.27,0,44.06
12,Michael Duffy,IRL,Castleforbes Vladimir,125,0,85.55,4,36.68
13,Doron Kuipers,NED,Stakkato's Star,,0,87.13,4,38.00
14,Harold Boisset,FRA,Kitty S,,0,85.40,4,38.13
15,Luca Maria Moneta,ITA,Ambramarie del Beiro,,0,83.04,4,39.34
16,Julio Arias,ESP,Edinburgh,,0,87.83,4,39.89
17,Duarte Seabra,POR,AHG Whiterock Cruise Down,,0,84.46,4,40.77
18,Charo Ortells Torregrosa,ESP,Sissi Dior,,0,84.35,4,42.24
19,Santiago Núñez Riva,ESP,Valentino de Hus Z,,0,85.53,4,43.24
20,Christina Liebherr,SUI,Eszra M,,0,86.92,4,43.77
21,Leticia Riva Gil,ESP,Picotajo,,0,87.62,4,49.51
22,Guillermo Gonzalez Alonso,ESP,Quasar de Olid,,0,83.83,RET,
23,Bryan Balsiger,SUI,Egmond W,,4,86.32,,
24,Claudia Gisler,SUI,Fabio di Molga,,4,90.30,,
25,Anthony Condon,IRL,Arla,,5,91.36,,
26,Carolina Aresu Garcia Obregon,ESP,Colma vd Berghoeve Z,,5,93.05,,
27,Alvaro Diaz Garcia,ESP,Kastar Hof Ten Zoetendaele,,9,107.08,,
28,Juan Carlos Garcia,ITA,Artiste du Guerpre,,12,86.98,,
