Posición,Atleta,Nacionalidad,Caballo,Premio (€),Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Abdullah Al Sharbatly,KSA,Talan,8.118,0,,0,45.16
2,Billy Twomey,IRL,Thomas,4.920,0,,0,45.42
3,Luis Sabino Gonçalves,POR,Teck de Riverland,3.690,0,,0,47.36
4,Federico Fernández,MEX,Bolt,2.460,0,,0,47.41
5,Tim Stockdale,GBR,Erasmus vd Heffinck,1.476,0,,0,48.74
6,Antonio Chedraui Eguia,MEX,La Bamba,1.107,0,,0,48.97
7,Gregory Wathelet,BEL,Eldorado van het Vijverhof,738,0,,4,44.23
8,Julien Épaillard,FRA,Cristallo A LM,615,0,,4,44.61
9,Samantha McIntosh,NZL,Estina,492,0,,4,45.68
10,Dermott Lennon,IRL,Loughview Lou-Lou,492,0,,4,47.13
11,Cassio Rivetti,UKR,Lagerfeld,246,0,,4,48.57
12,Elizabeth Gingras,CAN,Coup de Chance,246,0,,8,46.00
13,Harold Boisset,FRA,T’obetty du Domaine,75,0,73.16,,
14,Alberto Márquez Galobardes,ESP,Sothebys PC de Ganex,75,0,74.60,,
15,Robert Smith,GBR,Ilton,,0,75.28,,
16,Alberto Michán,MEX,Cottica II RV,,0,75.72,,
17,Paola Amilibia Puig,ESP,Notre Star de la Nutria,,0,76.21,,
18,Antonio Alfonso,ITA,Alex,,0,76.50,,
19,Abdel Said,EGY,Hope van Scherpen Donder,,0,76.51,,
20,Jaclyn Duff,CAN,Eh All Or None,,0,77.44,,
21,Johnny Pals,NED,Wesselina,,0,78.85,,
22,Charo Ortells Torregrosa,ESP,Rodin la Gaffeliere,,0,79.11,,
23,Bernard Briand Chevalier,FRA,Qadillac du Heup,,0,79.21,,
24,Julio Arias,ESP,Adele,,0,80.34,,
25,Kara Chad,CAN,Gin Tonic vd Haagakkers,,0,80.54,,
26,Christina Liebherr,SUI,L B Companiero,,0,81.40,,
27,José Bono Rodríguez,ESP,Sligo Hard Times,,1,82.72,,
28,Cecilie Hatteland,NOR,Top Hero,,1,83.90,,
29,João Chuva,POR,Antonio,,1,84.35,,
30,Juan Pablo Gaspar Albanez,MEX,Puertas So What,,4,67.06,,
31,Eric Lamaze,CAN,Check Picobello Z,,4,68.65,,
32,Cian O’Connor,IRL,Callisto,,4,70.87,,
33,Luca Maria Moneta,ITA,Neptune Brecourt,,4,71.64,,
34,Doron Kuipers,NED,Baileys,,4,73.72,,
35,Samuel Hutton,GBR,Iloica vd Bisschop,,4,76.31,,
36,Marc Dilasser,FRA,Air Corrado Vo,,4,76.96,,
37,Gonzalo Añón Suárez,ESP,Qlamp d’Ivraie,,4,80.35,,
38,Victoria Gulliksen,NOR,Via vd Karmenhoek Z,,4,81.42,,
39,Roelof Bril,NED,Dizzy Lizzy,,6,88.63,,
40,Antonio Matos Almeida,POR,Nikel de Presle,,6,89.11,,
41,Tim Wilks,GBR,Une de Printemps,,8,74.18,,
42,Juan Carlos García,ITA,Gitano v Berkenbroeck,,8,76.67,,
43,Benedikte Endresen,NOR,Comic,,8,77.75,,
44,Vanessa Mannix,CAN,Winslow High,,8,77.89,,
45,Duarte Seabra,POR,Fernhill Curra Quinn,,8,80.45,,
46,Nadja Peter-Steiner,SUI,Cayena,,10,87.85,,
47,Katharina Offel,GER,Cassius,,11,90.34,,
48,Sanne Thijssen,NED,Captain Cooper,,12,77.18,,
49,Primitivo Zorrilla Nieves,ESP,Galiant VDS,,13,83.98,,
50,Anthony Condon,IRL,Balzac,,13,84.84,,
51,Stein Endresen,NOR,Cintia,,16,95.51,,
52,Pablo Domínguez Piñón,ESP,Chacclight,,17,82.79,,
53,Eduardo Álvarez Aznar,ESP,Chatman,,20,77.86,,
,Lillie Keenan,USA,Be Gentle,,RET,,,
,Mario Wilson Fernandes,POR,Stroudwood Eldarado,,RET,,,
