Posición,Jinete,Nacionalidad,Caballo,Premio (€),Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II
1,Sanne Thijssen,NED,Ulena,2970,0,,0,28.78
2,Luis Sabino Goncalves,POR,Teck de Riverland,1800,0,,0,29.59
3,Cecilie Hatterland,NOR,Gulio van de Koelaar,1350,0,,0,29.67
4,Robert Smith,GBR,Ilton,900,0,,0,29.80
5,Juan Carlos Garcia,ITA,Zilver,540,0,,0,31.33
6,Luca Maria Moneta,ITA,Herold N,405,0,,0,31.45
7,Simone Costa,ITA,Luce Luce,270,0,,0,31.72
8,Alberto Marquez Galobardes,ESP,Croupier V,225,0,,0,32.58
9,Frederic David,FRA,Baloussini,180,0,,0,32.61
10,Samuel Hutton,GBR,Iloica vd Bisschop,180,0,,0,32.65
11,Abdullah Al Sharbatly,KSA,Red Star d'Argent,90,0,,0,33.08
12,Charo Ortells Torregrosa,ESP,Rodin la Gaffeliere,90,0,,0,33.25
13,Dermott Lennon,IRL,Fleur IV,,0,,0,33.73
14,Tim Stockdale,GBR,Tornado des Monts,,0,,0,34.05
15,Mario Wilson Fernandes,POR,Sahel Villa Rose,,0,,0,34.34
16,Benedikte Endresen,NOR,Comic,,0,,0,34.37
17,Abdel Said,EGY,Itchy van het Lambroeck,,0,,0,36.21
18,Bernard Briand Chevalier,FRA,Chattano,,0,,0,36.53
19,Marta Ortega Perez,ESO,Zigali P S,,0,,0,38.52
20,Charlotte Verhagen,NED,Zimba HL,,0,,0,39.66
21,Federico Fernandez,MEX,Pegasso,,0,,0,43.93
22,Joao Chuva,POR,Antonio,,0,,0,44.73
23,Carolina Aresu Garcia Obregon,ESP,Tresor Pironniere,,0,,0,49.23
24,Joe Whitaker,GBR,Lavarno,,0,,0,56.11
25,Michael Duffy,IRL,Crona CR,,0,,EL,
26,Guillermo Gonzalez Alonso,ESP,Uelem Croze,,4,40.77,,
27,Jaime Silvela Castanon,ESP,Visama Corina,,4,42.57,,
28,Johnny Pals,NED,A Lee Spring Power,,4,44.43,,
29,Eric Lamaze,CAN,C Nouvelle,,4,47.42,,
30,Victoria Gulliksen,NOR,Luron S Z,,EL,,,
