Posición,Jinete,Nacionalidad,Caballo,Premio (€),Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II
1,Julien Épaillard,FRA,Sheriff de la Nutria LM,2.475,,,0,23.44
2,Cian O’Connor,IRL,Aramis,1.500,,,0,24.17
3,Dermott Lennon,IRL,Fleur IV,1.125,,,0,24.48
4,Anthony Condon,IRL,Balzac,750,,,0,24.78
5,Mario Wilson Fernandes,POR,Zurito,450,,,0,24.88
6,Michael Duffy,IRL,Crona CR,338,,,0,24.94
7,Joe Whitaker,GBR,Lavarno,225,,,0,25.13
8,Samantha McIntosh,NZL,Lady Gaga,188,,,0,26.20
9,Juan Carlos Garcia,ITA,Zilver,150,,,0,26.30
10,Antonio Matos Almeida,POR,Epicor Da Gandarinha,150,,,0,26.40
11,Bryan Balsiger,SUI,Poppee de Damvil,75,,,0,26.65
12,Robert Bevis,GBR,Pebbles IV,75,,,0,26.92
13,João Chuva,POR,Virginia Dream,30,,,0,27.03
14,Lillie Keenan,USA,Be Gentle,30,,,0,27.36
15,Tim Stockdale,GBR,Tornado des Monts,30,,,0,27.75
16,Katharina Offel,GER,Sakann,30,,,0,27.98
17,Gerardo Menendez,ESP,Costello DC,,,,0,28.61
18,Sanne Thijssen,NED,Ulena,,,,0,28.73
19,Julio Arias,ESP,Uppercut Libellule,,,,0,29.47
20,Abdel Said,EGY,Itchy van het Lambroeck,,,,0,29.49
21,Roelof Bril,NED,Dizzy Lizzy,,,,0,30.32
22,Marie Longem Valdar,NOR,Benito,,,,0,31.39
23,Antonio Chedraui Eguia,MEX,Ninloubet,,,,1,35.30
24,Spencer Smith,USA,Rivale du Barquet,,,,1,35.99
25,Guillermo Gonzalez Alonso,ESP,Uelem Croze,,,,1,36.93
26,Armando Trapote,ESP,Macao,,,,2,38.25
27,Nadja Peter-Steiner,SUI,Saura de Fondcombe,,,,2,38.78
28,Sameh El Dahan,EGY,WKD Diva,,,,3,42.86
29,Vanessa Mannix,CAN,Grand Cru vd Vijf Eiken,,,,3,43.12
30,Sergio Alvarez Moya,ESP,Iron Man,,,,4,27.48
31,Charo Ortells Torregrosa,ESP,Urpita One,,,,4,29.62
32,Bernard Briand Chevalier,FRA,Chattano,,,,4,30.57
33,Alberto Marquez Galobardes,ESP,Croupier V,,,,4,33.83
34,Frederic David,FRA,Baloussini,,,,5,35.80
35,Alberto Michán,MEX,Gigolo van de Broekkant,,,,6,40.82
36,Gregory Wathelet,BEL,Coree,,,,7,42.25
37,Elizabeth Gingras,CAN,Avalon,,,,7,45.89
38,Paolo Paini,ITA,Ten Ten,,,,8,33.08
39,Primitivo Zorrilla Nieves,ESP,Hella van de Nachtegaele,,,,9,34.21
40,Johnny Pals,NED,A Lee Spring Power,,,,9,35.42
41,Carolina Aresu Garcia Obregon,ESP,Tresor Pironniere,,,,9,37.76
42,Cassio Rivetti,UKR,Ulahop Boy,,,,10,41.09
43,Santiago Nunez Riva,ESP,Vidar,,,,16,49.83
44,Cecilie Hatteland,NOR,Giulio van de Koelaar,,,,RET,
45,Conor Swail,IRL,Hetman of Colors,1,,,,
45,Federico Fernandez,MEX,Pegasso,1,,,,
45,Mohamed Talaat,EGY,Connaught,1,,,,
45,Marta Ortega Perez,ESP,Zigali P S,1,,,,
49,Jaime Silvela Castanon,ESP,Visama Corina,4,,,,
49,Pablo Dominguez Pinon,ESP,Chacclight,4,,,,
49,Alvaro Diaz Garcia,ESP,Visama Parsifal,4,,,,
49,Abdullah Al Sharbatly,KSA,Red Star d’Argent,4,,,,
49,Luca Maria Moneta,ITA,Herold N,4,,,,
49,Luis Sabino Goncalves,POR,Ugo Du Barquet,4,,,,
49,Victoria Gulliksen,NOR,Luron S Z,4,,,,
49,Jose Bono Rodriguez,ESP,Iroko vd Brouwershoeve,4,,,,
57,Christina Liebherr,SUI,L.B. Staloubet Manciais,5,,,,
57,Eduardo Alvarez Aznar,ESP,Bjorn H,5,,,,
57,Robert Smith,GBR,Cimano E,5,,,,
57,Ivan Serrano Saenz,ESP,Chaccman,5,,,,
61,Eric Lamaze,CAN,C Nouvelle,9,,,,
62,Kara Chad,CAN,Tisele du Park,11,,,,
63,Marie Dive,BEL,Chasse Spleen Z,EL,,,,
64,Simone Coata,ITA,Luce Luce,RET,,,,
