Posición,Jinete,Nacionalidad,Caballo,Premio (€),Puntos,Tiempo
1,Julien Epaillard,FRA,Sheriff de la Nutria LM,8118,0,64.88
2,Billy Twomey,IRL,Ardcolum Duke,4920,0,65.55
3,Harold Boisset,FRA,T'obetty du Domaine,3690,0,66.10
4,Cian O'Connor,IRL,Aramis,2460,0,67.69
5,Anthony Condon,IRL,Balzac,1476,0,69.08
6,Abdullah Alsharbatly,KSA,Red Star d'Argent,1107,0,69.13
7,Sanne Thijssen,NED,Ulena,738,0,69.58
8,Katharina Offel,GER,Sakann,615,0,69.97
9,Antonio Chedraui Eguia,MEX,Corcega la Silla,492,0,70.37
10,Samantha Mclntosh,NZL,Lady Gaga,492,0,70.92
11,Luca Maria Moneta,ITA,Herold N,246,0,75.72
12,Santiago Nuñez Riva,ESP,Vidar,246,0,76.39
13,Gerardo Menendez,ESP,Costello Dc,,0,79.87
14,Alvaro Diaz Garcia,ESO,Visama Parsifal,,0,80.37
15,Nadja Peter-Steiner,SUI,Cayena,,4,67.66
16,Joe Whitaker,GBR,Lavarno,,4,70.35
17,Dermott Lennon,IRL,Fleur IV,,4,70.37
18,Juan Carlos Garcia,ITA,Zilver,,4,70.42
19,Robert Smith,GBR,Cimano E,,4,72.60
20,Claudia Gisler,SUI,Touchable,,4,73.30
21,Michael Duffy,IRL,Crona CR,,4,77.32
22,Antonio Matos Almeida,POR,Epicor Da Gandarinha,,4,80.69
23,Tim Stockdale,GBR,Tornado des Monts,,4,81.70
24,Eduardo Alvarez Aznar,ESP,Bjorn H,,7,93.85
25,Stein Endressen,NOR,Ce Matin,,8,74.67
26,Bryan Balsiger,SUI,Nohjy,,9,100.56
27,Luis Sabino Goncalves,POR,Ugo Du Barquet,,12,75.53
28,Gregory Wathelet,BEL,Citizenguard Taalex,,EL,
29,Charo Ortells Torregrosa,ESP,Urpita One,,RET,
