Posición,Jinete,País,Caballo,Premio (€),Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Abdel Said,EGY,Hope van Scherpen Donder,20.394,0,71.90,0,40.00
2,Tim Stockdale,GBR,Fleur de l’Aube,12.360,0,74.39,0,41.50
3,Juan Carlos Garcia,ITA,Bonzai van de Warande,9.270,4,74.23,0,39.34
4,Cassio Rivetti,UKR,Torgal de Virton,6.180,4,74.77,0,41.60
5,Federico Fernandez,MEX,Guru,3.708,4,74.97,0,42.72
6,Julio Arias,ESP,Castor vh Molenhof Z,2.781,9,74.00,0,57.50
7,Claudia Gisler,SUI,Cordel,1.854,1,75.52,,
8,Robert Smith,GBR,Bavi,1.545,1,76.13,,
9,Abdullah Al Sharbatly,KSA,Domingo,1.236,1,76.55,,
10,Vladya Reverdin,SUI,Edison,1.236,1,78.99,,
11,Roelof Bril,NED,Arlando,618,2,79.59,,
12,Juan Pablo Gaspar Albanez,MEX,Puertas So What,618,4,70.01,,
13,Luca Maria Moneta,ITA,Neptune Brecourt,130,4,70.90,,
14,Cian O’Connor,IRL,Good Luck,130,4,71.54,,
15,Julien Epaillard,FRA,Quatrin de la Roque LM,130,4,72.07,,
16,Katharina Offel,GER,Umeunig,130,4,72.68,,
17,Sanne Thijssen,NED,Con Quidam RB,,4,72.99,,
18,Alberto Marquez Galobardes,ESP,Sothebys PC de Ganex,,4,73.14,,
19,Dermott Lennon,IRL,Loughview Lou-Lou,,4,73.64,,
20,Bernard Briand Chevalier,FRA,Qadillac du Heup,,4,73.68,,
21,Billy Twomey,IRL,Diaghilev,,4,73.84,,
22,Elizabeth Gingras,CAN,Zilversprings,,4,74.06,,
23,Sameh El Dahan,EGY,Suma’s Zorro,,4,74.11,,
24,Nadja Peter-Steiner,SUI,Capuera II,,4,74.13,,
25,Anthony Condon,IRL,Aristio,,4,74.99,,
26,Samuel Hutton,GBR,Happydam,,5,75.16,,
27,Gonzalo Anon Suarez,ESP,Qlamp d’Ivraie,,5,75.43,,
28,Jaclyn Duff,CAN,Eh All Or None,,5,75.49,,
29,Lillie Keenan,USA,Super Sox,,5,75.86,,
30,Simone Coata,ITA,Cannavaro,,5,77.33,,
31,Marie Longem Valdar,NOR,Algorhythem,,5,78.08,,
32,Ivan Serrano Saenz,ESP,Condor,,6,79.40,,
33,Primitivo Zorrilla Nieves,ESP,Galiant VDS,,6,80.89,,
34,Antonio Chedraui E,MEX,La Bamba,,8,71.62,,
35,Joe Whitaker,GBR,Lola V,,8,72.48,,
36,Charo Ortells Torregrosa,ESP,Rodin la Gaffeliere,,8,72.60,,
37,Michael Duffy,IRL,Belcanto Z,,8,72.69,,
38,Sergio Alvarez Moya,ESP,Arrayan,,8,73.03,,
39,Luis Sabino Goncalves,POR,Filou Imperio Egipcio,,8,73.62,,
40,Samantha McIntosh,NZL,Check In,,8,74.05,,
41,Alberto Michan,MEX,Cottica II RV,,8,74.82,,
42,Christina Liebherr,SUI,L.B. Eagle Eye,,9,77.61,,
43,Charlotte Verhagen,NED,Abache HL,,10,79.28,,
44,Jose Bono Rodriguez,ESP,Sligo Hard Times,,10,80.47,,
45,Victoria Gulliksen,NOR,Viego les Hauts,,10,80.91,,
46,Stein Endresen,NOR,Cintia,,11,84.17,,
47,Doron Kuipers,NED,Zinius,,11,86.59,,
48,Marc Dilasser,FRA,Cliffton,,12,73.90,,
49,Tim Wilks,GBR,Quelbora Merze,,13,75.44,,
50,Antonio Matos Almeida,POR,Nikel de Presle,,13,77.65,,
51,Santiago Nunez Riva,ESP,Monalisa LS,,21,94.00,,
52,Cecilie Hatteland,NOR,Alex,,22,80.72,,
53,Harold Boisset,FRA,Quolita Z,,EL,,,
54,Mario Wilson Fernandes,POR,Sahel Villa Rose,,EL,,,
55,Johnny Pals,NED,Fernando,,EL,,,
56,Frederic David,FRA,Equador van’t Roosakker,,EL,,,
57,Eduardo Alvarez Aznar,ESP,Fidux,,EL,,,
58,Robert Bevis,GBR,Courtney Z,,RET,,,
59,Duarte Seabra,POR,Fernhill Curra Quinn,,RET,,,
60,Gregory Wathelet,BEL,Citizenguard Taalex,,RET,,,
61,Eric Lamaze,CAN,Chacco Kid,,RET,,,
