Posición,Jinete,Nacionalidad,Caballo,Premio (€),Puntos,Tiempo
1,Robert Smith,GBR,Cimano E,2970,65,53.18
2,Demott Lennon,IRL,Vampire,1800,65,53.74
3,Nadja Peter-Steiner,SUI,Cayena,1350,65,55.37
4,Alberto Michan,MEX,Cottica II RV,900,65,56.38
5,Samantha Mclntosh,NZL,Estina,540,65,56.48
6,Lillie Keenan,USA,Be Gentle,405,65,57.02
7,Simone Costa,ITA,Luce Luce,270,65,57.29
8,Tim Stockdale,GBR,Tornado des Monts,225,65,58.41
9,Santiago Nuñez Riva,ESP,Monalisa LS,180,65,65.53
10,Jaime Silvela Castanon,ESP,Visama Corina,180,65,65.97
11,Alberto Marquez Galobardes,ESP,Croupier V,90,64,72.11
12,Christine Liebherr,SUI,L.B. Staloubet Manciais,90,64,73.15
13,Cassio Rivetti,UKR,Ulahop Boy,,64,74.07
14,Luca Maria Moneta,ITA,Herold N,,63,73.00
15,Charo Ortells Torregrosa,ESP,Urpita One,,63,77.05
16,Charlotte Verhagen,NED,Zimba HL,,63,77.47
17,Julio Arias,ESP,Uppercut Libellule,,63,77.67
18,Pablo Dominguez Pinon,ESP,Chacclight,,63,77.97
19,Bernard Briand Chevalier,FRA,Chattano,,62,76.55
20,Federico Fernandez,MEX,Pegasso,,62,80.14
21,Marta Ortega Perez,ESP,Zigali P S,,62,81.79
22,Guillermo Gonzalez Alonso,ESP,Uelem Croze,,61,74.38
23,Carolina Aresu Garcia Obregon,ESP,Tresor Pironniere,,61,82.60
24,Eric Lamaze,CAN,Chacco Kid,,61,86.30
25,Cecilie Hatteland,NOR,Gulio van de Koelaar,,25,53.75
26,Jose Bono Rodriguez,ESP,Iroko vd Brouwershoeve,,25,54.08
27,Victoria Gulliksen,NOR,Via vd Karmenhoek Z,,25,54.94
28,Bryan Balsiger,SUI,Nohjy,,25,56.30
29,Primitivo Zorrilla Nieves,ESP,Hella van de Nachtegaele,,24,59.97
30,Stein Endressen,NOR,Ce Matin,,23,70.95
31,Katharina Offel,GER,Umeunig,,23,75.32
32,Mario Wilson Fernandes,POR,Sahel Villa Rose,,22,78.48
33,Sanne Thijssen,NED,Con Quidam RB,,21,80.48
34,Sameh El Dahan,EGY,Suma's Zorro,,19,92.60
35,Johnny Pals,NED,A Lee Spring Power,,17,86.64
36,Marc Dilasser,FRA,Air Corrado Vo,,16,56.82
37,Marie Dive,BEL,Chasse Spleen Z,,-1,0.0
