Posición,Atleta,Nacionalidad,Caballo,Premio (€),Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo
1,Kevin Staut,FRA,For Joy van't Zorgvliet HDC,6500,0,75.08,0,73.20
q,Edward Levy,FRA,Sirius Black,6500,4,72.60,0,72.96
1,Gregory Cottard,FRA,Regate d'Aure,6500,0,71.52,4,71.38
1,Nicolas Delmotte,FRA,Ilex VP,6500,0,76.75,0,75.91
2,Johnny Pals,NED,Wesselina,4500,8,73.00,0,73.78
2,Roelof Bril,NED,Arlando,4500,0,77.88,0,75.13
2,Sanne Thijssen,NED,Celine M Z,4500,4,74.11,12,77.86
2,Frank Schuttert,NED,Chianti's Champion,4500,4,75.11,0,76.06
3,Shane Breen,IRL,Ipswich van de Wolfsakker,3000,0,71.61,0,74.22
3,David Simpson,IRL,Keoki,3000,8,75.10,12,77.91
3,Cameron Hanley,IRL,Quirex,3000,4,77.49,0,76.17
3,Anthony Condon,IRL,Balzac,3000,12,76.55,0,77.60
4,Chris Pratt,CAN,Concorde,2000,0,74.89,4,74.26
4,Jaclyn Duff,CAN,Eh All Or None,2000,1,78.10,EL,
4,Kara Chad,CAN,Bellinda,2000,0,74.81,8,76.45
4,Yann Candele,CAN,Chaventyno,2000,20,77.62,0,74.83
5,Keith Shore,GBR,Mystic Hurricane,1250,4,75.17,4,76.18
5,Alison Barton,GBR,Roma IV,1250,8,77.39,4,76.15
5,Nigel Coupe,GBR,Golvers Hill,1250,8,74.52,4,76.71
5,Ben Maher,GBR,MTF Madame X,1250,0,73.24,0,74.60
6,Jose Alfredo Hernandez,MEX,Grupo Prom Rahmannshof Before,1250,17,81.75,9,80.40
6,Enrique Gonzalez Delgado,MEX,Chacna,1250,4,74.94,4,77.12
6,Patricio Pasquel,MEX,Babel,1250,4,74.38,4,73.36
6,Federico Fernandez Senderos,MEX,Landpeter Do Feroleto,1250,0,77.22,8,74.77
7,Rold Moormann,GER,Samba de Janeiro,750,4,74.88,8,75.46
7,Andreas Knippling,GER,Hertoch van T Prinsenveld,750,4,77.62,0,76.34
7,Marc Bettinger,GER,Amber,750,9,79.99,EL,
7,Tobias Meyer,GER,Avanti,750,8,76.00,4,75.81
8,Manuel Fernandez Saro,ESP,Santiago de Blondel,750,8,75.95,8,74.63
8,Gonzalo Añon,ESP,Qlamp d'Ivraie,750,4,74.69,12,75.81
8,Julio Arias,ESP,Lennox,750,4,75.63,5,78.94
8,Gerardo Menendez,ESP,Cassino Dc,750,0,74.37,8,75.93
9,Karim El Zoghby,EGY,Caveman DH Z,,4,74.94,,
9,Wael Mahgary,EGY,Evergreen,,10,85.62,,
9,Mohamen El Naggar,EGY,Jackobond P vd Zwartbleshoeve,,41,81.93,,
9,Alaa Mayssara,EGY,Dittorio S,,4,77.96,,
