Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Gerardo Menendez,ESP,Cassino Dc,50721,0,85.05,0,56.43
2,Laura Roquet,ESP,Sandi Puigroq,30740,0,84.48,0,56.53
3,Louise Saywell,GBR,Tin Tin,23055,0,86.37,0,57.93
4,Victor Bettendorf,LUX,Sorbier Blanc,15370,0,84.61,0,58.55
5,Tobias Meyer,GER,Avanti,9222,0,86.78,0,59.45
6,Roelof Bril,NED,Arlando,"6916,5",1,88.28,2,63.88
7,Johnny Pals,NED,Wesselina,4611,4,83.65,4,52.52
8,Julia Dallamano,FRA,Hoepala vh Daalhof,"3842,5",0,83.92,4,54.40
9,Patricio Pasquel,MEX,Babel,3074,4,81.23,8,51.84
10,Grégory Cottard,FRA,Regate d'Aure,3074,4,82.51,8,52.05
11,Karim El Zoghby,EGY,Amelia,1537,4,78.91,8,54.74
12,Alison Barton,GBR,Roma IV,1537,4,85.31,8,61.53
13,Paola Amilibia,ESP,Gaudi,,4,85.41,,
14,Chris Pratt,CAN,Concorde,,4,85.57,,
15,Enrique Gonzalez Delgado,MEX,Chacna,,4,86.50,,
16,Jose Bono,ESP,Sligo Hard Times,,5,87.86,,
17,Edward Levy,FRA,Sirius Black,,5,87.91,,
18,David Simpson,IRL,Keoki,,5,88.42,,
19,Ivan Serrano,ESP,Cinderella Man,,6,91.53,,
20,Dayro Arroyave,COL,Uciano de la Botte,,8,80.72,,
21,Frank Schuttert,NED,Winchester HS,,8,80.76,,
22,Catherine Van Roosbroeck,BEL,Gautcho Da Quinta,,8,82.37,,
23,Kara Chad,CAN,Bellinda,,8,82.69,,
24,Francois Jr Mathy,BEL,Uno de la Roque,,8,83.00,,
25,Julio Arias,ESP,Lennox Luis,,8,83.66,,
26,Federico Fernandez Senderos,MEX,Landpeter Do Feroleto,,8,84.19,,
27,Martim Portela de Morais,POR,Inco van den Bisschop,,8,85.40,,
28,Andreas Knippling,GER,Hertoch van T Prinsenveld,,8,85.68,,
29,Sanne Thijssen,NED,Celine M Z,,8,85.98,,
30,Anthony Condon,IRL,Balzac,,9,87.72,,
31,Nicolas Delmotte,FRA,Ilex VP,,9,88.21,,
32,Marta Bottanelli,ITA,Clintissima,,10,91.11,,
33,Shane Breen,IRL,Laith,,12,83.48,,
34,Jur Vrieling,NED,Zypern III,,13,88.30,,
35,Dermott Lennon,IRL,Loughview Lou-Lou,,14,91.82,,
36,Luis Fdez. Gil-Fournier,ESP,Espinosa,,16,86.27,,
37,Rebecca Mcgoldrick,CAN,Cuba Libre,,EL,,,
38,Ben Maher,GBR,MTF Madame X,,EL,,,
39,Samantha McIntosh,NZL,Check In,,RET,,,
40,Keith Shore,GBR,Mystic Hurricane,,RET,,,
41,Gonzalo Añón,ESP,Qlamp d'Ivraie,,RET,,,
42,Reed Kessler,USA,Cos I Can,,RET,,,
43,Yann Candele,CAN,Chaventyno,,RET,,,
44,Nigel Coupe,GBR,Golvers Hill,,RET,,,
