Posición,Jinete,País,Caballo,Premio (€),Puntos,Tiempo
1,Edward Levy,FRA,Rafale d'Hyverniere,8118,0,67.18
2,Nicolas Delmotte,FRA,Darmani van T Heike,4920,0,67.28
3,Laura Renwick,GBR,Dominant H,3690,0,67.34
4,Diego Perez Bilbao,ESP,Quinty du Buisson,2460,0,67.89
5,Shane Breen,IRL,Hallowberry Cruz,1476,0,68.28
6,Samantha McIntosh,NZL,Estina,1107,0,68.31
7,Francois Jr Mathy,BEL,Cassis van de Kranenburg,738,0,68.93
8,Cameron Hanley,IRL,Aiyetoro,615,0,70.47
9,Jessica Mendoza,GBR,Horst van de Mispelaere,492,0,70.71
10,Mark McAuley,IRL,Vivaldi du Theil,492,0,71.67
11,Diana Marsa-Lafarge,ESP,Andi D Emiralia,246,0,71.71
12,Alberto Marquez Galobardes,ESP,Ineta del Maset,246,0,71.76
13,Alison Barton,GBR,Donata,,0,71.98
14,David Simpson,IRL,Starfighter,,0,72.40
15,Sanne Thijssen,NED,Sara Galotiere,,0,73.28
16,Ernesto Cano,MEX,Celebrity VDL,,0,73.89
17,Luis Fdez. Gil-Fournier,ESP,Fosca de Ibio,,0,74.25
18,Tobias Meyer,GER,Cabaltica,,0,81.55
19,Pedro Antonio Mateos,ESP,Uelem Croze,,0,83.24
20,Rowan Willis,AUS,Shark,,4,67.85
21,Victor Bettendorf,LUX,Colchique du Gibet,,4,69.02
22,Louise Saywell,GBR,Lady Lou,,4,69.86
23,Piergiorgio Bucci,ITA,Heartbreaker vd Achterhoe,,4,74.85
24,Jur Vrieling,NED,Acascia,,4,75.15
25,Gerardo Menendez,ESP,Lordana Dc,,4,75.92
26,Julia Dallamano,FRA,Umea de Pleville,,4,86.51
27,Dermott Lennon,IRL,Gelvins Touch,,5,87.06
28,Hugo Breul,FRA,Follina van ter Hulst,,8,77.99
29,Patricio Pasquel,MEX,Careyes,,EL,
30,Paola Amilibia,ESP,Notre Star de la Nutria,,RET,
