Posición,Jinete,País,Caballo,Premio (€),Puntos,Tiempo
1,Cameron Hanley,IRL,Arany de Kergane,625,0,58.24
2,Dayro Arroyave,COL,Kadance van't Lozerhof,500,0,58.80
3,Victor Bettendorf,LUX,Candy Blue,375,0,59.10
4,Marc Bettinger,GER,Celina IX,250,0,59.36
5,Nicolas Delmotte,FRA,Appy Days Une Prince,175,0,62.06
6,Enrique Gonzalez Delgado,MEX,Filemon,"137,5",0,63.43
7,Sanne Thijssen,NED,Carinja,100,0,63.68
8,Alberto Marquez Galobardes,ESP,Dantino del Castanar,75,0,63.74
9,Rowan Willis,AUS,Wellington Grandorie,75,0,64.25
10,Kevin Staut,FRA,Touchant van T et L Z,"62,5",0,64.50
11,Jesús Bamonde,ESP,AGR Toulalan,"62,5",0,66.44
12,Santiago Nuñez,ESP,Dovela de Capellan,"62,5",0,66.58
13,Louise Saywell,GBR,Hashtag,–,0,66.82
14,Jur Vrieling,NED,Curcuma,–,0,67.46
15,Francois Jr Mathy,BEL,Hello Diamant,–,0,67.59
16,Paola Amilibia,ESP,Julieta,–,0,68.88
17,Luis Fdez. Gil-Fournier,ESP,Ibon,–,0,71.49
18,Diego Perez Bilbao,ESP,Victoria de Walyro,–,0,73.28
19,Julio Arias,ESP,Gylord Carthago BH,–,0,75.34
20,Pedro Antonio Mateos,ESP,Bonzai West,–,0,78.60
21,Ivan Serrano,ESP,Citizen Mezz,–,4,62.83
22,David Simpson,IRL,Fifa Paola,–,4,64.13
23,Laura Roquet,ESP,Makuru MQ,–,4,74.68
24,Alvaro Diaz,ESP,Iva de Porceyo,–,4,75.63
25,Catherine Van Roosbroeck,BEL,Fiesta M,–,4,78.80
26,Marta Bottanelli,ITA,Finca S,–,4,78.96
27,Kara Chad,CAN,Quidamo F,–,4,79.82
28,Diana Marsa-Lafarge,ESP,Avel de la Lande,–,8,68.17
