Posición,Jinete,País,Caballo,Premio,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Dayro Arroyave,COL,Kadance van't Lozerhof,1250,0,83.08 ,0,37.23
2,Diana Marsa-Lafarge,ESP,Avel de la Lande,1000,0,81.80 ,0,37.77
3,Sanne Thijssen,NED,Carinja,750,0,85.81 ,0,39.11 
4,Kevin Staut,FRA,Touchant van T et L Z,500,0,84.01 ,0,39.23 
5,Paola Amilibia,ESP,Julieta,350,0,85.44 ,0,40.18 
6,Enrique Gonzalez Delgado,MEX,Filemon,275,0,90.95 ,0,41.48 
7,David Simpson,IRL,Fifa Paola,200,0,87.56 ,0,44.43 
8,Nicolas Delmotte,FRA,Appy Days Une Prince,150,0,86.56 ,0,47.27 
9,Catherine Van Roosbroeck,BEL,Fiesta M,150,0,83.39 ,0,48.07 
10,Ivan Serrano,ESP,Citizen Mezz,125,0,81.85 ,4,35.98 
11,Rowan Willis,AUS,Wellington Grandorie,125,0,79.19 ,4,37.67 
12,Jesús Bamonde,ESP,AGR Toulalan,125,0,84.93 ,4,38.91 
13,Louise Saywell,GBR,Hashtag,,0,87.01 ,4,40.20 
14,Luis Fdez. Gil-Fournier,ESP,Ibon,,0,85.14 ,4,41.08 
15,Alvaro Diaz,ESP,Iva de Porceyo,,0,88.41 ,4,41.09 
16,Santiago Nuñez,ESP,Dovela de Capellan,,0,85.04 ,4,41.65 
17,Pedro Antonio Mateos,ESP,Bonzai West,,0,83.67 ,RET,
18,Marc Bettinger,GER,Celina IX,,4,81.70 ,,
19,Victor Bettendorf,LUX,Candy Blue,,4,81.95 ,,
20,Diego Perez Bilbao,ESP,Victoria de Walyro,,4,84.76 ,,
21,Alberto Marquez Galobardes,ESP,Dantino del Castanar,,4,85.77 ,,
22,Francois Jr Mathy,BEL,Hello Diamant,,4,87.61 ,,
23,Jur Vrieling,NED,Curcuma,,4,88.03 ,,
24,Marta Bottanelli,ITA,Finca S,,4,89.36 ,,
25,Cameron Hanley,IRL,Arany de Kergane,,8,82.66 ,,
26,Julio Arias,ESP,Gylord Carthago BH,,8,88.50 ,,
27,Kara Chad,CAN,Quidamo F,,8,88.56 ,,
28,Laura Roquet,ESP,Makuru MQ,,20,105.45 ,,
