Posición,Atleta,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Marc Bettinger,GER,Celina IX,625,0,68.78
2,Cameron Hanley,IRL,Arany de Kergane,500,0,72.13
3,Victor Bettendorf,LUX,Candy Blue,375,0,72.15 
4,Jur Vrieling,NED,Curcuma,250,0,72.61 
5,Rowan Willis,AUS,Wellington Grandorie,175,0,76.95 
6,David Simpson,IRL,Fifa Paola,"137,5",0,77.29 
7,Dayro Arroyave,COL,Kadance van't Lozerhof,100,0,77.78 
8,Alberto Marquez Galobardes,ESP,Dantino del Castanar,75,0,78.31 
9,Louise Saywell,GBR,Hashtag,75,0,80.79 
10,Paola Amilibia,ESP,Julieta,"62,5",0,81.56
11,Jesús Bamonde,ESP,AGR Toulalan,"62,5",0,82.17 
12,Nicolas Delmotte,FRA,Appy Days Une Prince,"62,5",0,82.86
13,Enrique Gonzalez Delgado,MEX,Filemon,,0,84.07
14,Santiago Nuñez,ESP,Dovela de Capellan,,0,84.67
15,Julio Arias,ESP,Gylord Carthago BH,,0,85.36
16,Kara Chad,CAN,Quidamo F,,0,88.88
17,Laura Roquet,ESP,Makuru MQ,,0,90.52 
18,Marta Bottanelli,ITA,Finca S,,0,92.66 
19,Alvaro Diaz,ESP,Iva de Porceyo,,1,95.46
20,Ivan Serrano,ESP,Citizen Mezz,,4,80.50 
21,Luis Fdez. Gil-Fournier,ESP,Ibon,,4,83.82
22,Kevin Staut,FRA,Touchant van T et L Z,,4,85.32
23,Francois Jr Mathy,BEL,Hello Diamant,,4,92.23 
24,Pedro Antonio Mateos,ESP,Bonzai West,,8,81.80
25,Diego Perez Bilbao,ESP,Victoria de Walyro,,8,87.20
26,Sanne Thijssen,NED,Carinja,,8,91.39
27,Catherine Van Roosbroeck,BEL,Fiesta M,,11,122.44 
28,Diana Marsa-Lafarge,ESP,Avel de la Lande,,EL,
