Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Rowan Willis,AUS,Blue Movie,10890,0,65.83
2,Laura Renwick,GBR,Dominant H,6600,0,67.83
3,Louise Saywell,GBR,Tin Tin,4950,0,69.77
4,Kara Chad,CAN,Carona,3300,0,69.91
5,Shane Breen,IRL,Hallowberry Cruz,1980,0,69.98
6,Marc Bettinger,GER,Incroyable de Muze,1485,0,70.19
7,Tobias Meyer,GER,Skik,990,0,70.59
8,Federico Fernandez Senderos,MEX,Pegasso,825,0,71.30
9,Paola Amilibia,ESP,Prunella d'Ariel,660,0,71.63
10,Karim El Zoghby,EGY,Caveman DH Z,660,0,72.66
11,Cameron Hanley,IRL,EIS Isaura,330,0,72.91
12,Manuel Fernandez Saro,ESP,Cuidam,330,0,74.49
13,Luis Sabino Goncalves,POR,Filou Imperio Egipcio,90,0,76.07
14,Hugo Breul,FRA,Utahmano Alu,90,0,77.45
15,Ernesto Canseco,MEX,Davall,,0,77.58
16,Andreas Knippling,GER,Delcento,,0,78.55
17,Marta Bottanelli,ITA,Clintissima,,1,87.54
18,Victor Bettendorf,LUX,Colchique du Gibet,,4,66.21
19,Dermott Lennon,IRL,Fl IV,,4,67.66
20,Keith Shore,GBR,Hermes,,4,68.25
21,Sanne Thijssen,NED,No Fear vd Tichelrij Z,,4,69.98
22,Piergiorgio Bucci,ITA,Ugano de Coquerie,,4,70.05
23,Dayro Arroyave,COL,Uppercut Libellule,,4,73.43
24,Martim Portela de Morais,POR,Inco van den Bisschop,,4,74.60
25,Eric Van der Vleuten,NED,Quivive S Z,,4,75.10
26,Edward Levy,FRA,Umbrella ter Wilgen Z,,4,75.85
27,Laura Roquet,ESP,Quilate del Duero,,4,79.54
28,Maximilian Lill,GER,Capuccino,,4,80.43
29,Jose Bono,ESP,Ibis,,4,80.82
30,Jessica Mendoza,GBR,Toy Boy,,4,80.91
31,Roelof Bril,NED,Dizzy Lizzy,,4,81.10
32,Grégory Cottard,FRA,Urhelia Lutterbach,,4,81.92
33,Johnny Pals,NED,Chat Botte du Ruisseau Z,,4,82.32
34,Ivan Serrano,ESP,Cinderella Man,,4,83.95
35,Luis Fdez. Gil-Fournier,ESP,Fosca de Ibio,,4,84.77
36,Julio Arias,ESP,Reggae du Tillard,,5,88.92
37,Nigel Coupe,GBR,Jubilee III,,8,69.67
38,Anthony Condon,IRL,Zira vh Kapelhof Z,,8,72.69
39,Jur Vrieling,NED,Silverstras,,8,72.82
40,Julia Dallamano,FRA,Hoepala vh Daalhof,,8,74.15
41,Reed Kessler,USA,Tradition de la Roque,,8,80.33
42,José Alfredo Hernandez,MEX,Grupo Prom Carla Columna,,8,81.65
43,Yann Candele,CAN,Quidams Quit,,8,84.77
44,Saul Gutierrez Oti,ESP,Utwo de la Thiaunais,,9,88.42
45,Alberto Marquez Galobardes,ESP,Devil V.D. to Jo Pe Hoeve,,12,81.51
46,Patricia Elena Alvarado,VEN,Souchka du Lys,,13,87.06
47,Catherine Van Roosbroeck,BEL,Shou D Ouilly,,16,71.35
48,Francois Jr Mathy,BEL,Casanova de l' Herse,,16,79.69
49,Wael Mahgary,EGY,Crocket W,,20,113.35
50,Rebecca Mcgoldrick,CAN,Horatio van Erpekom,,EL,
51,Enrique Gonzalez Delgado,MEX,Zapzerap,,RET,
51,Patricio Pasquel,MEX,Careyes,,RET,
51,Alfonso Arango,ESP,Tahiti d'Auge,,RET,
