Posición,Jinete,País,Caballo,Premio (€),Penalizaciones,Tiempo
1,Dermott Lennon,IRL,Gelvins Touch,2475,0,66.75
2,Rowan Willis,AUS,Shark,1500,0,68.26
3,Francois Jr Mathy,BEL,Cassis van de Kranenburg,1125,0,70.36
4,Laura Renwick,GBR,Utrillo de Breve,750,0,70.41
5,Jur Vrieling,NED,Zypern III,450,0,72.05
6,Mark McAuley,IRL,Vivaldi du Theil,"337,5",0,73.40
7,Anthony Condon,IRL,Zira vh Kapelhof Z,225,0,74.55
8,Tobias Meyer,GER,Skik,"187,5",0,74.98
9,Grégory Cottard,FRA,Regate d'Aure,150,0,79.74
10,Pedro Antonio Mateos,ESP,Uelem Croze,150,0,81.12
11,Martim Portela de Morais,POR,Inco van den Bisschop,75,0,81.34
12,Alison Barton,GBR,Donata,75,0,81.88
13,Patricio Pasquel,MEX,Babel,30,0,82.01 
14,Diana Marsa-Lafarge,ESP,Donita,30,0,83.63
15,Karim El Zoghby,EGY,Madinah,30,0,83.78 
16,Paola Amilibia,ESP,Gaudi,30,1,85.44
17,José Alfredo Hernández,MEX,Grupo Prom Rahmannshof Before,,1,85.47 
18,Hugo Breul,FRA,Utahmano Alu,,1,86.00 
19,Ernesto Cano,MEX,Davall,,1,86.47 
20,Reed Kessler,USA,Charity,,1,86.86
21,Alberto Marquez Galobardes,ESP,Devil V.D. to Jo Pe Hoeve,,1,87.26 
22,Laura Roquet,ESP,Sandi Puigroq,,2,88.26 
23,Luis Sabino Goncalves,POR,Filou Imperio Egipcio,,2,88.29 
24,Edward Levy,FRA,Sirius Black,,2,88.37
25,Cameron Hanley,IRL,Quirex,,2,89.75 
26,Maximilian Lill,GER,Eldorado V,,2,90.18 
27,Eric Van der Vleuten,NED,Wunschkind,,2,90.70 
28,Wael Mahgary,EGY,Evergreen,,2,91.37 
29,Piergiorgio Bucci,ITA,Ugano de Coquerie,,2,91.85 
30,Shane Breen,IRL,Ipswich van de Wolfsakker,,3,92.28
31,Sanne Thijssen,NED,Celine M Z,,3,93.40
32,David Simpson,IRL,Keoki,,3,93.68 
33,Catherine Van Roosbroeck,BEL,Gautcho Da Quinta,,3,93.82 
34,Jessica Mendoza,GBR,Toy Boy,,3,93.87 
35,Nicolas Delmotte,FRA,Ilex VP,,3,93.97
36,Saul Gutierrez Oti,ESP,Utwo de la Thiaunais,,3,94.80
37,Enrique Gonzalez Delgado,MEX,Zapzerap,,4,81.07
38,Nigel Coupe,GBR,Dragon,,4,81.29 
39,Gerardo Menendez,ESP,Costello DC,,4,82.39 
40,Rebecca McGoldrick,CAN,Cuba Libre,,4,82.46
41,Keith Shore,GBR,Hermes,,4,83.82
42,Roelof Bril,NED,Arlando,,4,96.14 
43,Louise Saywell,GBR,Pewit Nono,,4,96.87
44,Frank Schuttert,NED,Chianti's Champion,,4,99.71 
45,Dayro Arroyave,COL,Uciano de la Botte,,5,84.54 
46,Luis Fdez. Gil-Fournier,ESP,Espinosa,,5,84.99 
47,Julia Dallamano,FRA,Umea de Pleville,,5,85.39 
48,Patricia Elena Alvarado,VEN,Souchka du Lys,,5,86.51 
49,Victor Bettendorf,LUX,Tino des Fusains,,5,87.90 
50,Andreas Knippling,GER,Delcento,,6,88.16 
51,Chris Pratt,CAN,Concorde,,6,88.60
52,Federico Fernandez Senderos,MEX,Pegasso,,6,90.94 
53,Jaclyn Duff,CAN,Eh All Or None,,6,91.38 
54,Rolf Moormann,GER,Clintina,,8,79.95
55,Marc Bettinger,GER,Amber,,11,94.51
56,Alfonso Arango,ESP,Tahiti d'Auge,,13,85.84 
57,Kara Chad,CAN,DSP Colfosco,,15,125.68
58,Mohamed El Naggar,EGY,Jackobond P vd Zwartbleshoeve,,21,86.80 
59,Marta Bottanelli,ITA,Vesthigo Z,,EL,
60,Yann Candele,CAN,Chaventyno,,RET,
61,Samantha McIntosh,NZL,Check In,,RET,
62,Johnny Pals,NED,Wesselina,,RET,
63,Kevin Staut,FRA,For Joy van't Zorgvliet HDC,,RET,
64,Manuel Fernandez Saro,ESP,Santiago de Blondel,,RET,
