Posición,Jinete,Nacionalidad,Caballo,Premio (€),Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II
1,Paola Amilibia,ESP,Notre Star de la Nutria,2475,0,,0,31.94
2,Laura Renwick,GBR,Dominant H,1500,0,,0,32.04
3,Jur Vrieling,NED,Silverstras,1125,0,,0,32.33
4,Dayro Arroyave,COL,Koriano van Klapscheut,750,0,,0,32.47
5,David Simpson,IRL,Starfighter,450,0,,0,32.84
6,Yann Candele,CAN,Quidams Quit,"337,5",0,,0,32.93
7,Hugo Breul,FRA,Follina van ter Hulst,225,0,,0,32.99
8,Edward Levy,FRA,Umbrella ter Wilgen Z,"187,5",0,,0,33.28
9,Diego Perez Bilbao,ESP,Quinty du Buisson,150,0,,0,33.36
10,Victor Bettendorf,LUX,Tino des Fusains,150,0,,0,33.63
11,Sanne Thijssen,NED,Sara Galotiere,75,0,,0,33.74
12,Nicolas Delmotte,FRA,Darmani van T Heike,75,0,,0,33.84
13,Julia Dallamano,FRA,Umea de Pleville,30,0,,0,34.61
14,Jessica Mendoza,GBR,Horst van de Mispelaere,30,0,,0,35.61
15,Catherine Van Roosbroeck,BEL,Shou D Ouilly,30,0,,0,36.26
16,Alison Barton,GBR,Donata,,0,,0,36.35
17,Rolf Moormann,GER,Clintina,,0,,0,37.69
18,Luis Fdez. Gil-Fournier,ESP,Deva,,0,,0,38.46
19,Nigel Coupe,GBR,Dragon,,0,,0,38.58
20,Andreas Knippling,GER,Delcento,,0,,0,39.05
21,Alberto Marquez Galobardes,ESP,Volt de Kergane,,0,,0,39.19
22,Jose Bono,ESP,Ibis,,0,,0,39.29
23,Louise Saywell,GBR,Lady Lou,,0,,0,39.82
24,Cameron Hanley,IRL,EIS Isaura,,0,,0,40.67
25,Maximilian Lill,GER,Eldorado V,,0,,0,42.42
26,Diana Marsa-Lafarge,ESP,Andi D Emiralia,,0,,0,43.47
27,Karim El Zoghby,EGY,Madinah,,0,,0,43.91
28,Manuel Fernandez Saro,ESP,Cuidam,,0,,0,45.26
29,Ben Maher,GBR,Winning Good,,0,,0,46.10
30,Jaclyn Duff,CAN,Eh All Or None,,0,,0,47.27
31,Eric Van der Vleuten,NED,Zigali P S,,0,,0,47.88
32,Wael Mahgary,EGY,Crocket W,,0,,1,48.08
33,Piergiorgio Bucci,ITA,Heartbreaker vd Achterhoe,,0,,1,51.35
34,Reed Kessler,USA,Tradition de la Roque,,0,,2,54.01
35,Frank Schuttert,NED,Winchester HS,,0,,2,55.04
36,Dermott Lennon,IRL,Gelvins Touch,,0,,4,32.34
37,Keith Shore,GBR,Coriander van't Vennehof,,0,,4,33.11
38,Rebecca McGoldrick,CAN,Duco,,0,,4,33.48
39,Luis Sabino Goncalves,POR,Goran Imperio Egipcio,,0,,4,35.16
40,Gerardo Menendez,ESP,Lordana DC,,0,,4,37.99
41,Mark McAuley,IRL,Vivaldi du Theil,,0,,4,38.43
42,Kara Chad,CAN,Carona,,0,,4,39.91
43,Patricia Elena Alvarado,VEN,Souchka du Lys,,0,,4,42.50
44,Pedro Antonio Mateos,ESP,Forehand B F Z,,0,,4,43.39
45,José Alfredo Hernández,MEX,Grupo Prom Carla Columna,,0,,4,43.66
46,Laura Roquet,ESP,Cachaca,,0,,4,45.07
47,Samantha McIntosh,NZL,Estina,,0,,8,34.71
48,Gonzalo Añón,ESP,Qlamp d'Ivraie,,0,,RET,
49,Shane Breen,IRL,Laith,,1,,,
50,Julio Arias,ESP,Lennox Luis,,4,,,
50,Rowan Willis,AUS,The Flying Fox III,,4,,,
50,Tobias Meyer,GER,Cabaltica,,4,,,
50,Chris Pratt,CAN,Quorioso Pre Noir,,4,,,
50,Alfonso Arango,ESP,Tahiti d'Auge,,4,,,
50,Kevin Staut,FRA,Ccstud's Fidelity,,4,,,
50,Santiago Nuñez,ESP,Luanco,,4,,,
57,Federico Fernandez Senderos,MEX,Landpeter Do Feroleto,,7,,,
58,Enrique Gonzalez Delgado,MEX,Zapzerap,,8,,,
59,Saul Gutierrez Oti,ESP,Bicina,,EL,,,
