Posición,Jinete,País,Caballo,Premio ,Puntos,Tiempo
1,Rowan Willis,AUS,The Flying Fox III,2970,65,55.59
2,Louise Saywell,GBR,Pewit Nono,1800,65,57.76
3,Maximilian Lill,GER,Zara,1350,65,58.01
4,Julia Dallamano,FRA,Umea de Pleville,900,65,58.09
5,Hugo Breul,FRA,Follina van ter Hulst,540,65,59.48
6,Rebecca Mcgoldrick,CAN,Duco,405,65,60.14
7,Nigel Coupe,GBR,Dragon,270,65,61.58
8,Chris Pratt,CAN,Quorioso Pre Noir,225,65,62.35
9,Diana Marsa-Lafarge,ESP,Donita,180,65,63.83
10,Gerardo Menendez,ESP,Lordana Dc,180,65,67.85
11,Eric Van der Vleuten,NED,Zigali P S,90,65,69.17
12,Alberto Marquez Galobardes,ESP,Volt de Kergane,90,65,69.57
13,Laura Roquet,ESP,Cachaca,,65,69.88
14,Luis Fdez. Gil-Fournier,ESP,Espinosa,,65,70.91
15,Dayro Arroyave,COL,Koriano van Klapscheut,,64,71.98
16,Pedro Antonio Mateos,ESP,Forehand B F Z,,64,73.44
17,Paola Amilibia,ESP,Gaudi,,64,74.06
18,Dermott Lennon,IRL,Loughview Lou-Lou,,64,74.44
19,Kara Chad,CAN,DSP Colfosco,,63,76.52
20,Kevin Staut,FRA,Ccstud's Fidelity,,62,69.57
21,Alfonso Arango,ESP,Ursula D Auge,,61,70.13
22,Karim El Zoghby,EGY,Madinah,,60,80.07
23,Victor Bettendorf,LUX,Sorbier Blanc,,60,88.24
24,Samantha McIntosh,NZL,Check In,,60,89.20
25,Alaa Mayssara,EGY,Dittorio S,,59,88.71
26,Luis Sabino Goncalves,POR,Hilde Imperio Egipcio,,57,56.56
27,Sanne Thijssen,NED,Sara Galotiere,,57,57.08
28,Alvaro Diaz,ESP,Kastar Hof Ten Zoetendaele,,56,85.10
29,Rolf Moormann,GER,Clintina,,52,67.96
30,Jaclyn Duff,CAN,Caesar Z,,51,99.06
31,Gonzalo Añón,ESP,AD Amigo B,,25,54.27
32,Keith Shore,GBR,Coriander van't Vennehof,,25,55.96
33,Laura Renwick,GBR,Utrillo de Breve,,22,61.12
34,Santiago Nuñez,ESP,Recesvinto,,21,77.82
35,Saul Gutierrez Oti,ESP,Bicina,,EL,
