Posición,Jinete,Nacionalidad,Caballo,Premio (€),Puntos,Tiempo
1,Nicolas Delmotte,FRA,Darmani van T Heike,8118,0,75.07
2,Edward Levy,FRA,Rafale d'Hyverniere,4920,0,75.72
3,Samantha McIntosh,NZL,Estina,3690,0,76.58
4,Piergiorgio Bucci,ITA,Heartbreaker vd Achterhoe,2460,0,77.08
5,Shane Breen,IRL,Hallowberry Cruz,1476,0,78.62
6,Sanne Thijssen,NED,Sara Galotiere,1107,4,78.91
7,Dermott Lennon,IRL,Fl IV,738,4,79.11
8,Rowan Willis,AUS,Shark,615,4,79.38
9,Cameron Hanley,IRL,Aiyetoro,492,0,80.21
10,Alberto Marquez Galobardes,ESP,Ineta del Maset,492,0,80.36
11,Francois Jr Mathy,BEL,Cassis van de Kranenburg,246,4,80.57
12,Jessica Mendoza,GBR,Horst van de Mispelaere,246,0,81.17
13,Luis Fdez. Gil-Fournier,ESP,Deva,,0,81.78
14,Ernesto Cano,MEX,Celebrity VDL,,0,82.95
15,Louise Saywell,GBR,Lady Lou,,0,83.55
16,Gerardo Menendez,ESP,Costello Dc,,0,84.06
17,Nigel Coupe,GBR,Dragon,,0,84.13
18,Maximilian Lill,GER,Zara,,4,85.13
19,Diana Marsa-Lafarge,ESP,Andi D Emiralia,,0,85.16
20,Anthony Condon,IRL,Zira vh Kapelhof Z,,0,85.68
21,Julia Dallamano,FRA,Umea de Pleville,,8,87.71
22,Jur Vrieling,NED,Acascia,,8,87.72
23,Alfonso Arango,ESP,Tahiti d'Auge,,8,88.72
24,Yann Candele,CAN,Quidams Quit,,8,88.93
25,Manuel Fernandez Saro,ESP,Dodger of the Lowlands,,8,90.99
26,Mark McAuley,IRL,Vivaldi du Theil,,8,91.45
27,Kevin Staut,FRA,Ccstud's Fidelity,,8,94.44
28,Chris Pratt,CAN,Quorioso Pre Noir,,8,94.82
29,Reed Kessler,USA,Charity,,4,95.06
30,Keith Shore,GBR,Coriander van't Vennehof,,0,96.16
31,Laura Roquet,ESP,Quilate del Duero,,4,97.50
32,Kara Chad,CAN,DSP Colfosco,,0,100.32
33,Laura Renwick,GBR,Utrillo de Breve,,12,100.35
34,Pedro Antonio Mateos,ESP,Forehand B F Z,,8,100.45
35,Rebecca McGoldrick,CAN,Duco,,12,101.28
36,Dayro Arroyave,COL,Koriano van Klapscheut,,4,104.20
37,Victor Bettendorf,LUX,Tino des Fusains,,16,109.27
38,Santiago Nuñez,ESP,Luanco,,8,109.40
39,David Simpson,IRL,Starfighter,,16,111.55
40,Jaclyn Duff,CAN,Caesar Z,,0,114.65
41,Luis Sabino Gonçalves,POR,Goran Imperio Egipcio,,EL,
41,Saul Gutierrez Oti,ESP,Bicina,,EL,
43,Ben Maher,GBR,MTF Madame X,,RET,
