Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Kevin Staut,FRA,For Joy van't Zorgvliet HDC,20394,0,77.37,0,48.41
2,Jur Vrieling,NED,Zypern III,12360,0,81.00,0,49.38
3,Catherine Van Roosbroeck,BEL,Gautcho Da Quinta,9270,0,78.98,0,49.99
4,Keith Shore,GBR,Mystic Hurricane,6180,0,80.31,2,51.22
5,Samantha McIntosh,NZL,Check In,3708,0,77.82,3,52.15
6,Reed Kessler,USA,Cos I Can,2781,0,77.36,4,46.51
7,Jose Bono,ESP,Sligo Hard Times,1854,0,79.39,7,56.80
8,Roelof Bril,NED,Arlando,1545,0,79.26,9,58.30
9,Karim El Zoghby,EGY,Amelia,1236,1,81.04,,
10,Mark McAuley,IRL,Utchan de Belheme,1236,1,81.08,,
11,Johnny Pals,NED,Wesselina,618,4,76.88,,
12,Victor Bettendorf,LUX,Sorbier Blanc,618,4,76.92,,
13,Edward Levy,FRA,Sirius Black,130,4,77.49,,
14,Chris Pratt,CAN,Concorde,130,4,77.51,,
15,Nicolas Delmotte,FRA,Ilex VP,130,4,77.80,,
16,Shane Breen,IRL,Ipswich van de Wolfsakker,,4,77.89,,
17,Luis Fdez. Gil-Fournier,ESP,Espinosa,,4,78.04,,
18,Rebecca McGoldrick,CAN,Cuba Libre,,4,78.39,,
19,Federico Fernandez Senderos,MEX,Pegasso,,4,78.56,,
20,Paola Amilibia,ESP,Gaudi,,4,78.82,,
21,Alison Barton,GBR,Roma IV,,4,79.20,,
22,Anthony Condon,IRL,Balzac,,4,79.28,,
23,Nigel Coupe,GBR,Golvers Hill,,4,80.07,,
24,Francois Jr Mathy,BEL,Uno de la Roque,,4,80.44,,
25,Julio Arias,ESP,Reggae du Tillard,,4,80.49,,
26,Eric Van der Vleuten,NED,Wunschkind,,5,81.10,,
27,Marc Bettinger,GER,Amber,,5,81.32,,
28,Frank Schuttert,NED,Chianti's Champion,,5,81.86,,
29,Cameron Hanley,IRL,Aiyetoro,,5,82.55,,
30,Tobias Meyer,GER,Avanti,,5,84.01,,
31,Grégory Cottard,FRA,Regate d'Aure,,7,89.35,,
32,Laura Roquet,ESP,Sandi Puigroq,,8,77.02,,
33,David Simpson,IRL,Keoki,,8,78.46,,
34,Sanne Thijssen,NED,Celine M Z,,8,78.65,,
35,Ben Maher,GBR,MTF Madame X,,8,79.18,,
36,Dayro Arroyave,COL,Uciano de la Botte,,8,79.30,,
37,Yann Candele,CAN,Chaventyno,,8,79.98,,
38,Martim Portela de Morais,POR,Inco van den Bisschop,,8,80.24,,
39,Julia Dallamano,FRA,Hoepala vh Daalhof,,9,81.22,,
40,Andreas Knippling,GER,Hertoch van T Prinsenveld,,9,81.39,,
41,Ivan Serrano,ESP,Cinderella Man,,9,81.64,,
42,Marta Bottanelli,ITA,Clintissima,,9,84.79,,
43,José Alfredo Hernández,MEX,Grupo Prom Rahmannshof Before,,10,85.11,,
44,Louise Saywell,GBR,Tin Tin,,12,78.05,,
45,Patricio Pasquel,MEX,Babel,,12,78.32,,
46,Manuel Fernandez Saro,ESP,Santiago de Blondel,,12,78.61,,
47,Jessica Mendoza,GBR,Toy Boy,,12,80.02,,
48,Rowan Willis,AUS,Blue Movie,,16,75.73,,
49,Maximilian Lill,GER,Zara,,16,78.17,,
50,Luis Sabino Gonçalves,POR,Filou Imperio Egipcio,,16,80.82,,
51,Hugo Breul,FRA,Buzios d'Ecaussinnes,,17,82.08,,
52,Piergiorgio Bucci,ITA,Ugano de Coquerie,,24,80.13,,
53,Mohamed El Naggar,EGY,Jackobond P vd Zwartbleshoeve,,43,90.94,,
54,Gerardo Menendez,ESP,Costello Dc,,RT,,,
54,Rolf Moormann,GER,Samba de Janeiro,,RT,,,
54,Dermott Lennon,IRL,Loughview Lou-Lou,,RT,,,
54,Alberto Marquez Galobardes,ESP,Devil V.D. to Jo Pe Hoeve,,RT,,,
54,Gonzalo Añón,ESP,AD Amigo B,,RT,,,
54,Laura Renwick,GBR,Van de Vivaldi,,RT,,,
