Posición,Jinete,Nacionalidad,Caballo,Premio (€),Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II
1,Francois Jr Mathy,BEL,Casanova de l' Herse,8118,0,,0,30.16
2,Piergiorgio Bucci,ITA,Ugano de Coquerie,4920,0,,0,30.95
3,Jur Vrieling,NED,Silverstras,3690,0,,0,31.30
4,Dayro Arroyave,COL,Uppercut Libellule,2460,0,,0,31.92
5,Ben Maher,GBR,Winning Good,1476,0,,0,32.24
6,Federico Fernandez Senderos,MEX,Gitano,1107,0,,0,32.58
7,Martim Portela de Morais,POR,Inco van den Bisschop,738,0,,0,32.99
8,Paola Amilibia,ESP,Notre Star de la Nutria,615,0,,0,33.17
9,Manuel Fernandez Saro,ESP,Cuidam,492,0,,0,33.64
10,Catherine Van Roosbroeck,BEL,Shou D Ouilly,492,0,,0,33.73
11,Hugo Breul,FRA,Utahmano Alu,246,0,,0,35.14
12,Roelof Bril,NED,Dizzy Lizzy,246,0,,0,36.41
13,Cameron Hanley,IRL,EIS Isaura,75,0,,0,36.50
14,Ernesto Cano,MEX,Davall,,0,,0,36.58
15,José Alfredo Hernández,MEX,Grupo Prom Carla Columna,,0,,0,39.15
16,Patricia Elena Alvarado,VEN,Souchka du Lys,,0,,0,40.78
17,Johnny Pals,NED,Chat Botte du Ruisseau Z,,0,,0,43.47
18,Enrique Gonzalez Delgado,MEX,Chacna,,0,,1,44.15
19,Victor Bettendorf,LUX,Colchique du Gibet,,0,,4,31.04
20,Rebecca McGoldrick,CAN,Horatio van Erpekom,,0,,4,31.62
21,Eric Van der Vleuten,NED,Quivive S Z,,0,,4,31.72
22,Edward Levy,FRA,Umbrella ter Wilgen Z,,0,,4,32.65
23,Reed Kessler,USA,Tradition de la Roque,,0,,4,32.95
24,Tobias Meyer,GER,Skik,,0,,4,33.47
25,Nigel Coupe,GBR,Jubilee III,,0,,4,33.88
26,Marc Bettinger,GER,Incroyable de Muze,,0,,4,34.05
27,Patricio Pasquel,MEX,Careyes,,0,,4,34.85
28,Kara Chad,CAN,Carona,,0,,4,35.48
29,Keith Shore,GBR,Hermes,,0,,4,37.34
30,Frank Schuttert,NED,Winchester HS,,0,,4,38.20
31,Sanne Thijssen,NED,No Fear vd Tichelrij Z,,0,,4,38.21
32,Pedro Antonio Mateos,ESP,Uelem Croze,,0,,4,39.24
33,Laura Roquet,ESP,Cachaca,,0,,4,41.83
34,Karim El Zoghby,EGY,Madinah,,0,,4,42.65
35,Julio Arias,ESP,Reggae du Tillard,,0,,6,48.48
36,Rowan Willis,AUS,Blue Movie,,0,,8,37.38
37,Grégory Cottard,FRA,Urhelia Lutterbach,,0,,8,39.80
38,Gerardo Menendez,ESP,Cassino Dc,,0,,Retirado,
39,Diego Perez Bilbao,ESP,Quinty du Buisson,,4,,,
40,Luis Fdez. Gil-Fournier,ESP,Fosca de Ibio,,4,,,
41,Louise Saywell,GBR,Pewit Nono,,4,,,
42,Jose Bono,ESP,Ibis,,4,,,
43,Saul Gutierrez Oti,ESP,Utwo de la Thiaunais,,4,,,
44,Andreas Knippling,GER,Delcento,,4,,,
45,Dermott Lennon,IRL,Gelvins Touch,,4,,,
46,Wael Mahgary,EGY,Crocket W,,4,,,
47,Alberto Marquez Galobardes,ESP,Devil V.D. to Jo Pe Hoeve,,4,,,
48,Laura Renwick,GBR,Dominant H,,4,,,
49,Luis Sabino Gonçalves,POR,Filou Imperio Egipcio,,8,,,
50,Jessica Mendoza,GBR,Toy Boy,,8,,,
51,Gonzalo Añón,ESP,AD Amigo B,,8,,,
52,Maximilian Lill,GER,Eldorado V,,8,,,
