Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II
1,Luis Sabino Goncalves,POR,Hilde Imperio Egipcio,2970,0,,0,34.94
2,Paola Amilibia,ESP,Notre Star de la Nutria,1800,0,,0,36.02
3,Dermott Lennon,IRL,Gelvins Touch,1350,0,,0,36.04
4,Maximilian Lill,GER,Zara,900,0,,0,36.24
5,Gerardo Menendez,ESP,Costello Dc,540,0,,0,36.59
6,Alison Barton,GBR,Donata,405,0,,0,36.73
7,Alfonso Arango,ESP,Ursula D Auge,270,0,,0,37.00
8,Victor Bettendorf,LUX,Tino des Fusains,225,0,,0,37.15
9,Keith Shore,GBR,Coriander van't Vennehof,180,0,,0,37.55
10,Chris Pratt,CAN,Quorioso Pre Noir,180,0,,0,37.87
11,Gonzalo Añón,ESP,AD Amigo B,90,0,,0,38.06
12,Diego Perez Bilbao,ESP,Quinty du Buisson,90,0,,0,38.13
13,David Simpson,IRL,Starfighter,,0,,0,38.44
14,Rebecca Mcgoldrick,CAN,Duco,,0,,0,38.48
15,Francois Jr Mathy,BEL,Cassis van de Kranenburg,,0,,0,38.58
16,Sanne Thijssen,NED,Sara Galotiere,,0,,0,38.68
17,Enrique Gonzalez Delgado,MEX,Zapzerap,,0,,0,38.96
18,Nigel Coupe,GBR,Dragon,,0,,0,39.01
19,Grégory Cottard,FRA,Urhelia Lutterbach,,0,,0,39.03
20,Catherine Van Roosbroeck,BEL,Shou D Ouilly,,0,,0,41.15
21,Pedro Antonio Mateos,ESP,Forehand B F Z,,0,,0,42.12
22,Dayro Arroyave,COL,Koriano van Klapscheut,,0,,0,44.91
23,Kara Chad,CAN,DSP Colfosco,,0,,0,45.13
24,Saul Gutierrez Oti,ESP,Utwo de la Thiaunais,,0,,0,46.35
25,Alvaro Diaz,ESP,Kastar Hof Ten Zoetendaele,,0,,0,48.08
26,Wael Mahgary,EGY,Crocket W,,0,,0,48.65
27,Santiago Nuñez,ESP,Valentino de Hus Z,,0,,0,50.83
28,Jaclyn Duff,CAN,Caesar Z,,0,,0,52.29
29,Alberto Marquez Galobardes,ESP,Volt de Kergane,,4,47.72,,
30,Karim El Zoghby,EGY,Madinah,,4,49.22,,
31,Rowan Willis,AUS,The Flying Fox III,,4,50.78,,
