Posición,Atleta,Nacionalidad,Caballo,Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Manuel Fernandez Saro,ESP,Usador du Rouet,4,77.28,0,77.74,4
2,Mikel Aizpurua Quiroga,ESP,Cartanya,4,76.39,4,77.43,8
3,Laura Roquet Puignero,ESP,Sandi Puigroq,4,77.70,8,75.40,12
4,Eduardo Alvarez Aznar,ESP,Seringat,0,75.41,0,74.55 (42.37),0
5,Antonio Alfonso,ITA,Redskin de Riverland,4,76.70,4,75.02,8
6,Lucia Le Jeune Vizzini,ITA,Cabalgaro Z,8,77.63,0 (4),76.50 (41.36),8
7,Emanuele Camilli,ITA,Urban de Rohan,4,74.96,0,75.44,4
8,Riccardo Pisani,ITA,Chaclot,0,76.66,4,75.94,4
9,Lisa Nooren,NED,VDL Groep Sabech d'HA,4,75.90,4,74.55,8
10,Sanne Thijssen,NED,Expert,0,73.35,4,72.91,4
11,Leon Thijssen,NED,Cristello 2,4,76.20,8 (4),75.03 (42.04),12
12,Doron Kuipers,NED,Charley,0,77.49,0,74.91,0
13,Linda Heed,SWE,Jarvis Van D Abelendreef,5,79.65,0,75.99,5
14,Marcus Westergren,SWE,Calmere,4,74.03,8,73.68,12
15,Erica Swartz,SWE,Jovita,8,75.80,0,76.56,8
16,Irma Karlsson,SWE,Chacconu,4,75.49,0,75.35,4
17,Trevor Breen,IRL,Bombay,8,74.69,4,75.58,12
18,Richard Howley,IRL,Dolores,4,75.09,0,76.08,4
19,Michael Duffy,IRL,Efs Top Contender,1,78.18,0,75.01,1
20,Anthony Condon,IRL,Sfs Aristio,4,73.66,4,75.88,8
21,Ellen Whitaker,GBR,Arena UK Winston,0,75.12,5,78.28,5
22,Jamie Gornall,GBR,Christian 25,9,79.18,8,75.24,17
23,Julie Andrews,GBR,Ayrton IV,4,74.99,8,73.67,12
24,Harry Charles,GBR,ABC Quantum Cruise,0,74.24,0,76.14,0
25,Gilles Dunon,BEL,Fou de Toi VD Keihoeve,0,71.62,8,71.80,8
26,Annelies Vorsselmans,BEL,Wilandro 3,0,73.94,4,74.60,4
27,Virginie Thonon,BEL,High Tech Vy de Septon,EL,,16,74.69,
28,Rik Hemeryck,BEL,Ulyss Morinda,0,75.74,4,73.99,4
29,Jacques Helmlinger,FRA,Tonic des Mets,0,75.34,4,74.32,4
30,Bruno Garez,FRA,United Sunheup,14,82.93,8,73.89,22
31,Emeric George,FRA,Chopin des Hayettes,12,75.47,8,74.47,20
32,Felicie Bertrand,FRA,Sultane des Ibis,0,72.67,4,73.40,4
33,Duarte Seabra,POR,Fernhill Curra Quinn,4,77.32,,,4
34,Hugo Carvalho,POR,Extraordiner,12,77.55,,,12
35,Luis Sabino Gonçalves,POR,Acheo Di San Patrignano,0,75.84,,,0
36,António Matos Almeida,POR,Nikel de Presle,9,78.59,,,9
37,Michael Kölz,GER,DSP Anpowikapi,8,74.90,,,8
38,Jörne Sprehe,GER,Stakki's Jumper,0,74.72,,,0
39,Marcel Marschall,GER,Utopia 48,8,73.73,,,8
40,Thomas Kleis,GER,Chades Of Blue,8,75.64,,,8
