Posición,Jinete,Nacionalidad,Caballo,Premio (€),Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Richard Howley,IRL,Dolores,47850,0,77.60,0,59.86
2,Gilles Dunon,BEL,Fou de Toi Vd Keihoeve,29000,0,77.28,0,61.31
3,Doron Kuipers,NED,Charley,21750,0,78.11,0,63.47
4,Stephan de Freitas Barcha,BRA,Artois d'Avillon,14500,0,78.05,0,63.80
5,Eduardo Alvarez Aznar,ESP,Seringat,8700,0,77.21,4,56.77
6,Kevin Staut,FRA,For Joy Van'T Zorgvliet Hdc,6525,0,74.79,4,59.35
7,Riccardo Pisani,ITA,Chaclot,4350,0,75.73,4,59.43
8,Alison Barton,GBR,Roma IV,3625,0,75.61,4,60.74
9,Annelies Vorsselmans,BEL,Wilandro 3,2900,0,78.39,4,61.28
10,Manuel Fernandez Saro,ESP,Usador du Rouet,2900,0,79.80,4,61.75
11,Marcel Marschall,GER,Utopia 48,1450,0,77.97,4,63.49
12,Paola Amilibia,ESP,Prunella d'Ariel,1450,0,75.00,5,65.58
13,Paul Kennedy,IRL,Cartown Danger Mouse,700,4,75.35,4,59.97
14,Victor Bettendorf,LUX,Sorbier Blanc,,4,75.82,,
15,Julie Andrews,GBR,Ayrton IV,,4,75.88,,
16,Sanne Thijssen,NED,Expert,,4,77.25,,
17,Jörne Sprehe,GER,Stakki's Jumper,,4,77.98,,
18,Lisa Nooren,NED,VDL Groep Sabech d'HA,,4,78.13,,
19,Harry Charles,GBR,Abc Quantum Cruise,,4,78.32,,
20,Jacob Hellström,SWE,Jus d'Orange Van'T Bisthof,,4,79.07,,
21,Miguel Honrubia Alvariño,ESP,Vidocq de La BY,,4,79.30,,
22,André Reichmann,BRA,Juan Van'T Arkelhof,,5,82.13,,
23,Felicie Bertrand,FRA,Sultane des Ibis,,8,72.24,,
24,Michael Kölz,GER,Dsp Anpowikapi,,8,73.51,,
25,Marcus Westergren,SWE,Calmere,,8,75.13,,
26,Jamie Gornall,GBR,Carsten,,8,77.44,,
27,Carolina Aresu Garcia Obregon,ESP,Joie de Vivre Ter Eycken,,8,77.49,,
28,Angelie Von Essen,SWE,Estella,,8,77.78,,
29,Philippe Le Jeune,BEL,Loro Piana Filou de Muze,,8,79.00,,
30,Federico Fernandez,MEX,Pegasso,,8,79.35,,
31,Alvaro Diaz Garcia,ESP,Ut de Menjo,,9,81.18,,
32,Bruno Garez,FRA,United Sunheup,,9,82.07,,
33,Emeric George,FRA,Rocker d'Ysieux,,12,75.59,,
34,Pierre Alain Mortier,FRA,Just Do It R,,12,76.25,,
35,Jacques Helmlinger,FRA,Tonic des Mets,,12,76.31,,
36,Gonzalo Busca Roca,ESP,Usika,,12,77.92,,
37,Ellen Whitaker,GBR,Arena Uk Winston,,12,79.10,,
38,Luis Sabino Gonçalves,POR,Acheo Di San Patrignano,,13,81.28,,
39,Gerardo Menendez Mieres,ESP,Costello DC,,13,81.41,,
40,Alberto Marquez Galobardes,ESP,Coralie,,16,77.83,,
41,Diego Perez Bilbao,ESP,Apg Everlasting Love,,16,80.83,,
42,Marta Bottanelli,ITA,Ra de Prin,,EL,,,
43,Thomas Kleis,GER,Chades Of Blue,,EL,,,
44,Rik Hemeryck,BEL,Ulyss Morinda,,EL,,,
45,Saul Gutierrez Oti,ESP,Utwo de La Thiaunais,,RET,,,
46,Harm Lahde,GER,Oak Grove's Vogelfrei,,RET,,,
47,Anthony Condon,IRL,Sfs Aristio,,RET,,,
48,Sergio Alvarez Moya,ESP,Carlo 273,,RET,,,
49,Billy Twomey,IRL,Kimba Flamenco,,RET,,,
