Posición,Jinete,Nacionalidad,Caballo,Premio (€),Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Billy Twomey,IRL,Kimba Flamenco,30426,0,75.89,0,35.05
2,Lisa Nooren,NED,Hocus Pocus de Muze,18440,0,78.62,0,35.71
3,Sanne Thijssen,NED,Bulavsco,13830,0,79.70,0,36.10
4,Michael Duffy,IRL,Casis,9220,0,79.53,0,36.83
5,Pierre Alain Mortier,FRA,Just Do It R,5532,0,76.58,0,37.65
6,Emeric George,FRA,Chopin des Hayettes,4149,0,77.78,0,38.87
7,Paola Amilibia,ESP,Prunella d'Ariel,2766,0,76.65,0,39.64
8,Alberto Marquez Galobardes,ESP,Ucello Massuere,2305,0,78.96,0,39.75
9,Adir Abreu Júnior,BRA,Teck de Riverland,1844,0,79.63,0,40.08
10,Lucia Le Jeune Vizzini,ITA,Cabalgaro Z,1844,0,79.35,4,37.97
11,Angelie Von Essen,SWE,Cochella,922,0,77.93,8,38.97
12,Duarte Seabra,POR,Fernhill Curra Quinn,922,0,78.50,,
13,Federico Fernandez,MEX,Grand Slam,300,1,80.34,,
14,Manuel Fernandez Saro,ESP,Finn Lente,300,1,80.54,,
15,Harm Lahde,GER,Oak Grove's Vogelfrei,300,1,82.88,,
16,Sergio Alvarez Moya,ESP,Astoria JO,300,4,72.83,,
17,Kevin Staut,FRA,Silver Deux de Virton H D C,300,4,75.35,,
18,Alison Barton,GBR,Roma IV,,4,76.17,,
19,Diego Perez Bilbao,ESP,Helios,,4,77.71,,
20,Bruno Garez,FRA,United Sunheup,,4,78.11,,
21,Marcel Marschall,GER,Fenia Van Klapscheut,,4,78.12,,
22,Jamie Gornall,GBR,Carsten,,4,78.23,,
23,Richard Howley,IRL,Electra B,,4,78.50,,
24,Antonio Alfonso,ITA,Dream Van Generhese,,4,78.69,,
25,Thomas Kleis,GER,Chades Of Blue,,4,79.06,,
26,Michael Kölz,GER,Double Black,,4,79.33,,
27,Paul Kennedy,IRL,Cartown Danger Mouse,,4,79.38,,
28,Harry Charles,GBR,Victor,,4,79.58,,
29,Laura Roquet Puignero,ESP,Sandi Puigroq,,4,79.73,,
30,Philippe Le Jeune,BEL,Loro Piana Filou de Muze,,5,81.96,,
31,Ivan Serrano Saez,ESP,Ecoloco,,8,77.78,,
32,Eduardo Alvarez Aznar,ESP,Uqualin du Saulcy,,8,78.48,,
33,Carolina Aresu Garcia Obregon,ESP,Joie de Vivre Ter Eycken,,8,78.55,,
34,Jacob Hellström,SWE,Jus d'Orange Van'T Bisthof,,8,78.56,,
35,Stephan de Freitas Barcha,BRA,Artois d'Avillon,,8,79.34,,
36,Miguel Honrubia Alvariño,ESP,Vidocq de La BY,,8,79.40,,
37,Annelies Vorsselmans,BEL,Olimpo LS,,8,79.81,,
38,Riccardo Pisani,ITA,Cristo 28,,9,80.12,,
39,André Reichmann,BRA,Juan Van'T Arkelhof,,9,82.73,,
40,Marta Bottanelli,ITA,Ra de Prin,,9,83.06,,
41,Cristina Toda,ESP,Suredelle de Chenee,,9,83.98,,
42,Saul Gutierrez Oti,ESP,Utwo de La Thiaunais,,10,86.61,,
43,Rik Hemeryck,BEL,Deesse de La Sure,,12,77.63,,
44,Jörne Sprehe,GER,Clueso 5,,12,78.91,,
45,Alvaro Diaz Garcia,ESP,Ut de Menjo,,13,82.51,,
46,Luis Sabino Gonçalves,POR,Dominka van de Lucashoeve,,17,80.71,,
47,Gonzalo Busca Roca,ESP,Invictus,,17,81.38,,
48,Vincent Voorn,NED,Dante,,18,84.90,,
49,Leon Thijssen,NED,Diablo Z,,27,91.57,,
50,Virginie Thonon,BEL,High Tech Vy de Septon,,EL,,,
51,Gilles Dunon,BEL,Jango S,,EL,,,
52,Derin Demirsoy,TUR,Harry K,,RET,,,
53,Gonzalo Añon Suarez,ESP,Qlamp d'Ivraie,,RET,,,
54,Graham Babes,GBR,Boucheron,,RET,,,
55,Santiago Nuñez Riva,ESP,Luanco,,RET,,,
56,Luis Fernandez Gil Fournier,ESP,Fosca de Ibio,,RET,,,
57,Victor Bettendorf,LUX,Sorbier Blanc,,RET,,,
58,Anthony Condon,IRL,Zira vh Kapelhof Z,,RET,,,
59,Helen Tredwell,GBR,Larksong,,RET,,,
60,Trevor Breen,IRL,Noble Warrior,,RET,,,
61,Ellen Whitaker,GBR,Jack Van'T Kattenheye,,RET,,,
62,António Matos Almeida,POR,Nikel de Presle,,RET,,,
63,Hugo Carvalho,POR,Extraordiner,,RET,,,
64,Julie Andrews,GBR,Wilando B,,RET,,,
65,Hugo Tavares,POR,Phebus du Fief,,RET,,,
