Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Richard Howley,IRL,Cruising Star,1650,65,47.94
2,António Matos Almeida,POR,Irene van de Kwachthoeve,1000,65,48.45
3,Jacob Hellström,SWE,Caliban H,750,65,49.92
4,Sanne Thijssen,NED,Carinja 18,500,65,49.95
5,Leticia Riva Gil,ESP,Roanne de Mars,300,65,49.98
6,Leonardo Medal Garcia,ESP,Rey de Gozon,225,65,51.71
7,Trevor Breen,IRL,Franklin,150,65,52.66
8,Derin Demirsoy,TUR,Commandor de Codre,125,65,52.73
9,Paul Kennedy,IRL,Datero H,100,65,54.18
10,Diego Perez Bilbao,ESP,Apg Everlasting Love,100,65,54.70
11,Felicie Bertrand,FRA,Nice Stephanie,50,65,55.25
12,Thomas Kleis,GER,Silberpfeil M,50,65,56.12
13,Marcel Marschall,GER,Crystal 17,20,65,57.25
14,Graham Babes,GBR,Eccosse,20,65,58.15
15,Miguel Honrubia Alvariño,ESP,Uranus d'La Rousserie,,65,58.28
16,Erica Swartz,SWE,Benedetto,,65,60.41
17,Federico Fernandez,MEX,Davidoff,,65,61.01
18,Annelies Vorsselmans,BEL,Diesel,,65,62.74
19,Leon Thijssen,NED,Stippel,,65,64.08
20,Alberto Marquez Galobardes,ESP,Aldo du Manoir,,65,70.11
21,Helen Tredwell,GBR,Galtur,,65,71.78
22,Doron Kuipers,NED,Freestyle,,64,70.44
23,Gerardo Menendez Mieres,ESP,Costello DC,,64,75.25
24,Kevin Staut,FRA,For Joy Van'T Zorgvliet Hdc,,63,77.93
25,Adir Abreu Júnior,BRA,Cachaca,,61,54.16
26,Jaime Silvela Castañon,ESP,Visama Corina,,58,50.32
27,Santiago Nuñez Riva,ESP,Vidar (Nl),,58,80.82
28,Philippe Le Jeune,BEL,Inshallah de Muze,,56,56.88
29,Miguel Honrubia Alvariño,ESP,Valmont de Vizy,,42,90.21
30,Jacques Helmlinger,FRA,Origan de Vains,,25,50.47
31,Laura Roquet Puignero,ESP,Dynamite Z,,25,50.50
32,Victor Bettendorf,LUX,Lucentino 2,,25,50.65
33,Pierre Alain Mortier,FRA,Antilope de Lara,,25,50.76
34,Luis Sabino Gonçalves,POR,Imperio Egipcio Rivage,,25,50.96
35,Paul Kennedy,IRL,Destiny Second Life Z,,25,51.90
36,André Reichmann,BRA,Elle de Laubry,,25,52.07
37,Saul Gutierrez Oti,ESP,Cort R3 2,,25,52.62
38,Hugo Tavares,POR,Vamos du Grand Chemin,,25,53.32
39,Sergio Alvarez Moya,ESP,Astrale de Launay,,25,54.36
40,Roi Calviño Rabon,ESP,Enjoy,,25,54.71
41,Gonzalo Añon Suarez,ESP,Elisa van de Helle,,25,56.42
42,Duarte Seabra,POR,Vendetta de Cossigny,,25,58.90
43,Billy Twomey,IRL,Diaghilev,,25,65.12
44,Laura Roquet Puignero,ESP,Fansi Boy Puigroq,,25,71.39
45,Manuel Fernandez Saro,ESP,Vodka Star,,24,72.62
46,Luis Fernandez Gil Fournier,ESP,Espinosa,,24,73.55
47,Mónica Hernández-Abad de Armas,ESP,Quantho of the Lowlands,,23,69.33
48,Erica Swartz,SWE,Kinsale Coz I AM,,22,63.33
49,Carolina Aresu Garcia Obregon,ESP,Fabrice DN,,21,67.43
50,Leticia Riva Gil,ESP,Esperenza d'Esquelmes,,21,70.89
51,Alvaro Diaz Garcia,ESP,Kastar Hof Ten Zoetendaele,,19,79.94
52,Fidel Davila Garcia,ESP,Altauer de Maeza,,17,48.74
53,Harm Lahde,GER,Oak Grove's Celebrity,,16,51.35
54,Ari Gonzalez Barros,ESP,Camerad Z,,EL,
55,Alberto Marquez Galobardes,ESP,Coralie,,RET,
