Posición,Jinete,Nacionalidad,Caballo,Premio,Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total Puntos
1,Kevin Staut,FRA,Best Of Duverie,500,0,41.31,0,31.94,0
2,Trevor Breen,IRL,Zilton Sl Z,400,0,44.55,0,32.98,0
3,Felicie Bertrand,FRA,Galway Girl,300,0,42.19,0,33.00,0
4,Jörne Sprehe,GER,Salvatore 29,200,0,44.82,0,34.60,0
5,Virginie Thonon,BEL,Corsica de Greenbay Z,140,0,41.18,0,34.99,0
6,Ivan Serrano Saez,ESP,Classique des Loups,110,0,44.37,0,35.37,0
7,Michael Kölz,GER,Diacento,80,0,44.75,0,35.55,0
8,André Reichmann,BRA,Esprit d'Intro Z,60,0,44.84,0,35.97,0
9,Manuel Fernandez Saro,ESP,Swing de Landetta Z,60,0,43.65,0,36.01,0
10,Thomas Kleis,GER,Donna Lottchen,50,0,42.60,0,37.26,0
11,Helen Tredwell,GBR,NPS Erleena,50,0,43.56,0,38.13,0
12,Sergio Alvarez Moya,ESP,Grey Man,50,0,42.17,0,39.73,0
13,Mónica Hernández-Abad de Armas,ESP,Guine S,,0,43.49,0,40.70,0
14,Paola Amilibia,ESP,Barachiel d'Ouilly,,0,44.50,0,41.27,0
15,Jaime Silvela Castañón,ESP,Makuru MQ,,0,42.58,4,31.48,4
16,Ari González Barros,ESP,Los Potros Z,,0,42.02,4,33.05,4
17,Graham Babes,GBR,Glencoe,,0,42.67,4,36.30,4
18,Linda Heed,SWE,True Grit,,4,44.20,0,38.17,4
19,Leon Thijssen,NED,Tylientje Z,,0,43.62,4,40.73,4
20,Alvaro Diaz Garcia,ESP,Johnnie Walker,,0,44.62,4,41.64,4
21,Diego Perez Bilbao,ESP,Corelli de Mies,,4,45.11,0,42.15,4
22,Alberto Márquez Galobardes,ESP,Fantina Del Castanar,,0,46.23,4,44.23,4
23,Alison Barton,GBR,Billy Rembrandt,,4,39.87,4,38.68,8
24,Sanne Thijssen,NED,Dior P Z,,0,44.49,8,40.56,8
25,Gonzalo Busca Roca,ESP,Cacao JMG,,4,44.63,4,45.83,8
26,Anthony Condon,IRL,King Louis,,EL,,,,
