Posición,Jinete,Nacionalidad,Caballo,Premio (€),Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Kevin Staut,FRA,Best Of Duverie,1150,0,81.13,0,38.47
2,Diego Perez Bilbao,ESP,Corelli de Mies,920,0,86.90,0,39.68
3,Alison Barton,GBR,Billy Rembrandt,690,0,79.80,0,40.40
4,Virginie Thonon,BEL,Corsica de Greenbay Z,460,0,83.14,0,41.29
5,Felicie Bertrand,FRA,Galway Girl,322,0,83.17,0,41.66
6,Trevor Breen,IRL,Zilton Sl Z,253,0,85.19,0,42.27
7,Thomas Kleis,GER,Donna Lottchen,184,0,83.35,0,42.62
8,Linda Heed,SWE,True Grit,138,0,83.59,0,42.73
9,André Reichmann,BRA,Esprit d'Intro Z,138,0,85.46,0,42.90
10,Helen Tredwell,GBR,Nps Erleena,115,0,85.01,0,42.94
11,Manuel Fernandez Saro,ESP,Swing de Landetta Z,115,0,83.92,0,43.13
12,Leon Thijssen,NED,Tylientje Z,115,0,81.51,0,48.61
13,Jörne Sprehe,GER,Salvatore 29,,4,80.07,,
14,Sanne Thijssen,NED,Dior P Z,,4,81.80,,
15,Michael Kölz,GER,Diacento,,4,81.82,,
16,Ari Gonzalez Barros,ESP,Los Potros Z,,4,82.79,,
17,Ivan Serrano Saez,ESP,Classique des Loups,,4,83.96,,
18,Sergio Alvarez Moya,ESP,Grey Man,,4,84.09,,
19,Anthony Condon,IRL,King Louis,,4,85.15,,
20,Graham Babes,GBR,Glencoe,,4,86.59,,
21,Mónica Hernández-Abad de Armas,ESP,Guine S,,4,87.47,,
22,Paola Amilibia,ESP,Barachiel d'Ouilly,,6,98.27,,
23,Jaime Silvela Castañón,ESP,Makuru MQ,,8,83.38,,
24,Alberto Márquez Galobardes,ESP,Fantina Del Castanar,,8,87.74,,
25,Gonzalo Busca Roca,ESP,Cacao JMG,,20,122.71,,
26,Alvaro Diaz Garcia,ESP,Johnnie Walker,,RET,,,
