Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Graham Babes,GBR,Glencoe,500,0,64.10
2,Jaime Silvela Castañon,ESP,Makuru MQ,400,0,65.42
3,Kevin Staut,FRA,Best Of Duverie,300,0,66.09
4,Michael Kölz,GER,Diacento,200,0,66.99
5,Jörne Sprehe,GER,Salvatore 29,140,0,68.17
6,Helen Tredwell,GBR,Nps Erleena,110,0,69.31
7,Linda Heed,SWE,True Grit,80,0,69.59
8,Felicie Bertrand,FRA,Galway Girl,60,0,71.04
9,Ari Gonzalez Barros,ESP,Los Potros Z,60,0,72.07
10,Ivan Serrano Saez,ESP,Classique des Loups,50,0,72.33
11,Manuel Fernandez Saro,ESP,Swing de Landetta Z,50,0,72.52
12,Sergio Alvarez Moya,ESP,Grey Man,50,0,72.78
13,Anthony Condon,IRL,King Louis,,0,73.12
14,Trevor Breen,IRL,Zilton Sl Z,,0,73.24
15,Diego Perez Bilbao,ESP,Corelli de Mies,,0,75.78
16,Virginie Thonon,BEL,Corsica de Greenbay Z,,4,65.16
17,Sanne Thijssen,NED,Dior P Z,,4,70.50
18,André Reichmann,BRA,Esprit d'Intro Z,,4,73.07
19,Thomas Kleis,GER,Donna Lottchen,,4,73.48
20,Paola Amilibia,ESP,Barachiel d'Ouilly,,4,74.94
21,Alvaro Diaz Garcia,ESP,Johnnie Walker,,4,78.46
22,Alison Barton,GBR,Billy Rembrandt,,4,78.76
23,Gonzalo Busca Roca,ESP,Cacao Jmg,,8,82.05
24,Alberto Marquez Galobardes,ESP,Fantina Del Castanar,,13,99.22
25,Leon Thijssen,NED,Tylientje Z,,19,91.57
26,Mónica Hernández-Abad de Armas,ESP,Guine S,,EL,
27,Laura Roquet Puignero,ESP,Balabala MQ,,EL,
