Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,António Matos Almeida,POR,Irene van de Kwachthoeve,1650,0,64.50
2,Jörne Sprehe,GER,Solero 79,1000,0,66.47
3,Virginie Thonon,BEL,Falbert SB,750,0,67.29
4,Victor Bettendorf,LUX,Lucentino 2,500,0,67.67
5,Pierre Alain Mortier,FRA,Antilope de Lara,300,0,67.99
6,Marcel Marschall,GER,Crystal 17,225,0,68.49
7,Rik Hemeryck,BEL,Deesse de La Sure,150,0,68.67
8,Felicie Bertrand,FRA,Nice Stephanie,125,0,69.50
9,Thomas Kleis,GER,Silberpfeil M,100,0,70.23
10,Michael Kölz,GER,Double Black,100,0,70.63
11,Mikel Aizpurua Quiroga,ESP,Roxane de La Beranger,50,0,71.54
12,Graham Babes,GBR,Eccosse,50,0,73.88
13,Linda Heed,SWE,Jarvis Van D Abelendreef,20,0,75.55
14,Alberto Marquez Galobardes,ESP,Coralie,20,0,79.33
15,Doron Kuipers,NED,Freestyle,20,0,79.99
16,Lisa Nooren,NED,Hocus Pocus de Muze,20,0,80.63
17,Eduardo Alvarez Aznar,ESP,Rokfeller de Pleville Bois Margot,,0,81.61
18,Alvaro Diaz Garcia,ESP,Kastar Hof Ten Zoetendaele,,0,82.24
19,Angelie Von Essen,SWE,Estella,,0,82.86
20,Irma Karlsson,SWE,Chacco Stara,,0,83.37
21,Billy Twomey,IRL,Lady Lou,,0,83.73
22,Sergio Alvarez Moya,ESP,Astrale de Launay,,1,84.31
23,Laura Roquet Puignero,ESP,Sandi Puigroq,,1,84.45
24,Luis Fernandez Gil Fournier,ESP,Ibon,,1,84.67
25,Manuel Fernandez Saro,ESP,Vodka Star,,1,84.92
26,Diego Perez Bilbao,ESP,Helios,,1,85.25
27,Luis Sabino Gonçalves,POR,Dominka van de Lucashoeve,,1,85.61
28,André Reichmann,BRA,Juan Van'T Arkelhof,,1,86.19
29,Mikel Aizpurua Quiroga,ESP,Cartanya,,1,86.59
30,Irma Karlsson,SWE,Chacconu,,1,87.13
31,Richard Howley,IRL,Dolores,,1,87.75
32,Rik Hemeryck,BEL,Ulyss Morinda,,2,88.05
33,Harry Charles,GBR,Abc Quantum Cruise,,2,89.23
34,Leon Thijssen,NED,Cristello 2,,2,89.73
35,Doron Kuipers,NED,Charley,,3,93.68
36,André Reichmann,BRA,Elle de Laubry,,4,66.47
37,Luis Sabino Gonçalves,POR,Imperio Egipcio Rivage,,4,68.99
38,Derin Demirsoy,TUR,Commandor de Codre,,4,70.52
39,Santiago Nuñez Riva,ESP,Vidar (Nl),,4,72.34
40,Riccardo Pisani,ITA,Jincerot,,4,75.38
41,Thomas Kleis,GER,Ugaulin du Bosquetiau,,4,76.39
42,Sanne Thijssen,NED,Carinja 18,,4,78.54
43,Emeric George,FRA,Rocker d'Ysieux,,4,79.41
44,Annelies Vorsselmans,BEL,Diesel,,4,81.97
45,Ivan Serrano Saez,ESP,Polyhorn Del Salz,,4,83.13
46,Paul Kennedy,IRL,Datero H,,5,85.18
47,Saul Gutierrez Oti,ESP,Cort R3 2,,5,86.52
48,Helen Tredwell,GBR,Galtur,,6,91.16
49,Billy Twomey,IRL,Kimba Flamenco,,7,94.61
50,Leticia Riva Gil,ESP,Roanne de Mars,,8,72.41
51,Trevor Breen,IRL,Franklin,,8,78.65
52,Erica Swartz,SWE,Kinsale Coz I AM,,8,80.01
53,Duarte Seabra,POR,Vanille Fraise HA,,8,82.95
54,Cristina Toda,ESP,Suredelle de Chenee,,9,84.08
55,Sanne Thijssen,NED,Expert,,9,87.08
56,Santiago Nuñez Riva,ESP,Luanco,,10,88.64
57,Stephan de Freitas Barcha,BRA,Artois d'Avillon,,11,109.68
58,Ari Gonzalez Barros,ESP,Camerad Z,,13,84.87
59,Miguel Honrubia Alvariño,ESP,Uranus d'La Rousserie,,15,93.96
60,Paola Amilibia,ESP,Prunella d'Ariel,,RET,
61,Marta Bottanelli,ITA,Ra de Prin,,RET,
