Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Victor Bettendorf,LUX,Colchique du Gibet,1650,0,55.87
2,Anthony Condon,IRL,Zira vh Kapelhof Z,1000,0,56.20
3,Jörne Sprehe,GER,Solero 79,750,0,56.41
4,António Matos Almeida,POR,Irene van de Kwachthoeve,500,0,57.44
5,Richard Howley,IRL,Cruising Star,300,0,57.65
6,Graham Babes,GBR,Boucheron,225,0,57.94
7,Sanne Thijssen,NED,Carinja 18,150,0,57.98
8,Leonardo Medal Garcia,ESP,Rey de Gozon,125,0,58.35
9,Diego Perez Bilbao,ESP,Istar van de Meerdijk,100,0,59.35
10,Victor Bettendorf,LUX,Lucentino 2,100,0,59.43
11,Duarte Seabra,POR,Vanille Fraise HA,50,0,60.67
12,Jaime Silvela Castañon,ESP,Visama Corina,50,0,61.34
13,Thomas Kleis,GER,Silberpfeil M,20,0,63.10
14,Alvaro Diaz Garcia,ESP,Visama Parsifal,20,0,64.07
15,Paul Kennedy,IRL,Datero H,20,0,66.70
16,Paola Amilibia,ESP,Julieta,20,0,66.88
17,Ellen Whitaker,GBR,Jack Van'T Kattenheye,,0,66.89
18,Federico Fernandez,MEX,Davidoff,,0,67.42
19,Hugo Tavares,POR,Vamos du Grand Chemin,,0,67.81
20,Alberto Marquez Galobardes,ESP,Aldo du Manoir,,0,67.97
21,Eduardo Alvarez Aznar,ESP,Rokfeller de Pleville Bois Margot,,0,68.98
22,Santiago Nuñez Riva,ESP,Vidar (Nl),,0,70.27
23,Graham Babes,GBR,Eccosse,,0,71.10
24,Luis Fernandez Gil Fournier,ESP,Fosca de Ibio,,0,71.17
25,Trevor Breen,IRL,Bombay,,0,72.04
26,Philippe Le Jeune,BEL,Inshallah de Muze,,0,72.28
27,Helen Tredwell,GBR,Galtur,,0,72.95
28,Annelies Vorsselmans,BEL,Diesel,,0,73.23
29,Alvaro Diaz Garcia,ESP,Kastar Hof Ten Zoetendaele,,0,73.78
30,Santiago Nuñez Riva,ESP,Luanco,,0,74.09
31,Federico Fernandez,MEX,Grand Slam,,0,75.03
32,Miguel Honrubia Alvariño,ESP,Valmont de Vizy,,0,78.61
33,Hugo Tavares,POR,Phebus du Fief,,4,57.10
34,Thomas Kleis,GER,Ugaulin du Bosquetiau,,4,58.59
35,Michael Kölz,GER,Dubai Blh,,4,59.99
36,Julie Andrews,GBR,Wilando B,,4,60.34
37,Adir Abreu Júnior,BRA,Cachaca,,4,60.77
38,Leticia Riva Gil,ESP,Roanne de Mars,,4,61.28
39,Gilles Dunon,BEL,Jango S,,4,62.97
40,Bruno Garez,FRA,Reve de Nabab,,4,63.05
41,Saul Gutierrez Oti,ESP,Cort R3 2,,4,63.83
42,Duarte Seabra,POR,Vendetta de Cossigny,,4,63.98
43,Laura Roquet Puignero,ESP,Dynamite Z,,4,68.03
44,Paul Kennedy,IRL,Destiny Second Life Z,,4,70.43
45,Fidel Davila Garcia,ESP,Altauer de Maeza,,4,70.74
46,Rik Hemeryck,BEL,Deesse de La Sure,,4,71.15
47,Leon Thijssen,NED,Stippel,,4,71.62
48,Mónica Hernández - Abad De Armas,ESP,Quantho of the Lowlands,,4,72.74
49,Roi Calviño Rabon,ESP,Enjoy,,4,73.12
50,Luis Fernandez Gil Fournier,ESP,Espinosa,,4,74.40
51,Harm Lahde,GER,Oak Grove's Celebrity,,4,75.26
52,Laura Roquet Puignero,ESP,Fansi Boy Puigroq,,4,76.18
53,Manuel Fernandez Saro,ESP,Finn Lente,,5,82.83
54,Sergio Alvarez Moya,ESP,Astrale de Launay,,6,83.87
55,Virginie Thonon,BEL,Falbert SB,,8,60.64
56,Anthony Condon,IRL,Friso,,8,61.43
57,Trevor Breen,IRL,Franklin,,8,65.84
58,Hugo Carvalho,POR,Extraordiner,,8,68.51
59,Gonzalo Añon Suarez,ESP,Elisa van de Helle,,8,77.94
60,Carolina Aresu Garcia Obregon,ESP,Fabrice DN,,8,78.95
61,Luis Sabino Gonçalves,POR,Dominka van de Lucashoeve,,9,80.08
62,Leticia Riva Gil,ESP,Esperenza d'Esquelmes,,EL,
63,Doron Kuipers,NED,Freestyle,,RET,
