Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Billy Twomey,IRL,Diaghilev,8151,0,50.93,0,28.06
2,Richard Howley,IRL,Electra B,4940,0,53.14,0,28.07
3,Adir Abreu Júnior,BRA,Teck de Riverland,3705,0,51.75,0,28.14
4,Emeric George,FRA,Chopin des Hayettes,2470,0,52.71,0,28.35
5,Sanne Thijssen,NED,Bulavsco,1482,0,52.31,0,28.42
6,Angelie Von Essen,SWE,Cochella,1111.5,0,52.13,0,28.85
7,Gilles Dunon,BEL,Jango S,741,0,53.36,0,28.86
8,Jamie Gornall,GBR,Carsten,617.5,0,51.74,0,29.11
9,Kevin Staut,FRA,Viking d'La Rousserie,494,0,50.46,0,29.15
10,Jacob Hellström,SWE,Jus d'Orange Van'T Bisthof,494,0,53.94,0,29.45
11,Lisa Nooren,NED,VDL Groep Sabech d'HA,247,0,51.11,0,29.57
12,Antonio Alfonso,ITA,Dream Van Generhese,247,0,50.14,0,29.76
13,Erica Swartz,SWE,Jovita,75,0,49.00,0,30.08
14,Miguel Honrubia Alvariño,ESP,Vidocq de La BY,75,0,50.90,0,30.19
15,Manuel Fernandez Saro,ESP,Finn Lente,,0,53.04,0,30.72
16,Felicie Bertrand,FRA,Sultane des Ibis,,0,51.22,0,30.76
17,Vincent Voorn,NED,Dante,,0,50.17,0,31.20
18,Federico Fernandez,MEX,Pegasso,,0,52.86,0,31.24
19,Marcus Westergren,SWE,Calmere,,0,50.94,0,31.39
20,Alvaro Diaz Garcia,ESP,Visama Parsifal,,0,50.45,0,31.51
21,Lucia Le Jeune Vizzini,ITA,Cabalgaro Z,,0,52.09,0,31.86
22,Ivan Serrano Saez,ESP,Ecoloco,,0,53.07,0,31.92
23,Carolina Aresu Garcia Obregon,ESP,Joie de Vivre Ter Eycken,,0,51.84,0,32.01
23,Marcel Marschall,GER,Utopia 48,,0,52.89,0,32.01
25,Philippe Le Jeune,BEL,Loro Piana Filou de Muze,,0,54.14,0,32.37
26,Julie Andrews,GBR,Ayrton IV,,0,51.22,0,32.64
27,António Matos Almeida,POR,Nikel de Presle,,0,53.21,0,32.84
28,Hugo Carvalho,POR,Extraordiner,,0,54.00,0,33.03
29,Jörne Sprehe,GER,Stakki's Jumper,,0,52.28,0,33.83
30,Thomas Kleis,GER,Chades Of Blue,,0,52.56,0,34.12
31,Annelies Vorsselmans,BEL,Wilandro 3,,0,54.06,0,35.64
32,Bruno Garez,FRA,United Sunheup,,0,55.21,1,37.11
33,Eduardo Alvarez Aznar,ESP,Uqualin du Saulcy,,0,53.69,4,27.43
34,Harry Charles,GBR,Victor,,0,53.07,4,27.48
35,Graham Babes,GBR,Boucheron,,0,48.77,4,27.67
36,Michael Kölz,GER,Dsp Anpowikapi,,0,51.12,4,28.59
37,Anthony Condon,IRL,Zira vh Kapelhof Z,,0,51.06,4,29.43
38,Luis Sabino Gonçalves,POR,Acheo Di San Patrignano,,0,51.82,4,30.17
39,Alison Barton,GBR,Roma IV,,0,51.13,4,31.28
40,Jacques Helmlinger,FRA,Tonic des Mets,,4,50.45,,
41,Hugo Tavares,POR,Phebus du Fief,,4,51.28,,
42,Harm Lahde,GER,Oak Grove's Vogelfrei,,4,51.89,,
43,Gonzalo Añón Suárez,ESP,Qlamp d'Ivraie,,4,51.96,,
44,Paola Amilibia,ESP,Julieta,,4,52.06,,
45,Leon Thijssen,NED,Diablo Z,,4,52.44,,
46,Luis Fernández Gil Fournier,ESP,Fosca de Ibio,,4,52.47,,
47,Gonzalo Busca Roca,ESP,Invictus,,4,52.80,,
48,Riccardo Pisani,ITA,Chaclot,,4,53.06,,
49,Trevor Breen,IRL,Noble Warrior,,4,53.14,,
50,Alberto Márquez Galobardes,ESP,Ucello Massuere,,4,53.64,,
51,Diego Pérez Bilbao,ESP,APG Everlasting Love,,4,54.30,,
52,Victor Bettendorf,LUX,Colchique du Gibet,,8,48.41,,
53,Armando Trapote,ESP,Freak Out,,8,50.65,,
54,Helen Tredwell,GBR,Sebastian VII,,9,73.29,,
55,Laura Roquet Puignero,ESP,Fansi Boy Puigroq,,12,54.39,,
EL,Derin Demirsoy,TUR,Harry K,,EL,,,
