Posición,Jinete,Caballo,Premio,Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo
1,Michael Kölz,Dubai Blh,1650,0,58.16,0,27.14
2,Riccardo Pisani,Jincerot,1000,0,57.19,0,27.59
3,Paola Amilibia,V.I.P.,750,0,50.37,0,28.27
4,Derin Demirsoy,Commandor de Codre,500,0,57.86,0,28.36
5,Gerardo Menendez Mieres,Lordana DC,300,0,57.46,0,28.59
6,Sergio Alvarez Moya,Astrale de Launay,225,0,57.67,0,28.60
7,Duarte Seabra,Vanille Fraise HA,150,0,55.40,0,29.28
8,Marta Bottanelli,Finca S,125,0,61.21,0,29.40
9,Helen Tredwell,Sebastian VII,100,0,58.10,0,29.42
10,Miguel Honrubia Alvariño,Uranus d'La Rousserie,100,0,59.27,0,30.34
11,Anthony Condon,Zira vh Kapelhof Z,50,0,56.70,0,30.36
12,Paola Amilibia,Julieta,50,0,57.17,0,30.42
13,Luis Fernandez Gil Fournier,Fosca de Ibio,20,0,58.58,0,30.47
14,Alberto Marquez Galobardes,Ucello Massuere,20,0,60.74,0,31.29
15,Gonzalo Busca Roca,Invictus,20,0,59.70,0,31.54
16,Billy Twomey,Lady Lou,20,0,59.56,0,31.61
17,Erica Swartz,Kinsale Coz I AM,20,0,56.33,0,31.71
18,Michael Duffy,Quintano 35,20,0,60.14,0,31.82
19,Ivan Serrano Saez,Polyhorn Del Salz,,0,56.74,0,31.97
20,Alvaro Diaz Garcia,Kastar Hof Ten Zoetendaele,,0,57.16,0,32.65
21,Harry Charles,Abc Quantum Cruise,,0,59.41,0,33.12
22,Kevin Staut,Silver Deux de Virton H D C,,0,58.59,0,33.21
23,Federico Fernandez,Davidoff,,0,59.16,0,34.12
24,Eduardo Alvarez Aznar,Rokfeller de Pleville Bois Margot,,0,60.88,0,34.71
25,Derin Demirsoy,Harry K,,0,59.32,0,35.16
26,Richard Howley,Electra B,,0,60.80,1,39.14
27,Diego Perez Bilbao,Istar van de Meerdijk,,0,57.52,4,27.42
28,Victor Bettendorf,Lucentino 2,,0,57.83,4,28.99
29,Bruno Garez,Reve de Nabab,,0,58.29,4,29.09
30,Anthony Condon,Friso,,0,56.64,4,29.98
31,Harm Lahde,Oak Grove's Flickering Star,,0,56.69,4,31.59
32,Annelies Vorsselmans,Diesel,,0,59.22,4,35.28
33,Rik Hemeryck,Deesse de La Sure,,0,61.16,4,36.04
34,Leonardo Medal Garcia,Rey de Gozon,,0,57.28,5,37.80
35,Federico Fernandez,Pegasso,,0,61.74,RET,
36,Doron Kuipers,Freestyle,,1,62.13,,
37,Manuel Fernandez Saro,Usador du Rouet,,1,63.35,,
38,Rik Hemeryck,Ulyss Morinda,,1,64.19,,
39,Laura Roquet Puignero,Dynamite Z,,4,54.85,,
40,Jaime Silvela Castañon,Visama Corina,,4,55.03,,
41,Leticia Riva Gil,Roanne de Mars,,4,55.61,,
42,Victor Bettendorf,Colchique du Gibet,,4,55.79,,
43,Fidel Davila Garcia,Altauer de Maeza,,4,56.17,,
44,Duarte Seabra,Vendetta de Cossigny,,4,56.35,,
45,Carolina Aresu Garcia Obregon,Fabrice DN,,4,56.71,,
46,Paul Kennedy,Destiny Second Life Z,,4,56.74,,
47,Angelie Von Essen,Estella,,4,56.90,,
48,Pierre Alain Mortier,Antilope de Lara,,4,57.58,,
49,Saul Gutierrez Oti,Cort R3 2,,4,57.98,,
50,Trevor Breen,Franklin,,4,59.31,,
51,Alberto Marquez Galobardes,Aldo du Manoir,,4,59.59,,
52,Sergio Alvarez Moya,Astoria JO,,4,60.68,,
53,Harry Charles,Vivaldi du Dom,,4,60.80,,
54,Ellen Whitaker,Arena Uk Winston,,5,62.90,,
55,Helen Tredwell,Galtur,,5,63.43,,
56,Gilles Dunon,Jango S,,8,56.01,,
57,Mónica Hernández - Abad De Armas,Quantho of the Lowlands,,8,57.96,,
58,Leticia Riva Gil,Esperenza d'Esquelmes,,8,58.20,,
59,Luis Sabino Gonçalves,Imperio Egipcio Rivage,,8,59.61,,
60,Gonzalo Añon Suarez,Elisa van de Helle,,8,60.56,,
61,Leon Thijssen,Stippel,,9,81.61,,
62,Eduardo Alvarez Aznar,Seringat,,11,70.30,,
63,Erica Swartz,Benedetto,,EL,,,
64,Paul Kennedy,Datero H,,EL,,,
65,Thomas Kleis,Ugaulin du Bosquetiau,,EL,,,
66,Ari Gonzalez Barros,Camerad Z,,EL,,,
67,Richard Howley,Dolores,,RET,,,
