Posición,Jinete,Nacionalidad,Caballo,Puntos,Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Filippo Marco Bologni,ITA,Sedik Milano Quilazio,12,79.50,1,81.97,13
1,Antonio Maria Garofalo,ITA,Conquestador,1,80.99,8,75.28,9
1,Emanuele Camilli,ITA,Jakko,0,77.97,0,79.13,0
1,Antonio Alfonso,ITA,Donanso,4,78.66,0,78.69,4
2,Joseph Clayton,GBR,Carreau Of Greenhill Z,0,77.15,4,78.18,4
2,Helen Tredwell,GBR,Galtur,9,82.52,8,79.18,17
2,Max Routledge,GBR,Balulu,4,77.50,0,79.67,4
2,Ellen Whitaker,GBR,Arena Uk Winston,0,76.63,0,74.01,0
3,Max Thirouin,FRA,Utopie Villelongue,5,81.88,4,76.20,9
3,Felicie Bertrand,FRA,Sultane des Ibis,0,76.60,0,77.69,0
3,Laurent Goffinet,FRA,Atome des Etisses,8,78.28,4,79.50,12
3,Mathieu Billot,FRA,Quel Filou 13,0,75.24,0,76.98,0
4,Markus Brinkmann,GER,Pikeur Dylon,4,78.79,0,76.64,4
4,Jens Baackmann,GER,Carmen 255,4,76.55,8,78.42,12
4,Nisse Lüneburg,GER,Luca Toni 27,0,79.15,12,77.86,12
4,Holger Hetzel,GER,Legioner,4,79.62,0,75.80,4
5,David Simpson,IRL,Gentlemen vh Veldhof,1,80.65,1,80.07,2
5,Alexander Butler,IRL,Chilli B,5,81.14,,,
5,Billy Twomey,IRL,Chat Botte E.D,5,80.84,1,80.50,6
5,Greg Patrick Broderick,IRL,Westbrook,4,76.03,4,78.14,8
6,Bruce Goodin,NZL,Backatorps Danny V,0,77.93,4,79.07,4
6,Tom Tarver - Priebe,GER,Popeye,5,80.35,21,81.46,26
6,Samantha Mcintosh,NZL,Check In 2,0,79.75,4,77.07,4
6,Richard Gardner,NZL,Calisto 5,16,93.45,4,79.61,20
7,Alberto Marquez Galobardes,ESP,Ucello Massuere,0,74.33,4,77.59,4
7,Jesus Torres Garcia,ESP,Orphee du Breche,4,78.77,4,77.58,8
7,Laura Roquet Puignero,ESP,Sandi Puigroq,6,85.13,12,79.87,18
7,Eduardo Alvarez Aznar,ESP,Seringat,12,75.75,4,77.29,16
8,Lisa Nooren,NED,VDL Groep Sabech d'HA,20,79.61,4,77.60,24
8,Hendrik-Jan Schuttert,NED,Expensive,1,81.08,13,81.93,14
8,Jack Ansems,NED,Fliere Fluiter,12,74.05,8,75.94,20
8,Michael Greeve,NED,Turbo Z,0,78.76,,,
9,Marcus Westergren,SWE,Calmere,4,77.09,,,4
9,Hannah Åkerblom,SWE,Chodec,9,80.74,,,9
9,Antonia Pettersson Häggström,SWE,Chickflick K,4,79.42,,,4
9,Annika Axelsson,SWE,W Diva Rosa Mfs,5,80.97,,,5
10,Manuel Gonzalez Dufrane,ESP,Hortensia van de Leeuwerk,4,77.00,,,4
10,Francisco Pasquel,MEX,Coronado,12,77.98,,,12
10,Fernando Martinez Sommer,MEX,Cor Bakker,9,80.60,,,9
10,Federico Fernandez,MEX,Davidoff,5,82.39,,,5
11,Karim Elzoghby,EGY,Crocket W,10,87.10,,,10
11,Alaa Mayssara,EGY,Dittorio-S,4,77.59,,,4
11,Wael Mahgary,EGY,Evergreen,11,88.44,,,11
11,Sameh El Dahan,EGY,Chanel XXV,16,76.70,,,16
12,Rodrigo Giesteira Almeida,POR,Gb Celine,5,82.12,,,5
12,António Matos Almeida,POR,Apache de Liam,21,80.12,,,21
12,Luis Sabino Gonçalves,POR,Unesco du Rouet,16,78.20,,,16
12,Luciana Diniz,POR,Vertigo du Desert,,,,,
