Posición,Jinete,Nac.,Caballo,Premio,Puntos,Tiempo,Puntos desempate,Tiempo desempate,Total
1,Greg Patrick Broderick,IRL,Westbrook,48510,0,78.37,0,49.52,0
2,Mathieu Billot,FRA,Quel Filou 13,29400,0,77.03,0,49.81,0
3,Felicie Bertrand,FRA,Sultane des Ibis,22050,0,77.92,0,50.67,0
4,Fernando Martinez Sommer,MEX,Cor Bakker,14700,0,79.52,0,52.42,0
5,Alaa Mayssara,EGY,Dittorio-S,8820,0,79.18,0,58.89,0
6,Henk van de Pol,NED,Looyman Z,6615,0,78.98,4,53.94,4
7,Pierre Marie Friant,FRA,Urdy d'Astree,4410,4,75.80,4,52.95,8
8,Maximilian Lill,GER,Cita Z,3675,4,77.27,4,56.23,8
9,Alexander Butler,IRL,Divine Hero (E.T.),2940,4,76.92,4,56.66,8
10,Carolina Aresu Garcia Obregon,ESP,Untrepide de Puychety,2940,4,75.52,4,57.41,8
11,Manuel Gonzalez Dufrane,MEX,Hortensia van de Leeuwerk,1470,4,75.43,8,55.06,12
12,Pedro Veniss,BRA,For Felicila,1470,4,77.45,RET,,RET
13,Gerardo Menendez Mieres,ESP,Cassino DC,,4,77.51,,,4
13,Ellen Whitaker,GBR,Arena Uk Winston,,4,77.51,,,4
15,Joseph Clayton,GBR,Baldur 75,,4,78.48,,,4
16,Jose Bono Rodriguez,ESP,Sligo Hard Times,,4,79.51,,,4
17,Kyle Timm,CAN,Vagabon des Forets,,4,79.52,,,4
18,Karina Johannpeter,BRA,Casper 150,,4,79.97,,,4
19,Helen Tredwell,GBR,Galtur,,4,80.36,,,4
20,Bruce Goodin,NZL,Backatorps Danny V,,8,75.75,,,8
21,Abdullah Alsharbatly,KSA,Larry 210,,8,76.13,,,8
22,Marcus Westergren,SWE,Calmere,,8,76.14,,,8
23,Jack Ansems,NED,Fliere Fluiter,,8,77.21,,,8
24,Max Thirouin,FRA,Utopie Villelongue,,8,78.28,,,8
25,Eduardo Sanchez Navarro,MEX,Sicanta,,8,78.90,,,8
26,Gonzalo Añon Suarez,ESP,Qlamp d'Ivraie,,8,79.22,,,8
27,Ignacio Astolfi Lopez,ESP,Dillan M,,8,79.60,,,8
28,Jens Baackmann,GER,Carmen 255,,8,79.71,,,8
29,Gonzalo Busca Roca,ESP,Invictus,,8,79.79,,,8
30,Hendrik-Jan Schuttert,NED,Expensive,,9,81.78,,,9
31,Federico Fernandez,MEX,Davidoff,,9,82.15,,,9
32,Luis Ferreira,POR,Congo du Mirador Z,,9,83.01,,,9
33,Nicolas Toro,COL,Cinderella Z,,9,84.29,,,9
34,Hilary Scott,AUS,Oaks Milky Way,,12,77.00,,,12
35,Jodie Hall Mcateer,GBR,Salt'N Peppa,,12,77.13,,,12
36,David Simpson,IRL,Gentlemen vh Veldhof,,12,78.38,,,12
37,Luciana Diniz,POR,Vertigo du Desert,,12,78.65,,,12
38,Michael Greeve,NED,Turbo Z,,13,81.12,,,13
39,Rodrigo Giesteira Almeida,POR,Gb Celine,,13,81.24,,,13
40,Armando Trapote,ESP,Conthargos Rouge,,RET,,,,RET
41,Max Routledge,GBR,Balulu,,RET,,,,RET
42,Paola Amilibia,ESP,Gaudi,,RET,,,,RET
43,Nisse Lüneburg,GER,Luca Toni 27,,RET,,,,RET
44,Richard Howley,IRL,Chinook,,RET,,,,RET
45,Emanuele Camilli,ITA,Jakko,,RET,,,,RET
46,Eduardo Alvarez Aznar,ESP,Seringat,,RET,,,,RET
47,Alberto Marquez Galobardes,ESP,Napoleon,,RET,,,,RET
48,Andrzej Oplatek,POL,Stakkatan,,RET,,,,RET
