Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Eduardo Álvarez Aznar,ESP,Seringat,30789,0,72.41,0,37.98
2,Francisco Pasquel,MEX,Coronado,18660,0,71.87,0,38.53
3,Max Thirouin,FRA,Jewel de Kwakenbeek,13995,0,69.71,0,39.60
4,Jodie Hall McAteer,GBR,Salt'N Peppa,9330,0,73.26,4,42.30
5,Sameh El Dahan,EGY,Wkd Aimez Moi,5598,0,72.56,8,42.42
6,Fernando Martínez Sommer,MEX,Diachron,4198.5,1,74.02,,
7,Markus Brinkmann,GER,Pikeur Dylon,2799,1,74.07,,
8,Pedro Veniss,BRA,For Felicila,2332.5,1,75.66,,
9,Karina Johannpeter,BRA,Casper 150,1866,1,76.37,,
10,Nicolas Toro,COL,Cinderella Z,1866,1,76.51,,
11,Luis Ferreira,POR,Congo du Mirador Z,933,1,77.87,,
12,Sergio Álvarez Moya,ESP,Iron Man 111,933,4,69.63,,
13,Jack Ansems,NED,Fliere Fluiter,300,4,70.98,,
14,Alaa Mayssara,EGY,Dittorio-S,300,4,71.08,,
15,Pierre Marie Friant,FRA,Urdy d'Astree,300,4,71.09,,
16,Henk van de Pol,NED,Looyman Z,300,4,71.95,,
17,Luciana Diniz,POR,Vertigo du Desert,300,4,72.35,,
18,Filippo Marco Bologni,ITA,Diplomat,,4,72.63,,
19,Gonzalo Añón Suárez,ESP,Qlamp d'Ivraie,,4,73.13,,
20,Paola Amilibia,ESP,Prunella d'Ariel,,4,73.24,,
21,Rodrigo Giesteira Almeida,POR,Kafka Vd Heffinck,,4,73.62,,
22,Marcus Westergren,SWE,Astree de Burgo,,4,74.00,,
23,Carolina Aresu García Obregón,ESP,Valmont de Vizy,,5,74.01,,
24,Andrzej Oplatek,POL,Stakkatan,,5,74.12,,
25,Kyle Timm,CAN,Double T,,5,74.52,,
26,Hendrik-Jan Schuttert,NED,Balboa HS,,5,74.98,,
27,Gerardo Menéndez Mieres,ESP,Cassino DC,,5,75.25,,
28,Abdullah Alsharbatly,KSA,Larry 210,,5,75.62,,
29,Daniel Meech,NZL,Cinca 3,,5,76.85,,
30,Ismael García Roque,ESP,Airline R,,5,77.19,,
31,Ignacio Astolfi López,ESP,Dillan M,,5,77.31,,
32,Ameen Elmaghraby,EGY,Conrad 123,,6,80.63,,
33,Ellen Whitaker,GBR,Jack Van'T Kattenheye,,8,70.38,,
34,Armando Trapote,ESP,Conthargos Rouge,,8,73.81,,
35,Federico Fernández,MEX,Davidoff,,9,74.93,,
36,Alexander Butler,IRL,Divine Hero (E.T.),,9,76.52,,
37,Laura Roquet Puignero,ESP,Sandi Puigroq,,9,76.78,,
38,Richard Howley,IRL,Seahorse Z,,9,77.16,,
39,Gonzalo Busca Roca,ESP,Invictus,,9,77.17,,
40,Joseph Clayton,GBR,Cally V,,9,77.49,,
41,Jose Bono Rodríguez,ESP,Sligo Hard Times,,9,77.92,,
42,Hannah Åkerblom,SWE,Chodec,,10,78.98,,
43,Hilary Scott,AUS,Qualoma Z,,10,79.35,,
44,Léa de Coulon,SUI,Jordan Van 'T Nachtegalehof,,10,79.41,,
45,Nisse Lüneburg,GER,Alina 440,,12,73.55,,
46,Iván Serrano Sáez,ESP,Rain Man,,12,73.72,,
47,Eduardo Sánchez Navarro,MEX,Sicanta,,12,73.77,,
48,Helen Tredwell,GBR,Galtur,,12,86.97,,
49,Luis Sabino Gonçalves,POR,Dominka van de Lucashoeve,,13,74.46,,
50,Richard Gardner,NZL,Calisto 5,,14,78.87,,
51,Maximilian Lill,GER,Cita Z,,16,72.11,,
52,Annika Axelsson,SWE,Cooper I Z,,16,73.26,,
53,Carmen García-Torres,ESP,Up And Down Tame,,17,74.85,,
54,Luis Fernández Gil Fournier,ESP,Ibon,,18,78.01,,
55,Roi Calviño Rabón,ESP,Enjoy,,22,80.00,,
56,Max Routledge,GBR,Sandro's Boy Z,,25,107.35,,
57,Antonia Pettersson Häggström,SWE,Chickflick K,,EL,,,
58,Bruce Goodin,NZL,Copain Vdb Z,,RET,,,
59,Karim Elzoghby,EGY,Dierette,,RET,,,
60,Leticia Riva Gil,ESP,Esperenza d'Esquelmes,,RET,,,
61,Laurent Goffinet,FRA,Atome des Etisses,,RET,,,
62,Felicie Bertrand,FRA,Vahine de Favi,,RET,,,
63,Wael Mahgary,EGY,Feeling Luckey,,RET,,,
64,Jasmin Ranta-Aho,FIN,Dixon,,RET,,,
65,Kerry Mc Cahill,USA,Charly Chaplin S,,EL,,,
66,Saul Gutiérrez Oti,ESP,Utwo de La Thiaunais,,RET,,,
67,Manuel Fernández Saro,ESP,Jarlin de Torres,,RET,,,
