Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Marcus Westergren,SWE,Faya Sao Miguel,1650,65,50.61
2,Sergio Álvarez Moya,ESP,Gazquine Tag,1000,65,51.07
3,Helen Tredwell,GBR,Sebastian VII,750,65,52.48
4,Andrzej Oplatek,POL,Conmina Blue PS,500,65,53.28
5,Gonzalo Añón Suárez,ESP,Ad Amigo B,300,65,54.62
6,Luis Sabino Gonçalves,POR,Biloba des Chaines,225,65,54.69
7,Jesús Torres García,ESP,Grupo Prom Jivaro,150,65,55.05
8,Gerardo Menéndez Mieres,ESP,Costello DC,125,65,59.03
9,Manuel Fernández Saro,ESP,Santiago de Blondel,100,65,60.61
10,Francisco Pasquel,MEX,Manzano,100,65,61.29
11,Karim Elzoghby,EGY,F-Narcist,50,65,63.12
12,Pedro Veniss,BRA,Go For IT,50,65,67.60
13,Ismael García Roque,ESP,Kardenta Van 'T Meerhof,20,65,68.44
14,Alberto Márquez Galobardes,ESP,Napoleon,,65,68.63
15,Eduardo Álvarez Aznar,ESP,Legend,,65,73.23
16,Emanuele Camilli,ITA,Chaccrouet,,65,74.25
17,Mathieu Billot,FRA,Chacon Ls La Silla,,61,50.62
18,Abdullah Alsharbatly,KSA,Beau Limit,,61,50.73
19,Max Routledge,GBR,Ebriolita,,61,53.82
20,Gonzalo Busca Roca,ESP,Brasilia,,61,61.18
21,Greg Patrick Broderick,IRL,Lvs Wizard,,60,64.72
22,Markus Brinkmann,GER,Pikeur Quick Fire,,60,65.76
23,Federico Fernández,MEX,Romeo,,60,73.59
24,David Simpson,IRL,Jenson 55,,59,50.91
25,Holger Hetzel,GER,Chacco-MO,,59,55.87
26,Richard Gardner,NZL,Cromwell 32,,59,61.66
27,Maximilian Lill,GER,Capitale 6,,59,62.03
28,Hendrik-Jan Schuttert,NED,Guru,,59,63.58
29,Lisa Nooren,NED,Jarolus van de Bergdalhoeve,,58,53.88
30,Fidel Dávila García,ESP,Altauer de Maeza,,57,55.73
31,Ainhoa Manero,ESP,Caravaggio de Lison Z,,57,63.06
32,Alexander Butler,IRL,Dekato,,56,51.73
33,Daniel Meech,NZL,Dominick,,56,52.90
33,Roi Calviño Rabón,ESP,Dollar du Diabolo,,56,52.90
35,Álvaro Díaz García,ESP,Visama Parsifal,,54,57.19
36,Jodie Hall McAteer,GBR,Kilbarron Rue,,51,78.40
37,Molly Hay,USA,Belle Amour d'Euskadi,,51,85.63
38,Michael Greeve,NED,Dacantos,,40,93.56
39,Nicolas Toro,COL,Desperado,,25,52.24
40,Ignacio Astolfi López,ESP,Easo J,,25,53.94
41,Samantha McIntosh,NZL,Alaid de Chez Nous,,25,55.87
42,Julio Arias Cueva,ESP,Tamino AZ,,25,59.00
43,Alejandro Entrecanales Marsans,ESP,Banzai Semilly,,25,61.19
44,Wael Mahgary,EGY,Damira D,,20,66.21
45,Eduardo Sánchez Navarro,MEX,Gouverneur,,19,54.85
46,Karina Johannpeter,BRA,Vanilla Di Villagana,,16,56.16
47,Antonio Maria Garofalo,ITA,Hope van de Horthoeve,,15,69.35
48,Ameen Elmaghraby,EGY,Velwet Queen,,14,74.21
49,Santiago Núñez Riva,ESP,Luanco,,8,67.52
50,Iván Serrano Sáez,ESP,Alep de Pilenie,,EL,
