Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Alexander Butler,IRL,Dekato,1650,0,56.54,,
2,Abdullah Alsharbatly,KSA,Beau Limit,1000,0,57.69,,
3,Mathieu Billot,FRA,Chacon Ls La Silla,750,0,58.59,,
4,Ellen Whitaker,GBR,Diola,500,0,59.20,,
5,Rodrigo Giesteira Almeida,POR,Gaga E D' Augustijn,300,0,59.68,,
6,Laurent Goffinet,FRA,Nimrod de Muze Z,225,0,60.09,,
7,Gonzalo Busca Roca,ESP,Brasilia,150,0,60.66,,
8,Nicolas Toro,COL,Desperado,125,0,61.10,,
9,David Simpson,IRL,Jenson 55,100,0,62.54,,
10,Jesús Torres García,ESP,Grupo Prom Jivaro,100,0,62.66,,
11,Paola Amilibia,ESP,V.I.P.,50,0,63.55,,
12,Helen Tredwell,GBR,Sebastian VII,50,0,64.40,,
13,Andrzej Oplatek,POL,Conthinder,,0,64.41,,
14,Hendrik-Jan Schuttert,NED,Guru,,0,65.88,,
15,Richard Gardner,NZL,Cromwell 32,,0,66.02,,
16,Maximilian Lill,GER,Checkers 10,,0,66.19,,
17,Felicie Bertrand,FRA,T'Intely Lande,,0,66.93,,
18,Fidel Dávila García,ESP,Take Off du Henner,,0,67.38,,
19,Kyle Timm,CAN,Bentley de Sury,,0,68.88,,
20,Gerardo Menéndez Mieres,ESP,Costello DC,,0,68.89,,
21,Michael Greeve,NED,Contara 15,,0,70.27,,
22,Karim Elzoghby,EGY,Crocket W,,0,76.98,,
23,Luis Sabino Gonçalves,POR,Dominka van de Lucashoeve,,0,77.81,,
24,Lisa Nooren,NED,Ezra Van W,,0,79.56,,
25,Eduardo Sánchez Navarro,MEX,Gouverneur,,4,62.73,,
26,Daniel Meech,NZL,Dominick,,4,65.85,,
27,Jodie Hall McAteer,GBR,Fantom,,4,66.02,,
28,Tom Tarver-Priebe,NZL,Popeye,,4,68.64,,
29,Ainhoa Manero,ESP,Caravaggio de Lison Z,,4,70.57,,
30,Max Routledge,GBR,Sandro's Boy Z,,4,72.22,,
31,Federico Fernández,MEX,Romeo,,4,78.59,,
32,Kerry Mc Cahill,USA,Vatson Sitte,,4,78.99,,
33,Eduardo Álvarez Aznar,ESP,Legend,,6,88.79,,
34,Ignacio Astolfi López,ESP,Easo J,,8,68.59,,
35,Luis Ferreira,POR,Trinidad du Mirador Z,,8,69.20,,
36,Saúl Gutiérrez Oti,ESP,Cort R3 2,,8,73.70,,
37,Pedro Veniss,BRA,Go For IT,,8,74.91,,
38,Sameh El Dahan,EGY,Chanel XXV,,8,75.80,,
39,Alejandro Entrecanales Marsans,ESP,Banzai Semilly,,12,78.75,,
40,Wael Mahgary,EGY,Feeling Luckey,,13,101.84,,
