Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Nicolas Toro,COL,Zinedine Zidane Z,500,0,51.55,0,32.62,0
2,Kevin Gonzalez De Zarate Fdz,ESP,I Mose Vls,400,0,50.44,0,32.99,0
3,Ismael Garcia Roque,ESP,Grey Man,300,0,51.58,0,33.45,0
4,Joseph Clayton,GBR,My Way B. & V.,200,0,50.56,0,33.50,0
5,Ellen Whitaker,GBR,Hulahupe JR,125,0,50.70,0,33.62,0
5,Jodie Hall Mcateer,GBR,Mademoiselle-A,125,0,51.53,0,33.62,0
7,Iván Serrano Sáez,ESP,Maria Bonita,80,0,52.30,0,34.32,0
8,Juan Riva Francos,ESP,Cadum de Champloue,60,0,50.32,0,34.52,0
9,David Simpson,IRL,Hennessy-S,60,0,50.89,0,34.80,0
10,Hendrik-Jan Schuttert,NED,Hertogin van de Kouberg,50,0,53.26,0,35.08,0
11,Helen Tredwell,GBR,Luikan,50,0,53.13,0,36.09,0
12,Gonzalo Busca Roca,ESP,Cacao Jmg,50,0,50.32,0,36.34,0
13,Eduardo Alvarez Aznar,ESP,Ilero,,0,52.24,0,36.40,0
14,Carolina Aresu Garcia Obregon,ESP,Casper de Luxe,,0,54.31,0,37.11,0
15,Jens Baackmann,GER,Cassai W,,0,51.65,0,37.93,0
16,Jose Bono Rodriguez,ESP,Quark de Preuilly Z,,0,52.31,0,38.77,0
17,Sergio Alvarez Moya,ESP,Tirano,,0,55.28,0,40.40,0
18,Gerardo Menendez Mieres,ESP,Diamantta DC,,0,51.75,0,42.34,0
19,Alvaro Diaz Garcia,ESP,Visama Kaoba,,0,54.53,1,43.30,1
20,Ignacio Astolfi Lopez,ESP,Carnac Desperrets,,0,51.27,4,34.70,4
21,Hannah Åkerblom,SWE,Hebikdat,,4,52.69,0,36.78,4
22,Marcos Diaz Rodriguez,ESP,Cobalt Coco,,0,55.67,4,37.49,4
23,Pedro Veniss,BRA,Happy Girl T,,0,52.94,4,37.64,4
24,Annika Axelsson,SWE,Cleo Z,,4,52.68,0,42.44,4
25,Leticia Riva Gil,ESP,Conan de Taute,,0,53.06,5,43.99,5
26,Molly Hay,USA,Dyrka du Carry,,0,51.26,8,38.70,8
27,Michael Greeve,NED,It's Easy,,0,55.62,8,39.39,8
28,Santiago Nuñez Riva,ESP,Viento de Capellan,,15,82.40,6,47.66,21
