Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Ellen Whitaker,GBR,Hulahupe JR,1125,0,81.01,0,34.69
2,Pedro Veniss,BRA,Happy Girl T,900,0,83.42,0,35.94
3,Annika Axelsson,SWE,Cleo Z,675,0,84.30,0,38.34
4,Hannah Åkerblom,SWE,Hebikdat,450,0,87.99,0,40.38
5,Jens Baackmann,GER,Cassai W,315,0,87.34,0,45.61
6,Gonzalo Busca Roca,ESP,Cacao Jmg,247.5,0,83.06,4,37.25
7,Jodie Hall McAteer,GBR,Mademoiselle-A,180,0,80.25,8,36.51
8,Ismael García Roque,ESP,Grey Man,135,0,82.26,8,36.67
9,Álvaro Díaz García,ESP,Visama Kaoba,135,1,92.19,,
10,Santiago Núñez Riva,ESP,Viento de Capellán,112.5,4,83.91,,
11,Iván Serrano Sáez,ESP,Maria Bonita,112.5,4,84.56,,
12,David Simpson,IRL,Hennessy-S,112.5,4,84.70,,
13,Nicolas Toro,COL,Zinedine Zidane Z,,4,85.16,,
14,Joseph Clayton,GBR,My Way B. & V.,,4,85.27,,
15,Juan Riva Francos,ESP,Cadum de Champloue,,4,85.38,,
16,Carolina Aresu García Obregón,ESP,Casper de Luxe,,4,86.54,,
17,Sergio Álvarez Moya,ESP,Tirano,,4,86.90,,
18,Gerardo Menéndez Mieres,ESP,Diamantta DC,,4,87.74,,
19,Eduardo Álvarez Aznar,ESP,Ilero,,4,88.03,,
20,Helen Tredwell,GBR,Luikan,,4,88.57,,
21,Marcos Díaz Rodríguez,ESP,Cobalt Coco,,5,89.49,,
22,Michael Greeve,NED,It's Easy,,5,92.09,,
23,Molly Hay,USA,Dyrka du Carry,,8,80.37,,
24,Hendrik-Jan Schuttert,NED,Hertogin van de Kouberg,,8,81.96,,
25,Jose Bono Rodríguez,ESP,Quark de Preuilly Z,,8,84.27,,
26,Ignacio Astolfi López,ESP,Carnac Desperrets,,8,86.32,,
27,Leticia Riva Gil,ESP,Conan de Taute,,12,118.14,,
