Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Jodie Hall Mcateer,GBR,Mademoiselle-A,500,0,69.71
2,Ellen Whitaker,GBR,Hulahupe JR,400,0,69.85
3,Hendrik-Jan Schuttert,NED,Hertogin van de Kouberg,300,0,71.27
4,Juan Riva Francos,ESP,Cadum de Champloue,200,0,71.91
5,Ignacio Astolfi Lopez,ESP,Carnac Desperrets,140,0,72.80
6,David Simpson,IRL,Hennessy-S,110,0,73.41
7,Molly Hay,USA,Dyrka du Carry,80,0,73.49
8,Annika Axelsson,SWE,Cleo Z,60,0,76.93
9,Helen Tredwell,GBR,Luikan,60,0,77.30
10,Joseph Clayton,GBR,My Way B. & V.,50,0,78.51
11,Carolina Aresu Garcia Obregon,ESP,Casper de Luxe,50,0,78.71
12,Alvaro Diaz Garcia,ESP,Visama Kaoba,50,0,83.48
13,Jens Baackmann,GER,Cassai W,,0,84.99
14,Ismael Garcia Roque,ESP,Grey Man,,4,68.12
15,Nicolas Toro,COL,Zinedine Zidane Z,,4,71.72
16,Eduardo Alvarez Aznar,ESP,Ilero,,4,71.92
17,Iván Serrano Sáez,ESP,Maria Bonita,,4,75.60
18,Michael Greeve,NED,It's Easy,,4,76.17
19,Kevin Gonzalez De Zarate Fdz,ESP,I Mose Vls,,4,77.40
20,Marcos Diaz Rodriguez,ESP,Cobalt Coco,,4,77.66
21,Gerardo Menendez Mieres,ESP,Diamantta DC,,4,84.36
22,Sergio Alvarez Moya,ESP,Tirano,,5,90.55
23,Santiago Nuñez Riva,ESP,Viento de Capellan,,8,77.44
24,Hannah Åkerblom,SWE,Hebikdat,,8,77.87
25,Gonzalo Busca Roca,ESP,Cacao Jmg,,8,79.97
26,Jose Bono Rodriguez,ESP,Quark de Preuilly Z,,8,80.09
27,Leticia Riva Gil,ESP,Conan de Taute,,14,110.96
28,Fidel Davila Garcia,ESP,Dasall de Maeza,,EL,
29,Pedro Veniss,BRA,Happy Girl T,,EL,
