Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Fase II Puntos,Fase II Tiempo
1,Ellen Whitaker,GBR,Jack Van'T Kattenheye,8.250€,0,50.91,0,32.03
2,Rodrigo Giesteira Almeida,POR,Kafka Vd Heffinck,5.000€,0,52.64,0,32.67
3,Max Thirouin,FRA,Utopie Villelongue,3.750€,0,54.28,0,33.20
4,Nicolas Toro,COL,Desperado,2.500€,0,53.51,0,33.70
5,Kyle Timm,CAN,Double T,1.500€,0,51.25,0,34.08
6,Lisa Nooren,NED,VDL Groep Sabech d'HA,1.125€,0,52.09,0,34.19
7,Manuel Fernandez Saro,ESP,Santiago de Blondel,750€,0,51.64,0,34.58
8,Paola Amilibia,ESP,V.I.P.,625€,0,50.50,0,34.77
9,Jodie Hall Mcateer,GBR,Fantom,500€,0,53.08,0,35.48
10,Ismael Garcia Roque,ESP,Airline R,500€,0,51.29,0,36.24
11,Manuel Gonzalez Dufrane,MEX,Hortensia van de Leeuwerk,250€,0,51.19,0,36.38
12,Tom Tarver - Priebe,NZL,Popeye,250€,0,52.65,0,37.44
13,Maximilian Lill,GER,Cita Z,75€,0,52.07,0,37.55
14,Nisse Lüneburg,GER,Luca Toni 27,75€,0,51.46,0,37.90
15,Joseph Clayton,GBR,Cally V,75€,0,51.53,0,38.03
16,Felicie Bertrand,FRA,Sultane des Ibis,75€,0,52.05,0,38.10
17,Luis Ferreira,POR,Trinidad du Mirador Z,75€,0,54.48,0,39.84
18,Helen Tredwell,GBR,Galtur,,0,52.14,0,40.13
19,Holger Hetzel,GER,Legioner,,0,54.63,0,40.38
20,Antonio Alfonso,ITA,First Of April CL,,0,53.17,0,40.46
21,Hannah Åkerblom,SWE,Chodec,,0,54.46,0,41.21
22,Hilary Scott,AUS,Qualoma Z,,0,54.84,0,43.23
23,Saul Gutierrez Oti,ESP,Utwo de La Thiaunais,,0,54.59,1,44.14
24,Jack Ansems,NED,Fliere Fluiter,,0,53.05,4,34.16
25,Roberto Turchetto,ITA,Adare,,0,53.03,4,34.64
26,Max Routledge,GBR,Ebriolita,,0,54.50,4,34.82
27,Julio Arias Cueva,ESP,Reggae du Tillard,,0,52.74,4,35.44
28,Hendrik-Jan Schuttert,NED,Balboa HS,,0,52.56,4,37.84
29,Marcus Westergren,SWE,Astree de Burgo,,0,51.01,4,39.97
30,Armando Trapote,ESP,Conthargos Rouge,,0,52.98,4,40.17
31,Alvaro Diaz Garcia,ESP,Visama Parsifal,,0,53.20,4,42.09
32,Eduardo Alvarez Aznar,ESP,F,,0,52.08,8,36.06
33,Sergio Alvarez Moya,ESP,Iron Man 111,,0,51.02,8,37.68
34,Kevin Gonzalez De Zarate Fdz,ESP,Atlantic Z,,0,51.78,10,51.76
35,Francisco Pasquel,MEX,Coronado,,0,50.90,11,52.73
36,Laura Roquet Puignero,ESP,Richie Z,,0,52.94,EL,
36,Alberto Marquez Galobardes,ESP,Coralie,,0,50.93,RET,
38,Daniel Meech,NZL,Cinca 3,,1,56.09,,
39,Wael Mahgary,EGY,Evergreen,,1,56.67,,
40,Jasmin Ranta-Aho,FIN,Dixon,,1,56.82,,
41,Michael Greeve,NED,Turbo Z,,1,56.96,,
42,Fidel Davila Garcia,ESP,Take Off du Henner,,4,51.94,,
43,Luis Fernandez Gil Fournier,ESP,Espinosa,,4,52.13,,
44,Iván Serrano Sáez,ESP,Alep de Pilenie,,4,52.23,,
44,Filippo Marco Bologni,ITA,Diplomat,,4,52.23,,
46,Gonzalo Añon Suarez,ESP,Ad Amigo B,,4,52.33,,
47,Andrzej Oplatek,POL,Conmina Blue PS,,4,53.04,,
48,Carolina Aresu Garcia Obregon,ESP,Valmont de Vizy,,4,53.05,,
49,Annika Axelsson,SWE,Cooper I Z,,4,53.53,,
50,Ignacio Astolfi Lopez,ESP,Dillan M,,4,54.83,,
51,Kerry Mc Cahill,USA,Charly Chaplin S,,4,54.90,,
52,Gerardo Menendez Mieres,ESP,Cassino DC,,5,55.04,,
53,Cayetano Martinez De Irujo,ESP,Cesar Van Spalbeek Z,,5,55.23,,
54,Leticia Riva Gil,ESP,Esperenza d'Esquelmes,,5,55.55,,
55,António Matos Almeida,POR,Apache de Liam,,5,55.72,,
56,Alexander Butler,IRL,Chilli B,,5,55.90,,
57,Luis Sabino Gonçalves,POR,Dominka van de Lucashoeve,,5,56.20,,
58,Ameen Elmaghraby,EGY,Conrad 123,,6,59.18,,
59,Sameh El Dahan,EGY,Chanel XXV,,8,53.42,,
60,Markus Brinkmann,GER,Pikeur Quick Fire,,9,55.10,,
61,Karim Elzoghby,EGY,F-Narcist,,9,56.88,,
62,Samantha Mcintosh,NZL,Alaid de Chez Nous,,12,54.51,,
63,David Simpson,IRL,Jenson 55,,15,64.41,,
64,Antonio Maria Garofalo,ITA,Hope van de Horthoeve,,EL,EL,,
65,Pedro Veniss,BRA,Sun Flower du Theil,,RET,RET,,
