Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Alexander Butler,IRL,Dekato,1650,0,64.72
2,Ellen Whitaker,GBR,Diola,1000,0,66.35
3,Laurent Goffinet,FRA,Nimrod de Muze Z,750,0,69.37
4,Samantha Mcintosh,NZL,James S,500,0,70.82
5,Rodrigo Giesteira Almeida,POR,Gaga E D' Augustijn,300,0,71.61
6,Ainhoa Manero,ESP,Turquoise d'Ivraie,225,0,73.10
7,Holger Hetzel,GER,Chacco-MO,150,0,75.26
8,Maximilian Lill,GER,Capitale 6,125,0,75.38
9,Sameh El Dahan,EGY,Wkd Aimez Moi,100,0,75.82
10,Nicolas Toro,COL,Baloubelle,100,0,77.22
11,Annika Axelsson,SWE,Zaza Z,50,0,77.58
12,Gerardo Menendez Mieres,ESP,Costello DC,50,0,79.47
13,Saul Gutierrez Oti,ESP,Cort R3 2,20,0,80.65
14,Nisse Lüneburg,GER,Alina 440,20,0,81.04
15,Léa de Coulon,SUI,Jordan Van 'T Nachtegalehof,20,0,83.48
16,Felicie Bertrand,FRA,Vahine de Favi,20,0,83.54
17,Filippo Marco Bologni,ITA,Sedik Milano Quilazio,20,0,83.75
18,Daniel Meech,NZL,Faith 13,20,0,83.97
19,Gonzalo Busca Roca,ESP,Invictus,20,1,84.29
20,António Matos Almeida,POR,Icarus,20,1,84.70
21,Roi Calviño Rabon,ESP,Enjoy,20,1,84.99
22,Paola Amilibia,ESP,Gaudi,,1,85.79
23,Markus Brinkmann,GER,Pikeur Dylon,,1,86.01
24,Jose Bono Rodriguez,ESP,Sligo Hard Times,,1,86.35
25,Carolina Aresu Garcia Obregon,ESP,Untrepide de Puychety,,1,86.70
26,Karina Johannpeter,BRA,Lucero Ls La Silla,,1,86.83
27,Armando Trapote,ESP,Little John,,1,87.43
28,Hilary Scott,AUS,Ducati Vdp,,1,87.63
29,Jens Baackmann,GER,Carmen 255,,2,88.54
30,Federico Fernandez,MEX,Pegasso,,2,89.03
31,Andrzej Oplatek,POL,Conthinder,,2,89.31
32,Antonio Alfonso,ITA,Donanso,,2,89.70
33,Pedro Veniss,BRA,For Felicila,,2,89.73
34,Alberto Marquez Galobardes,ESP,Ucello Massuere,,2,89.97
35,Henk van de Pol,NED,Looyman Z,,2,90.01
36,Luis Fernandez Gil Fournier,ESP,Ibon,,2,90.85
37,Manuel Fernandez Saro,ESP,Vodka Star,,3,92.48
38,Laura Roquet Puignero,ESP,Sandi Puigroq,,3,93.19
39,Jodie Hall Mcateer,GBR,Salt'N Peppa,,3,94.14
40,Roberto Turchetto,ITA,Clarico,,3,95.06
41,Emanuele Camilli,ITA,Jakko,,3,95.90
42,Mathieu Billot,FRA,Chacon Ls La Silla,,4,76.25
43,Gonzalo Añon Suarez,ESP,Elisa van de Helle,,4,77.20
44,Kyle Timm,CAN,Vagabon des Forets,,4,79.49
45,Fidel Davila Garcia,ESP,Altauer de Maeza,,4,79.70
46,Jesus Torres Garcia,ESP,Orphee du Breche,,4,79.91
47,Iván Serrano Sáez,ESP,Rain Man,,4,80.05
48,Helen Tredwell,GBR,Sebastian VII,,4,80.38
49,Carmen Garcia-Torres,ESP,Up And Down Tame,,4,81.09
50,Lisa Nooren,NED,Ezra Van W,,4,81.93
51,Jack Ansems,NED,Excellent,,4,82.88
52,Greg Patrick Broderick,IRL,Westbrook,,4,97.04
53,Kerry Mc Cahill,USA,Vatson Sitte,,4,98.48
54,Max Routledge,GBR,Balulu,,4,98.99
55,David Simpson,IRL,Foudre F,,5,86.26
56,Richard Gardner,NZL,Calisto 5,,5,87.06
57,Francisco Pasquel,MEX,Manzano,,6,88.75
58,Sergio Alvarez Moya,ESP,Gazquine Tag,,6,89.47
59,Antonio Maria Garofalo,ITA,Conquestador,,6,89.65
60,Eduardo Alvarez Aznar,ESP,Legend,,6,90.19
61,Wael Mahgary,EGY,Feeling Luckey,,6,90.46
62,Ismael Garcia Roque,ESP,Kardenta Van 'T Meerhof,,6,91.49
63,Richard Howley,IRL,Seahorse Z,,6,91.78
64,Ameen Elmaghraby,EGY,Velwet Queen,,7,93.45
65,Kevin Gonzalez De Zarate Fdz,ESP,Diacardo,,7,93.73
66,Luis Ferreira,POR,Cegina du Mirador Z,,7,93.94
67,Abdullah Alsharbatly,KSA,Larry 210,,7,93.96
68,Cayetano Martinez De Irujo,ESP,Dito,,7,94.97
69,Hendrik-Jan Schuttert,NED,Expensive,,7,95.09
70,Pierre Marie Friant,FRA,Bianca Star,,8,79.37
71,Ignacio Astolfi Lopez,ESP,Easo J,,8,96.08
72,Molly Hay,USA,Belle Amour d'Euskadi,,8,96.69
73,Luis Sabino Gonçalves,POR,Biloba des Chaines,,9,87.61
74,Bruce Goodin,NZL,Copain Vdb Z,,10,89.02
75,Michael Greeve,NED,Contara 15,,11,94.40
76,Karim Elzoghby,EGY,Crocket W,,13,101.18
77,Marcus Westergren,SWE,Faya Sao Miguel,,14,88.28
78,Santiago Nuñez Riva,ESP,Luanco,,14,90.19
79,Julio Arias Cueva,ESP,Tamino AZ,,15,92.24
80,Alejandro Entrecanales Marsans,ESP,Banzai Semilly,,17,86.83
81,Joseph Clayton,GBR,Baldur 75,,RET,
82,Eduardo Sanchez Navarro,MEX,Sicanta,,RET,
83,Fernando Martinez Sommer,MEX,Diachron,,RET,
84,Jasmin Ranta-Aho,FIN,Gracieuza H,,EL,
