Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate
1,Julio Arias Cueva,ESP,Tip Top de l'Orle,2475,0,79.49,0,40.30
2,Gonzalo Añon Suarez,ESP,Elisa van de Helle,1500,0,74.36,0,40.36
3,Pierre Marie Friant,FRA,Bianca Star,1125,0,78.23,0,40.41
4,Filippo Marco Bologni,ITA,Sedik Milano Lacan 2,750,0,79.39,0,40.52
5,Felicie Bertrand,FRA,T'Intely Lande,450,0,80.06,0,41.19
6,Ellen Whitaker,GBR,Diola,337.5,0,74.27,0,41.79
7,Samantha Mcintosh,NZL,James S,225,0,79.09,0,42.04
8,Luis Fernandez Gil Fournier,ESP,Espinosa,187.5,0,78.29,0,42.32
9,Nicolas Toro,COL,Baloubelle,150,0,80.17,0,42.35
10,Annika Axelsson,SWE,Zaza Z,150,0,78.48,0,42.71
11,Markus Brinkmann,GER,Pikeur Quick Fire,75,0,79.31,0,46.76
12,Laurent Goffinet,FRA,Nimrod de Muze Z,75,4,78.81,4,41.94
13,António Matos Almeida,POR,Icarus,,4,78.48,4,43.16
14,Maximilian Lill,GER,Checkers 10,,4,75.93,4,44.73
15,Daniel Meech,NZL,Faith 13,,4,80.53,4,45.06
16,Michael Greeve,NED,Dacantos,,4,79.61,4,46.16
17,Antonio Alfonso,ITA,First Of April CL,,0,79.42,,
18,Cayetano Martinez De Irujo,ESP,Cesar Van Spalbeek Z,,1,82.97,,
19,Andrzej Oplatek,POL,Conmina Blue PS,,1,83.07,,
20,Max Routledge,GBR,Sandro's Boy Z,,1,84.42,,
21,Holger Hetzel,GER,Diacco-Blue,,1,85.45,,
22,Saul Gutierrez Oti,ESP,Cort R3 2,,4,76.62,,
23,Gonzalo Busca Roca,ESP,Brasilia,,4,77.68,,
24,Gerardo Menendez Mieres,ESP,Lordana DC,,4,78.66,,
25,Abdullah Alsharbatly,KSA,Beau Limit,,4,79.52,,
26,Jodie Hall Mcateer,GBR,Kilbarron Rue,,4,81.72,,
27,Paola Amilibia,ESP,V.I.P.,,8,76.57,,
28,Kyle Timm,CAN,Bentley de Sury,,9,82.57,,
29,Roi Calviño Rabon,ESP,Dollar du Diabolo,,14,105.00,,
30,Ainhoa Manero,ESP,Turquoise d'Ivraie,,RET,,,
