Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Luciana Diniz,POR,Vertigo du Desert,16566,0,64.45
2,Roberto Turchetto,ITA,Adare,10040,0,65.47
3,Pedro Veniss,BRA,For Felicila,7530,0,65.84
4,Sergio Alvarez Moya,ESP,Iron Man 111,5020,0,66.25
5,Joseph Clayton,GBR,Baldur 75,3012,0,66.73
6,Rodrigo Giesteira Almeida,POR,Gaga E D' Augustijn,2259,0,66.83
7,Felicie Bertrand,FRA,Vahine de Favi,1506,0,67.69
8,Andrzej Oplatek,POL,Stakkatan,1255,0,68.22
9,Hendrik-Jan Schuttert,NED,Balboa HS,1004,0,68.83
10,Fernando Martinez Sommer,MEX,Diachron,1004,0,69.12
11,Luis Sabino Gonçalves,POR,Dominka van de Lucashoeve,502,0,70.26
12,Michael Greeve,NED,Contara 15,502,0,70.65
13,Nisse Lüneburg,GER,Alina 440,150,0,71.00
14,Carolina Aresu Garcia Obregon,ESP,Untrepide de Puychety,150,0,71.38
15,Manuel Fernandez Saro,ESP,Vodka Star,150,0,72.76
16,Antonio Maria Garofalo,ITA,Conquestador,150,0,73.95
17,Antonio Alfonso,ITA,Donanso,150,0,74.05
18,Jack Ansems,NED,Excellent,150,0,74.59
19,Karim Elzoghby,EGY,Dierette,150,0,74.80
20,Filippo Marco Bologni,ITA,Sedik Milano Quilazio,150,0,75.53
21,Nicolas Toro,COL,Cinderella Z,,0,75.69
22,Jesus Torres Garcia,ESP,Orphee du Breche,,0,77.74
23,Ignacio Astolfi Lopez,ESP,Dillan M,,0,78.21
24,Paola Amilibia,ESP,Gaudi,,0,79.14
25,Leticia Riva Gil,ESP,Esperenza d'Esquelmes,,0,79.65
26,Antonia Pettersson Häggström,SWE,Chickflick K,,0,81.05
27,Ellen Whitaker,GBR,Jack Van'T Kattenheye,,4,64.53
28,Richard Howley,IRL,Chinook,,4,65.64
29,Max Thirouin,FRA,Jewel de Kwakenbeek,,4,65.82
30,Abdullah Alsharbatly,KSA,Larry 210,,4,65.87
31,Laurent Goffinet,FRA,Atome des Etisses,,4,67.12
32,Pierre Marie Friant,FRA,Urdy d'Astree,,4,67.21
33,Henk van de Pol,NED,Looyman Z,,4,67.70
34,Helen Tredwell,GBR,Sebastian VII,,4,68.36
35,Max Routledge,GBR,Ebriolita,,4,68.50
36,Eduardo Sanchez Navarro,MEX,Sicanta,,4,68.65
37,Kyle Timm,CAN,Vagabon des Forets,,4,68.86
38,Karina Johannpeter,BRA,Lucero LS La Silla,,4,70.76
39,Daniel Meech,NZL,Cinca 3,,4,71.38
40,Holger Hetzel,GER,Chacco-MO,,4,72.52
41,Annika Axelsson,SWE,Cooper I Z,,4,73.09
42,Samantha Mcintosh,NZL,Check In 2,,4,76.44
43,Armando Trapote,ESP,Little John,,4,78.05
43,Richard Gardner,NZL,Calisto 5,,4,78.05
45,Hilary Scott,AUS,Oaks Milky Way,,4,78.07
46,Jasmin Ranta-Aho,FIN,Dixon,,4,78.47
47,Alvaro Diaz Garcia,ESP,Visama Parsifal,,4,78.57
48,Alaa Mayssara,EGY,Dittorio-S,,4,78.69
49,Luis Ferreira,POR,Cegina du Mirador Z,,4,80.02
50,Léa de Coulon,SUI,Jordan Van 'T Nachtegalehof,,4,80.35
51,Ameen Elmaghraby,EGY,Conrad 123,,5,85.60
52,Mathieu Billot,FRA,Chacon LS La Silla,,8,64.71
53,Alexander Butler,IRL,Divine Hero (E.T.),,8,67.16
54,Gonzalo Busca Roca,ESP,Invictus,,8,69.06
55,Sameh El Dahan,EGY,WKD Aimez Moi,,8,71.78
56,Kerry Mc Cahill,USA,Vatson Sitte,,8,72.03
57,Jodie Hall McAteer,GBR,Fantom,,8,72.10
58,Iván Serrano Sáez,ESP,Rain Man,,8,72.62
58,Federico Fernandez,MEX,Pegasso,,8,72.62
60,Gerardo Menendez Mieres,ESP,Costello DC,,8,74.46
61,Maximilian Lill,GER,Capitale 6,,8,75.21
62,Eduardo Alvarez Aznar,ESP,F,,8,75.27
63,Carmen Garcia-Torres,ESP,Up And Down Tame,,8,79.80
64,Saul Gutierrez Oti,ESP,Utwo de La Thiaunais,,8,81.44
65,Luis Fernandez Gil Fournier,ESP,Ibon,,8,82.58
66,Wael Mahgary,EGY,Feeling Luckey,,9,87.21
67,Gonzalo Añon Suarez,ESP,Qlamp d'Ivraie,,12,74.10
68,Marcus Westergren,SWE,Faya Sao Miguel,,12,74.17
69,Fidel Davila Garcia,ESP,Take Off du Henner,,12,76.18
70,Roi Calviño Rabon,ESP,Enjoy,,12,80.56
