Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Fase II Puntos,Fase II Tiempo
1,Alexander Butler,IRL,Dekato,1650,0,43.92,0,31.52
2,António Matos Almeida,POR,Irene van de Kwachthoeve,1000,0,43.63,0,32.25
3,Abdullah Alsharbatly,KSA,Beau Limit,750,0,45.51,0,32.61
4,Saul Gutierrez Oti,ESP,Cort R3 2,500,0,44.02,0,33.13
5,Max Routledge,GBR,Sandro's Boy Z,300,0,48.15,0,34.01
6,Antonio Alfonso,ITA,Dream Van Generhese,225,0,45.20,0,34.11
7,Pierre Marie Friant,FRA,Bianca Star,150,0,47.04,0,34.23
8,Michael Greeve,NED,Dacantos,125,0,47.98,0,34.69
9,Sergio Alvarez Moya,ESP,Gazquine Tag,100,0,45.02,0,34.91
10,Julio Arias Cueva,ESP,Tip Top de l'Orle,100,0,44.89,0,35.02
11,Samantha Mcintosh,NZL,Alaid de Chez Nous,50,0,46.18,0,35.10
12,Jodie Hall Mcateer,GBR,Kilbarron Rue,50,0,46.24,0,36.29
13,Filippo Marco Bologni,ITA,Sedik Milano Lacan 2,20,0,47.22,0,36.35
14,Maximilian Lill,GER,Checkers 10,20,0,45.90,0,36.85
15,Andrzej Oplatek,POL,Conthinder,20,0,48.21,0,37.25
16,Luis Fernandez Gil Fournier,ESP,Espinosa,20,0,46.39,0,37.26
17,Daniel Meech,NZL,Dominick,20,0,48.08,0,37.54
18,Gonzalo Añon Suarez,ESP,Ad Amigo B,20,0,45.98,0,37.58
19,Luciana Diniz,POR,Lennox,,0,45.23,0,37.88
20,Roi Calviño Rabon,ESP,Dollar du Diabolo,,0,47.72,0,39.03
21,Cayetano Martinez De Irujo,ESP,Cesar Van Spalbeek Z,,0,46.52,0,39.94
22,Kyle Timm,CAN,Bentley de Sury,,0,46.57,0,40.73
23,Eduardo Alvarez Aznar,ESP,Seringat,,0,45.89,0,42.74
24,Bruce Goodin,NZL,Backatorps Danny V,,0,47.38,1,43.98
25,Billy Twomey,IRL,Chat Botte E.D,,0,47.19,1,44.17
26,Emanuele Camilli,ITA,Chadellano PS,,0,46.17,1,45.60
27,Mathieu Billot,FRA,Quel Filou 13,,0,48.48,1,45.85
28,Richard Howley,IRL,Seahorse Z,,0,48.86,1,46.22
29,Federico Fernandez,MEX,Davidoff,,0,49.59,2,48.22
30,Annika Axelsson,SWE,W Diva Rosa Mfs,,0,49.08,3,51.85
31,Luis Sabino Gonçalves,POR,Unesco du Rouet,,0,47.04,3,52.89
32,Jesus Torres Garcia,ESP,Grupo Prom Jivaro,,0,44.29,4,34.79
33,Fidel Davila Garcia,ESP,Altauer de Maeza,,0,43.87,4,35.05
34,Ismael Garcia Roque,ESP,Kardenta Van 'T Meerhof,,0,45.13,4,37.00
35,Felicie Bertrand,FRA,T'Intely Lande,,0,47.02,4,41.38
36,Karina Johannpeter,BRA,Casper 150,,0,49.62,4,55.32
37,Luis Ferreira,POR,Congo du Mirador Z,,0,49.65,6,48.58
38,Ellen Whitaker,GBR,Arena Uk Winston,,0,48.90,RET,
38,Francisco Pasquel,MEX,Coronado,,0,47.49,RET,
38,Paola Amilibia,ESP,Prunella d'Ariel,,0,45.41,RET,
38,Fernando Martinez Sommer,MEX,Cor Bakker,,0,49.80,RET,
38,Ainhoa Manero,ESP,Caravaggio de Lison Z,,0,43.13,EL,
38,David Simpson,IRL,Gentlemen vh Veldhof,,0,49.94,RET,
38,Marcus Westergren,SWE,Calmere,,0,46.42,RET,
45,Manuel Fernandez Saro,ESP,Jarlin de Torres,,1,50.36,,
46,Ameen Elmaghraby,EGY,Velwet Queen,,1,51.12,,
47,Rodrigo Giesteira Almeida,POR,Gb Celine,,1,51.32,,
48,Joseph Clayton,GBR,Carreau Of Greenhill Z,,2,54.57,,
49,Greg Patrick Broderick,IRL,Lvs Wizard,,4,43.73,,
50,Antonio Maria Garofalo,ITA,Hope van de Horthoeve,,4,43.79,,
51,Kevin Gonzalez De Zarate Fdz,ESP,Recesvinto,,4,43.82,,
52,Gerardo Menendez Mieres,ESP,Lordana DC,,4,44.76,,
53,Gonzalo Busca Roca,ESP,Brasilia,,4,44.94,,
54,Richard Gardner,NZL,Cromwell 32,,4,45.36,,
55,Santiago Nuñez Riva,ESP,Luanco,,4,45.84,,
56,Lisa Nooren,NED,Jarolus van de Bergdalhoeve,,4,46.12,,
57,Jack Ansems,NED,Fliere Fluiter,,4,46.86,,
58,Pedro Veniss,BRA,Go For IT,,4,46.89,,
59,Holger Hetzel,GER,Diacco-Blue,,4,46.96,,
60,Eduardo Sanchez Navarro,MEX,Gouverneur,,4,47.01,,
61,Hendrik-Jan Schuttert,NED,Guru,,4,48.61,,
62,Hilary Scott,AUS,Ducati Vdp,,4,49.45,,
63,Ignacio Astolfi Lopez,ESP,Easo J,,8,45.35,,
64,Alejandro Entrecanales Marsans,ESP,Banzai Semilly,,8,47.04,,
65,Roberto Turchetto,ITA,Andretti S,,8,47.05,,
66,Wael Mahgary,EGY,Damira D,,12,47.18,,
67,Iván Serrano Sáez,ESP,Alep de Pilenie,,16,48.36,,
68,Alberto Marquez Galobardes,ESP,Ucello Massuere,,RET,,,
69,Jasmin Ranta-Aho,FIN,Gracieuza H,,EL,,,
