Posición,Jinete,Nacionalidad,Premio,Caballo,Puntos,Tiempo,Puntos desempate,Tiempo desempate,Total
1,Kevin Gonzalez De Zarate Fernandez,ESP,66000,Frappant,0,81.70,0,58.86,0
2,Abdullah Alsharbatly,KSA,40000,Arena Uk Winston,0,80.68,0,61.57,0
3,Axel van Colen,FRA,30000,Darkhorse Brimbelles,0,80.55,0,64.39,0
4,Guillaume Foutrier,FRA,20000,Corneska de La Falize Z (Et),1,84.14,0,64.41,1
5,Mans Thijssen,NED,12000,Hello,0,82.34,3,67.25,3
6,Francois Xavier Boudant,FRA,9000,Brazyl du Mezel,0,80.05,4,57.45,4
7,Pedro Veniss,BRA,6000,Boeckmanns Lord Pezi Junior,0,79.65,4,57.63,4
8,Niels Kersten,NED,5000,Grieg S,0,80.20,8,56.39,8
9,Karl Robins,GBR,4000,Equine America G Camille Hbf,4,78.35,,,4
10,Olivier Perreau,FRA,4000,Gl Events Dorai d'Aiguilly,4,79.88,,,4
11,Hannah Åkerblom,SWE,2000,Chodec,4,81.91,,,4
12,Manuel Fernandez Saro,ESP,2000,Acoufina PS,4,82.19,,,4
13,Patrik Majher,SVK,,Claude,8,77.43,,,8
14,Luis Mateos Bernaldez,ESP,,Chamant de Biolley,8,80.08,,,8
15,Lionel Huc,FRA,,Bonjour d'Iberia,8,80.47,,,8
16,Max Thirouin,FRA,,Utopie Villelongue,8,81.16,,,8
17,Simon Crippen,GBR,,Handsome,8,81.65,,,8
18,Duarte Seabra,POR,,Hhs Washington,8,81.90,,,8
19,Mel Thijssen,NED,,Florida Balia NL,12,78.09,,,12
20,Pedro Junqueira Muylaert,BRA,,Quax 76,12,81.60,,,12
21,Aurelien Leroy,FRA,,Vendome d'Ick,12,82.09,,,12
22,Jackson Reed Stephenson,GBR,,Exception,16,80.76,,,16
23,Deirdre Reilly,IRL,,Kafka Vd Heffinck,19,86.79,,,19
24,Hani Kamal Raji Bisharat,JOR,,Chatinue,30,85.96,,,30
RET,Joel Valles Rosell,ESP,,Kripton SC,,,,,
EL,Piet Raijmakers Jr,BEL,,Van Schijndel's Gladstone,,,,,
RET,Borja Villalon Puras,ESP,,Nero Van'T Prinsenveld,,,,,
RET,Alberto Marquez Galobardes,ESP,,Averex PS,,,,,
RET,Andrea Calabro,ITA,,Thats Me Z,,,,,
RET,Ignace Philips De Vuyst,BEL,,Only Special Van Dobby-Home,,,,,
RET,Anthony Condon,IRL,,Sfs Vincomte,,,,,
RET,Jesus Garmendia Echevarria,ESP,,Callias,,,,,
