Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II,Total
1,Elena Appendino,ESP,Iceman,990,0,33.33,0,26.90,0
2,Olivia Alvarez García,ESP,Cartouche,600,0,33.67,0,27.04,0
3,Jose Fumero Hernandez,ESP,Figuier du Roc,450,0,35.39,0,27.49,0
4,Pedro Antonio Mateos Bernaldez,ESP,Extra Dry,300,0,36.10,0,27.74,0
5,Duarte Seabra,POR,Moulin Rouge Van Paemel,180,0,34.47,0,27.99,0
6,Piet Raijmakers Jr,NED,Van Schijndel's Hanibal,135,0,34.25,0,28.40,0
7,Leticia Riva Gil,ESP,Conan de Taute,90,0,34.78,0,28.62,0
8,Francois Xavier Boudant,FRA,Diamant de Riverland,75,0,33.80,0,28.71,0
9,Mans Thijssen,NED,Joviality,60,0,37.74,0,29.31,0
10,Laura Roquet Puignero,ESP,Cricket,60,0,37.01,0,30.58,0
11,Teresa Arias Cueva,ESP,Figura,30,0,32.89,0,30.60,0
12,Ainhoa Manero Benavente,ESP,Espoir de l'Ermitage,30,0,32.77,0,31.12,0
13,Niels Kersten,NED,Belfast Z,,0,35.88,0,32.38,0
14,Carmen Mateos De Urbina,ESP,Belize du Marais,,0,34.25,0,33.18,0
15,Pello Elorduy Ibarzabal,ESP,Bijoux,,0,34.35,0,33.40,0
16,Sira Martinez Cullell,ESP,Mano Negra van de Bucxtale,,0,35.20,0,33.57,0
17,Gonzalo Busca Roca,ESP,Cristiano Obolensky,,0,35.84,0,33.67,0
18,Jesus Garmendia Echevarria,ESP,Sandano 2,,0,35.27,0,34.99,0
19,Luis Ortiz Agüera,ESP,Hvedholms Cashew,,0,35.14,0,35.94,0
20,Beatriz Llanza,ESP,Iorio,,0,35.73,0,36.37,0
21,Mel Thijssen,NED,Gill,,0,37.11,0,36.41,0
22,Alejandro Entrecanales Marsans,ESP,Baby Boy du Murger,,0,35.70,0,36.70,0
23,Álvaro González De Zarate Fernandez,ESP,Najac vh Kluizebos,,0,39.62,0,37.59,0
24,Chloe Bertolini,MON,Never Alone,,0,36.30,0,39.39,0
25,Alberto Marquez Galobardes,ESP,For Jump des Horts,,0,35.62,0,40.07,0
26,Saul Gutierrez Oti,ESP,Brownie du Boisprince,,0,36.42,4,31.88,4
27,Ophelie Richard Sanchez,MEX,Eklektik des Hutiers,,4,32.33,0,33.34,4
28,Hannah Åkerblom,SWE,Colombina,,0,35.51,4,35.68,4
29,Micaela Alvarez Gutierrez,ESP,Little Chap S,,0,33.54,4,39.08,4
30,Yuko Itakura,JPN,Coco Magic,,4,36.17,0,41.33,4
31,Daniela Stransky,VEN,Romance du Criolo,,8,32.69,0,34.40,8
32,Pedro Veniss,BRA,Jobolensky Sitte,,8,37.20,0,40.99,8
33,Carlos Muñiz Gonzalez,ESP,Exiom Glencoe Van'T Roosakker Z,,4,33.84,8,39.28,12
34,Julio Arias Cueva,ESP,Tip Top de l'Orle,,0,33.90,14,47.61,14
35,Alex Codina Leria,ESP,London Blue,,18,56.85,0,37.67,18
RET,Roi Calviño Rabon,ESP,Enjoy,,RET,,,,RET
RET,Teresa Blazquez-Abascal,ESP,Nasa de Toxandria,,RET,,,,RET
RET,Leonardo Medal Rionda,ESP,Eyre de Saro,,RET,,,,RET
RET,Luis Mateos Bernaldez,ESP,Coryphee des Ifs,,RET,,,,RET
