Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo,Puntos Desempate,Tiempo Desempate,Total
1,Niels Kersten,NED,Grieg S,33000,0,78.97,0,44.56,0
2,Anthony Condon,IRL,Sfs Vincomte,20000,0,76.90,0,46.14,0
3,Lionel Huc,FRA,Bonjour d'Iberia,15000,0,78.62,0,46.43,0
4,Olivier Perreau,FRA,Gl Events Dorai d'Aiguilly,10000,0,78.30,0,46.56,0
5,Mans Thijssen,NED,Hello,6000,0,80.59,2,52.21,2
6,Francois Xavier Boudant,FRA,Brazyl du Mezel,4500,0,77.08,4,43.46,4
7,Kevin Gonzalez De Zarate Fernandez,ESP,Frappant,3000,0,79.37,4,45.15,4
8,Patrik Majher,SVK,Claude,2500,0,78.90,4,47.57,4
9,Andrea Calabro,ITA,Nalou Of Greenhill Z,2000,0,81.35,5,51.04,5
10,Piet Raijmakers Jr,NED,Van Schijndel's Gladstone,2000,0,77.53,9,51.16,9
11,Pedro Veniss,BRA,Boeckmanns Lord Pezi Junior,1000,0,77.61,14,60.83,14
12,Alberto Marquez Galobardes,ESP,Aldo du Manoir,1000,0,77.47,27,65.03,27
13,Aurelien Leroy,FRA,Vendome d'Ick,,1,82.29,,,1
14,Duarte Seabra,POR,Hhs Washington,,4,77.72,,,4
15,Abdullah Alsharbatly,KSA,Arena Uk Winston,,4,78.95,,,4
16,Hannah Åkerblom,SWE,Chodec,,4,79.67,,,4
17,Axel van Colen,FRA,Darkhorse Brimbelles,,4,79.90,,,4
18,Max Thirouin,FRA,Utopie Villelongue,,4,79.92,,,4
19,Manuel Fernandez Saro,ESP,Acoufina PS,,4,80.38,,,4
19,Karl Robins,GBR,Equine America G Camille Hbf,,4,80.38,,,4
21,Pedro Junqueira Muylaert,BRA,Quax 76,,4,80.42,,,4
22,Guillaume Foutrier,FRA,Corneska de La Falize Z (Et),,4,80.54,,,4
23,Simon Crippen,GBR,Handsome,,6,83.78,,,6
24,Hani Kamal Raji Bisharat,JOR,Chatinue,,8,77.83,,,8
25,Borja Villalon Puras,ESP,Nero Van'T Prinsenveld,,8,79.31,,,8
26,Iván Serrano Sáez,ESP,Little John,,8,80.11,,,8
27,Mel Thijssen,NED,Florida Balia NL,,8,81.29,,,8
28,Jesus Bamonde,ESP,Agr Trouble Maker,,10,83.08,,,10
29,Jackson Reed Stephenson,GBR,Exception,,12,78.31,,,12
30,Alex Codina Leria,ESP,My Passion Vd Donkhoeve,,16,77.23,,,16
31,Jesus Garmendia Echevarria,ESP,Callias,,16,79.28,,,16
32,Joel Valles Rosell,ESP,Kripton SC,,16,80.71,,,16
33,Alfons Roquet Puignero,ESP,Con Artist,,20,81.27,,,20
34,Luis Mateos Bernaldez,ESP,Chamant de Biolley,,24,93.48,,,24
RET,Jose Fumero Hernandez,ESP,Quartago de Villafranca,,,,,,
RET,Ignace Philips De Vuyst,BEL,Only Special Van Dobby-Home,,,,,,
EL,Carolina Villanueva Suarez,ESP,Voice de Chenaie,,,,,,
RET,Cayetano Martinez De Irujo,ESP,Dearest Diamond RS,,,,,,
RET,Felipe Ramos Guinato,BRA,Bigstar,,,,,,
