Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Kevin Gonzalez De Zarate Fernandez,ESP,Kristal's Beauty B,500,0,60.39
2,Guillermo Gonzalez Alonso,ESP,Vendetta de Capellan,400,0,62.53
3,Guillaume Foutrier,FRA,Fruna de Kogis,300,0,62.69
4,Anthony Condon,IRL,Bellevue Celestial,200,0,63.53
5,Francois Xavier Boudant,FRA,Gfe Falko de Hus,140,0,63.94
6,Pello Elorduy Ibarzabal,ESP,Furiazzo de l'Aubree,110,0,64.14
7,Mel Thijssen,NED,Let It Be,80,0,66.35
8,Ignace Philips De Vuyst,BEL,Packman de Reve,60,0,66.45
9,Olivier Perreau,FRA,Gl Events Faustine Sauvage,60,0,67.78
10,Ophelie Richard Sanchez,MEX,Good Feeling Semilly,50,0,68.10
11,Julio Arias Cueva,ESP,Peanuts Van Baublo,50,0,68.63
12,Deborah Jackson,GBR,Kandy,50,0,69.38
13,Alberto Marquez Galobardes,ESP,Kelly,,0,70.16
14,Álvaro González De Zarate Fernandez,ESP,Belico Royal,,0,70.25
15,Borja Villalon Puras,ESP,Brazilia Dk Z,,0,71.00
16,Jose Fumero Hernandez,ESP,Gentleman de La Cour,,0,71.15
17,Gonzalo Busca Roca,ESP,Pacino Di Cabra,,0,71.86
18,Niels Kersten,NED,King's Dream,,0,72.05
19,Laura Roquet Puignero,ESP,Nina Puigroq,,0,72.12
20,Pedro Junqueira Muylaert,BRA,Captain Ciwano,,0,73.61
21,Felipe Ramos Guinato,BRA,Que Paso Z,,0,76.64
22,Max Thirouin,FRA,Gorille Doral,,4,62.80
23,Ines Hernández Yanguas,ESP,Nemo de Porceyo,,4,70.97
24,Mans Thijssen,NED,Knockout EB,,4,72.75
25,Alfons Roquet Puignero,ESP,Carabinieri V Cascadella I,,4,73.28
26,Roi Calviño Rabon,ESP,Marlon Del Amor,,4,73.65
27,Jesus Bamonde,ESP,Agr Colombia,,8,70.66
28,Aurelien Leroy,FRA,Cohiba,,8,71.85
29,Iván Serrano Sáez,ESP,Calsacanna Star PS,,32,98.15
