Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Anthony Condon,IRL,Merlins Victoire,8415,0,62.44
2,Olivier Perreau,FRA,GL Events Dolce Deceuninck,5100,0,63.42
3,Pello Elorduy Ibarzabal,ESP,Bijoux,3825,0,63.97
4,Mel Thijssen,NED,Gill,2550,0,64.51
5,Jesús Garmendia Echevarria,ESP,Ulises Del Pomar,1530,0,65.34
6,Beatriz Llanza,ESP,Iorio,1147.5,0,65.88
7,Olivia Álvarez García,ESP,Gabin,765,0,66.60
8,Yuko Itakura,JPN,Stakkatisa PS,637.5,0,66.71
9,Luis Jesús Escobar,ESP,Cascallo B,510,0,66.74
10,Mans Thijssen,NED,Joviality,510,0,66.89
11,Manuel Fernández Saro,ESP,Ezilis du Mesnil,255,0,69.65
12,Luis Ortiz Agüera,ESP,Hvedholms Cashew,255,0,70.64
13,Carmen Mateos de Urbina,ESP,Belize du Marais,,0,70.89
14,Alex Codina Leria,ESP,Jarno,,2,72.91
15,François Xavier Boudant,FRA,Diamant de Riverland,,4,62.00
16,Abdullah Alsharbatly,KSA,Valdocco des Caps,,4,62.05
17,José Fumero Hernández,ESP,Cadum de Champloue,,4,62.32
18,Borja Villalón Puras,ESP,Baltazar D Z,,4,62.67
19,Duarte Seabra,POR,Fernhill Check Your Pocket,,4,63.89
20,Niels Kersten,NED,Zeppe Blue,,4,64.20
21,Ibrahim Hani Bisharat,JOR,Henriette,,4,64.74
22,Jackson Reed Stephenson,GBR,Obelia Vd Bisschop,,4,65.85
23,Gerardo Menéndez Mieres,ESP,Deus de Tus,,4,66.48
24,Sira Martínez Cullell,ESP,Mano Negra van de Bucxtale,,4,67.86
25,Teresa Blázquez-Abascal,ESP,Nasa de Toxandria,,4,67.98
26,Roi Calviño Rabón,ESP,Enjoy,,4,68.81
27,Alejandro Entrecanales Marsans,ESP,Baby Boy du Murger,,4,70.75
28,Inés Hernández Yanguas,ESP,Devotion,,5,71.30
29,Álvaro González de Zárate Fernández,ESP,Double R Everest,,5,71.83
30,Elena Appendino,ESP,Grupo Prom Hacienda,,8,65.89
31,Kevin González de Zárate Fernández,ESP,London Times PS,,9,71.78
32,Guillermo González Alonso,ESP,Toulonique de Walyro,,9,71.86
33,Laura Roquet Puignero,ESP,Miki Puigroq,,13,75.81
34,Carolina Villanueva Suárez,ESP,Indigo Blue Biolley,,16,66.03
35,Piet Raijmakers Jr,NED,Haya,,16,67.28
36,Alejandro Kenneth Gottlieb Boda,MEX,Golden Diamonds W.G.,,42,100.57
RET,Carlos Muñiz González,ESP,Visama Cavallo C,,RET,
RET,Leonardo Medal García,ESP,Rey de Gozón,,RET,
EL,Julio Arias Cueva,ESP,Diago,,EL,
EL,Gonzalo Busca Roca,ESP,Clindillo,,EL,
EL,Alejandro Álvarez Gutiérrez,ESP,Calvie 4,,EL,
