Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Luis Mateos Bernaldez,ESP,Coryphee des Ifs,990,0,57.91
2,Elena Appendino,ESP,Iceman,600,0,60.26
3,Olivia Alvarez García,ESP,Cartouche,450,0,60.82
4,Roi Calviño Rabon,ESP,Julieta Del Amor,300,0,62.30
5,Leticia Riva Gil,ESP,Conan de Taute,180,0,64.23
6,Piet Raijmakers Jr,NED,Van Schijndel's Hanibal,135,0,64.85
7,Luis Jesus Escobar,ESP,Invictus,90,0,65.16
8,Olivier Perreau,FRA,Dream Boy d'Aiguilly,75,0,65.61
9,Daniela Stransky,VEN,Romance du Criolo,60,0,67.21
10,Ophelie Richard Sanchez,MEX,Eklektik des Hutiers,60,0,68.88
11,Mans Thijssen,NED,Joviality,30,0,73.26
12,Deborah Jackson,GBR,Isacarie,30,0,73.68
13,Alex Codina Leria,ESP,London Blue,,0,74.21
14,Pedro Veniss,BRA,Jobolensky Sitte,,0,79.31
15,Francois Xavier Boudant,FRA,Ermes du Noe,,0,84.90
16,Jose Fumero Hernandez,ESP,Figuier du Roc,,4,59.45
17,Mel Thijssen,NED,Carembar Blue,,4,64.63
18,Pedro Antonio Mateos Bernaldez,ESP,Extra Dry,,4,68.21
19,Teresa Arias Cueva,ESP,Figura,,4,68.27
20,Leonardo Medal Rionda,ESP,Eyre de Saro,,4,70.46
21,Gonzalo Busca Roca,ESP,Cristiano Obolensky,,4,70.71
22,Borja Villalon Puras,ESP,Baltazar D Z,,4,71.34
23,Jairo Junquera Perera,ESP,Flint de Maeza,,4,73.66
24,Alejandro Kenneth Gottlieb Boda,MEX,Golden Diamonds W.G.,,4,74.76
25,Beatriz Llanza,ESP,Mary Whiskys,,4,76.04
26,Ainhoa Manero Benavente,ESP,Ermitage d'Argouges,,4,76.74
27,Carolina Villanueva Suarez,ESP,Indigo Blue Biolley,,4,78.82
28,Alberto Marquez Galobardes,ESP,For Jump des Horts,,4,80.59
29,Micaela Alvarez Gutierrez,ESP,Little Chap S,,8,79.31
30,Cayetano Martinez De Irujo,ESP,Corazon K,,8,81.67
31,Laura Roquet Puignero,ESP,Miki Puigroq,,8,82.27
32,Carlos Muñiz Gonzalez,ESP,Exiom Glencoe Van'T Roosakker Z,,12,73.12
33,Yuko Itakura,JPN,Coco Magic,,12,77.84
34,Chloe Bertolini,MON,Never Alone,,14,91.42
35,Saul Gutierrez Oti,ESP,Brownie du Boisprince,,27,96.08
EL,Alejandro Alvarez Gutierrez,ESP,Tip Top de l'Orle,,EL,
RET,Marcos Diaz Rodriguez,ESP,Dexter,,RET,
