Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos Fase I,Tiempo Fase I,Puntos Fase II,Tiempo Fase II,Total
1,Pello Elorduy Ibarzabal,ESP,Furiazzo de l'Aubree,500,0,35.81,0,27.85,0
2,Guillaume Foutrier,FRA,Fruna de Kogis,400,0,36.62,0,28.71,0
3,Inés Hernández Yanguas,ESP,Nemo de Porceyo,300,0,37.72,0,28.79,0
4,Guillermo González Alonso,ESP,Vendetta de Capellan,200,0,37.46,0,28.87,0
5,Olivier Perreau,FRA,GL Events Faustine Sauvage,140,0,37.95,0,29.08,0
6,Alberto Márquez Galobardes,ESP,Kelly,110,0,33.82,0,29.36,0
7,Anthony Condon,IRL,Bellevue Celestial,80,0,37.14,0,30.18,0
8,Julio Arias Cueva,ESP,Peanuts Van Baublo,60,0,37.32,0,30.23,0
9,François Xavier Boudant,FRA,GFE Falko de Hus,60,0,37.00,0,30.48,0
10,Ignace Philips De Vuyst,BEL,Packman de Reve,50,0,34.75,0,30.53,0
11,Roi Calviño Rabón,ESP,Marlon Del Amor,50,0,37.64,0,31.61,0
12,Álvaro González de Zárate Fernández,ESP,Belico Royal,50,0,37.59,0,32.58,0
13,Aurélien Leroy,FRA,Cohiba,,0,37.02,0,32.85,0
14,Gonzalo Busca Roca,ESP,Pacino Di Cabra,,0,37.83,0,33.11,0
15,Deborah Jackson,GBR,Kandy,,0,36.16,0,33.33,0
16,Borja Villalón Puras,ESP,Brazilia DK Z,,0,37.16,0,37.54,0
17,Mans Thijssen,NED,Knockout EB,,0,38.66,0,37.65,0
18,Laura Roquet Puignero,ESP,Nina Puigroq,,0,36.30,4,29.26,4
19,Max Thirouin,FRA,Gorille Doral,,0,38.53,4,31.26,4
20,Pedro Junqueira Muylaert,BRA,Captain Ciwano,,0,37.95,4,31.51,4
21,Alfons Roquet Puignero,ESP,Carabinieri V Cascadella I,,4,36.87,0,32.53,4
22,Mel Thijssen,NED,Let It Be,,0,36.10,4,34.38,4
23,Felipe Ramos Guinato,BRA,Que Paso Z,,0,40.57,4,35.27,4
24,Jesús Bamonde,ESP,Agr Colombia,,4,36.05,0,36.10,4
25,Iván Serrano Sáez,ESP,Calsacanna Star PS,,0,38.53,4,39.07,4
26,José Fumero Hernández,ESP,Gentleman de La Cour,,4,38.05,0,39.17,4
27,Niels Kersten,NED,King's Dream,,0,36.12,8,32.75,8
28,Ophelie Richard Sanchez,MEX,Good Feeling Semilly,,0,34.42,8,33.92,8
EL,Leticia Riva Gil,ESP,Geant de Mazin,,EL,,,,EL
