Posición,Jinete,Nac.,Caballo,Premio,Fase I Puntos,Fase I Tiempo,Fase II Puntos,Fase II Tiempo,Total
1,Niels Kersten,NED,Zeppe Blue,2.310€,0,38.69,0,31.42,0
2,Elena Appendino,ESP,Grupo Prom Hacienda,1.400€,0,38.83,0,32.00,0
3,Gerardo Menendez Mieres,ESP,Deus de Tus,1.050€,0,39.85,0,33.19,0
4,Pedro Antonio Mateos Bernaldez,ESP,Jacmel,700€,0,43.41,0,33.33,0
5,Borja Villalon Puras,ESP,Sparrow Z,420€,0,40.81,0,34.05,0
6,Francois Xavier Boudant,FRA,Ermes du Noe,315€,0,42.44,0,34.58,0
7,Mans Thijssen,NED,I'M Here,210€,0,44.70,0,34.60,0
8,Luis Jesus Escobar,ESP,Invictus,175€,0,41.39,0,35.78,0
9,Manuel Fernandez Saro,ESP,Ezilis du Mesnil,140€,0,43.31,0,37.66,0
10,Alex Codina Leria,ESP,Jarno,140€,0,40.71,0,38.28,0
11,Gonzalo Busca Roca,ESP,Clindillo,70€,0,41.76,0,38.64,0
12,Olivia Alvarez García,ESP,Gabin,70€,0,42.09,0,39.03,0
13,Ibrahim Hani Bisharat,JOR,Henriette,,0,43.99,0,39.25,0
14,Yuko Itakura,JPN,Stakkatisa PS,,0,43.33,0,39.89,0
15,Alejandro Kenneth Gottlieb Boda,MEX,Golden Diamonds W.G.,,0,42.98,0,41.63,0
16,Cayetano Martinez De Irujo,ESP,Corazon K,,0,44.42,0,41.99,0
17,Luis Ortiz Agüera,ESP,Altesse du Domaine,,0,40.90,4,33.38,4
18,Mel Thijssen,NED,Carembar Blue,,0,40.65,4,33.58,4
19,Jesus Garmendia Echevarria,ESP,Ulises Del Pomar,,4,39.60,0,34.53,4
20,Jose Fumero Hernandez,ESP,Cadum de Champloue,,0,39.55,4,34.71,4
21,Sira Martinez Cullell,ESP,Ike,,0,41.28,4,34.84,4
22,Julio Arias Cueva,ESP,Diago,,0,40.74,4,35.27,4
23,Guillermo Gonzalez Alonso,ESP,Toulonique de Walyro,,0,40.18,4,36.11,4
24,Álvaro González De Zarate Fernandez,ESP,Double R Everest,,0,40.94,4,37.57,4
25,Jackson Reed Stephenson,GBR,Obelia Vd Bisschop,,4,40.57,0,38.05,4
26,Kevin Gonzalez De Zarate Fernandez,ESP,London Times PS,,0,39.80,4,38.35,4
27,Abdullah Alsharbatly,KSA,Valdocco des Caps,,0,42.28,4,39.26,4
28,Carmen Mateos De Urbina,ESP,Alto de Talma,,0,43.49,4,39.36,4
29,Anthony Condon,IRL,Merlins Victoire,,0,40.52,8,33.21,8
30,Alejandro Entrecanales Marsans,ESP,Banzai Semilly,,0,40.69,8,34.43,8
31,Ines Hernández Yanguas,ESP,Devotion,,4,40.32,4,35.51,8
32,Olivier Perreau,FRA,Dream Boy d'Aiguilly,,0,41.22,8,35.71,8
33,Alejandro Alvarez Gutierrez,ESP,Calvie 4,,4,40.76,4,35.77,8
34,Roi Calviño Rabon,ESP,Julieta Del Amor,,4,40.85,4,36.09,8
35,Castora Ortiz Agüera,ESP,Robinson,,0,39.69,8,37.52,8
36,Piet Raijmakers Jr,NED,Haya,,4,41.52,4,37.87,8
37,Beatriz Llanza,ESP,Mary Whiskys,,8,38.83,0,38.80,8
38,Leonardo Medal Garcia,ESP,Rey de Gozon,,0,41.29,8,39.47,8
39,Deborah Jackson,GBR,Isacarie,,0,41.40,8,40.12,8
40,Carlos Muñiz Gonzalez,ESP,Visama Cavallo C,,8,39.24,8,38.56,16
41,Ainhoa Manero Benavente,ESP,Ermitage d'Argouges,,4,40.70,13,46.75,17
42,Duarte Seabra,POR,Fernhill Check Your Pocket,,27,59.92,0,37.67,27
RET,Jairo Junquera Perera,ESP,Flint de Maeza,,RET,,,,RET
