Posición,Jinete,Nacionalidad,Caballo,Premio,Puntos,Tiempo
1,Kevin Gonzalez De Zarate Fernandez,ESP,London Times PS,990,65,46.96
2,Leticia Riva Gil,ESP,Conan de Taute,600,65,48.32
3,Leonardo Medal Rionda,ESP,Eyre de Saro,450,65,49.24
4,Olivier Perreau,FRA,Dream Boy d'Aiguilly,300,65,49.30
5,Elena Appendino,ESP,Iceman,180,65,49.34
6,Francois Xavier Boudant,FRA,Diamant de Riverland,135,65,49.55
7,Jose Fumero Hernandez,ESP,Figuier du Roc,90,65,49.66
8,Luis Jesus Escobar,ESP,Invictus,75,65,51.30
9,Pedro Antonio Mateos Bernaldez,ESP,Extra Dry,60,65,54.50
10,Niels Kersten,NED,Belfast Z,60,65,55.74
11,Sira Martinez Cullell,ESP,Ike,30,65,57.06
12,Laura Roquet Puignero,ESP,Cricket,30,65,58.23
13,Chloe Bertolini,MON,Never Alone,,65,59.81
14,Castora Ortiz Agüera,ESP,Robinson,,65,61.17
15,Gonzalo Busca Roca,ESP,Cristiano Obolensky,,65,61.78
16,Álvaro González De Zarate Fernandez,ESP,Najac vh Kluizebos,,64,69.80
17,Ophelie Richard Sanchez,MEX,Eklektik des Hutiers,,62,58.36
18,Piet Raijmakers Jr,NED,Van Schijndel's Hanibal,,61,51.64
19,Luis Ortiz Agüera,ESP,Altesse du Domaine,,61,52.25
20,Luis Mateos Bernaldez,ESP,Coryphee des Ifs,,59,54.07
21,Daniela Stransky,VEN,Romance du Criolo,,59,56.25
22,Yuko Itakura,JPN,Coco Magic,,59,66.83
23,Olivia Alvarez García,ESP,Cartouche,,58,48.17
24,Saul Gutierrez Oti,ESP,Brownie du Boisprince,,58,62.41
25,Jesus Garmendia Echevarria,ESP,Ulises Del Pomar,,56,47.34
26,Alejandro Entrecanales Marsans,ESP,Banzai Semilly,,56,49.26
27,Borja Villalon Puras,ESP,Sparrow Z,,56,51.98
28,Leonardo Medal Garcia,ESP,Rey de Gozon,,54,60.84
29,Jairo Junquera Perera,ESP,Flint de Maeza,,51,53.41
30,Mel Thijssen,NED,Carembar Blue,,25,49.31
31,Ainhoa Manero Benavente,ESP,Espoir de l'Ermitage,,25,53.17
32,Alberto Marquez Galobardes,ESP,For Jump des Horts,,25,61.34
33,Deborah Jackson,GBR,Isacarie,,25,61.71
34,Pedro Veniss,BRA,Jobolensky Sitte,,25,67.74
35,Roi Calviño Rabon,ESP,Julieta Del Amor,,23,49.21
36,Duarte Seabra,POR,Moulin Rouge Van Paemel,,21,63.53
37,Teresa Arias Cueva,ESP,Figura,,19,51.71
38,Alex Codina Leria,ESP,London Blue,,18,63.78
39,Hannah Åkerblom,SWE,Colombina,,7,82.45
40,Carlos Muñiz Gonzalez,ESP,Exiom Glencoe Van'T Roosakker Z,,6,63.84
