Posición,Jinete,Nac.,Caballo,Premio,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Olivier Perreau,FRA,Bresil de Carnaval,12210,0,72.58,0,44.36
2,Niels Kersten,NED,Tippy Z,7400,0,79.93,0,44.53
3,Mel Thijssen,NED,Florida Balia NL,5550,4,77.02,0,46.04
4,Anthony Condon,IRL,Creevyquinn Pearl,3700,4,77.23,0,46.17
5,Pedro Junqueira Muylaert,BRA,Townhead Liberty V,2220,0,78.56,0,47.01
6,Axel van Colen,FRA,Done'Di Amore,1665,0,77.71,0,48.66
7,Neal Fearon,IRL,Finnegan D,1110,4,76.95,0,48.85
8,Kevin Gonzalez De Zarate Fernandez,ESP,Be Mylord de Glain,925,0,76.60,4,47.02
9,Leticia Riva Gil,ESP,Victoria d'Argent,740,0,77.86,4,50.04
10,Francois Xavier Boudant,FRA,Eloge de La Tour,740,4,78.83,8,48.25
11,Guillaume Foutrier,FRA,Toscane Z,370,0,80.48,8,52.96
12,Aldrick Cheronnet,FRA,Atlantys By Wisbecq,370,2,84.06,12,51.65
13,Karl Robins,GBR,Flashback VL,,4,78.99,,
14,Jose Fumero Hernandez,ESP,Esto de Viscourt,,4,80.54,,
15,Ibrahim Hani Bisharat,JOR,Happyness,,4,81.16,,
16,Manuel Fernandez Saro,ESP,Tiffany de Olid,,4,81.80,,
17,Felipe Ramos Guinato,BRA,Bigstar,,4,82.49,,
18,Deirdre Reilly,IRL,Kafka Vd Heffinck,,7,85.13,,
19,Cayetano Martinez De Irujo,ESP,Dito,,7,85.79,,
20,Iván Serrano Sáez,ESP,Little John,,8,76.98,,
21,Jesus Garmendia Echevarria,ESP,Valut 2,,8,77.39,,
22,Santiago Nuñez Riva,ESP,Chakira Z,,8,78.14,,
23,Aurelien Leroy,FRA,Croqsel de Blaignac,,8,81.96,,
24,Duarte Seabra,POR,Mhs Fernhill Showtime,,12,76.36,,
25,Jesus Bamonde,ESP,Caporal d'Elle,,12,78.47,,
26,Borja Villalon Puras,ESP,Jay Jay ES,,12,79.19,,
27,Enrique Camiruaga,ESP,Severnaya,,12,80.90,,
RET,Gonzalo Busca Roca,ESP,Classified,,RET,,,
RET,Piet Raijmakers Jr,NED,Van Schijndel's Olaya Z,,RET,,,
RET,Ignace Philips De Vuyst,BEL,Jasper,,RET,,,
EL,Abdullah Alsharbatly,KSA,Vintadge de La Roque,,EL,,,
