Posición,Jinete,Nac.,Caballo,Premio,Puntos,Tiempo,Puntos desempate,Tiempo desempate
1,Guillermo Gonzalez Alonso,ESP,Vendetta de Capellan,1.125€,0,74.42,0,33.59
2,Anthony Condon,IRL,Bellevue Celestial,900€,0,74.66,0,35.79
3,Guillaume Foutrier,FRA,Fruna de Kogis,675€,0,75.69,0,35.83
4,Francois Xavier Boudant,FRA,Gfe Falko de Hus,450€,0,79.81,0,35.99
5,Niels Kersten,NED,King's Dream,315€,0,75.94,0,36.46
6,Max Thirouin,FRA,Gorille Doral,248€,0,77.79,0,36.79
7,Laura Roquet Puignero,ESP,Nina Puigroq,180€,0,74.26,0,37.25
8,Ines Hernández Yanguas,ESP,Nemo de Porceyo,135€,0,76.85,0,37.45
9,Mel Thijssen,NED,Let It Be,135€,0,74.34,0,37.58
10,Gonzalo Busca Roca,ESP,Pacino Di Cabra,113€,0,80.16,0,37.95
11,Borja Villalon Puras,ESP,Brazilia Dk Z,113€,0,76.27,0,37.99
12,Alfons Roquet Puignero,ESP,Carabinieri V Cascadella I,113€,0,78.03,0,38.01
13,Deborah Jackson,GBR,Kandy,,0,74.53,0,38.12
14,Julio Arias Cueva,ESP,Peanuts Van Baublo,,0,74.20,0,40.63
15,Jose Fumero Hernandez,ESP,Gentleman de La Cour,,0,77.38,4,35.77
16,Pello Elorduy Ibarzabal,ESP,Furiazzo de l'Aubree,,0,73.25,4,36.06
17,Ophelie Richard Sanchez,MEX,Good Feeling Semilly,,0,71.27,4,37.26
18,Ignace Philips De Vuyst,BEL,Packman de Reve,,0,78.99,4,37.56
19,Jesus Bamonde,ESP,Agr Colombia,,0,76.06,8,39.08
20,Olivier Perreau,FRA,Gl Events Faustine Sauvage,,4,74.14,,
21,Kevin Gonzalez De Zarate Fernandez,ESP,Kristal's Beauty B,,4,74.71,,
22,Alberto Marquez Galobardes,ESP,Kelly,,4,74.97,,
23,Mans Thijssen,NED,Knockout EB,,4,75.60,,
24,Roi Calviño Rabon,ESP,Marlon Del Amor,,4,76.06,,
25,Álvaro González De Zarate Fernandez,ESP,Belico Royal,,4,76.91,,
26,Aurelien Leroy,FRA,Cohiba,,4,77.22,,
27,Pedro Junqueira Muylaert,BRA,Captain Ciwano,,4,78.38,,
28,Felipe Ramos Guinato,BRA,Que Paso Z,,4,81.76,,
